,FIPS,HC01_VC21,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC161,HC01_VC172,HC01_VC175,HC01_VC176,HC01_VC178,HC01_VC185,HC01_VC187,HC01_VC193,HC01_VC196,HC01_VC198,HC01_VC203,HC01_VC204,HC01_VC206,HC01_VC208,HC01_VC209
0,21001,2.50,18,8,45,17,83,48,342,160,58,11,18852,17,36,49,125,8,216,0,75,0
1,21003,2.59,37,21,38,0,96,0,1273,164,1015,15,20355,10,11,76,264,0,390,9,36,162
2,21005,2.56,68,28,54,11,133,29,235,33,44,24,21761,0,44,21,515,9,484,0,49,12
3,21007,2.48,29,37,61,38,150,55,249,4,158,40,8256,10,1,0,82,10,136,0,2,24
4,21009,2.48,213,48,55,46,112,71,1450,252,432,199,42925,20,108,32,702,0,576,23,671,51
5,21011,2.76,73,64,50,104,78,3,327,44,96,8,11978,0,2,0,4,15,96,0,123,79
6,21013,2.44,106,33,34,30,64,36,333,60,136,66,27950,4,6,18,230,0,274,0,46,9
7,21015,2.77,391,30,53,5,113,694,7681,1382,1794,1849,124617,436,410,496,5114,252,1554,89,652,195
8,21017,2.51,75,31,40,84,78,114,1166,739,83,42,20013,31,79,47,312,6,400,0,59,34
9,21019,2.41,135,27,46,18,102,179,815,144,290,70,48917,91,46,96,793,239,874,15,198,17
10,21021,2.42,86,24,49,14,96,41,1040,320,114,172,29388,63,44,65,432,41,406,23,202,78
11,21023,2.54,47,54,65,0,159,3,112,20,6,0,8425,17,6,70,111,9,70,0,7,3
12,21025,2.41,125,79,62,44,120,12,156,21,42,10,13591,0,7,5,71,1,159,0,27,5
13,21027,2.71,124,67,78,18,156,11,453,79,249,9,20061,0,64,13,300,46,193,8,42,183
14,21029,2.71,370,39,48,13,98,80,1292,170,337,294,76961,60,142,111,1923,55,680,6,357,173
15,21031,2.44,43,36,52,36,102,27,484,222,108,17,12835,0,0,0,131,0,140,0,52,11
16,21033,2.39,47,34,79,228,128,0,14,0,0,0,12826,18,0,16,292,0,279,0,63,21
17,21035,2.35,115,17,31,0,55,316,2105,349,319,651,38106,533,55,44,767,44,715,6,154,56
18,21037,2.49,334,26,49,5,92,249,3654,537,1161,288,91475,394,122,220,3668,190,1032,167,309,252
19,21039,2.39,4,9,55,30,99,23,39,17,10,0,4984,0,0,0,24,7,40,0,12,0
20,21041,2.63,80,69,56,40,120,15,582,340,85,0,10830,0,0,3,61,0,60,26,0,12
21,21043,2.54,45,14,40,35,74,30,247,46,60,0,27326,48,6,48,356,54,420,33,30,28
22,21045,2.44,36,26,51,21,120,15,505,81,247,20,15954,26,0,44,79,4,121,0,50,125
23,21047,2.67,523,73,87,52,131,219,4388,711,1281,633,74159,74,203,112,1489,149,679,47,233,248
24,21049,2.49,137,34,43,19,101,41,815,449,172,42,35657,135,99,76,671,32,595,0,118,0
25,21051,2.53,125,62,76,31,171,0,424,113,24,12,21300,14,0,0,115,15,244,6,70,7
26,21053,2.60,51,46,49,48,110,59,179,41,21,23,10188,0,0,8,58,5,65,0,38,0
27,21055,2.40,12,14,44,27,70,42,480,29,381,15,9222,0,12,0,130,0,120,0,11,17
28,21057,2.45,7,9,28,0,79,6,38,6,22,0,6807,0,0,0,40,3,50,0,34,0
29,21059,2.48,488,44,50,25,105,295,3179,705,722,432,98173,15,60,172,1235,140,883,156,257,251
30,21061,2.51,0,0,26,0,65,63,307,31,123,30,12105,0,28,0,248,5,158,0,91,10
31,21063,2.44,34,54,74,28,124,0,132,30,8,4,7725,0,15,0,34,0,66,0,0,0
32,21065,2.49,52,35,46,10,116,17,85,2,0,33,14476,0,42,8,115,56,104,8,41,11
33,21067,2.35,1220,25,48,17,80,2673,34339,8970,6117,7435,308306,2410,875,723,8658,1185,6060,297,2011,533
34,21069,2.57,55,39,71,59,158,3,716,126,517,12,14544,0,6,58,165,0,100,0,155,211
35,21071,2.45,230,55,47,3,99,41,343,68,100,103,38649,0,38,28,187,24,612,0,19,0
36,21073,2.28,167,23,44,20,99,166,2610,764,515,456,49778,67,27,130,1203,133,1256,19,322,116
37,21075,2.33,27,38,51,225,40,0,67,16,7,9,6422,11,4,0,49,0,31,0,9,7
38,21077,2.73,82,90,99,7,246,0,357,230,22,4,8567,8,24,23,446,16,54,2,8,1
39,21079,2.55,100,59,56,44,124,35,397,123,68,11,16976,0,4,65,348,0,391,0,84,0
40,21081,2.91,184,70,77,6,173,42,819,309,176,0,24670,0,48,15,324,9,356,32,20,0
41,21083,2.56,66,17,48,19,100,47,2177,825,423,38,37502,5,0,32,265,28,410,0,68,52
42,21085,2.60,57,23,48,24,69,7,457,132,187,28,26001,0,49,24,366,44,371,6,8,31
43,21087,2.46,27,25,51,19,109,50,301,31,190,41,11149,0,42,9,139,0,199,0,35,102
44,21089,2.54,171,53,43,57,85,41,499,71,130,74,36477,120,33,28,354,39,608,3,43,31
45,21091,2.62,60,70,39,94,70,10,177,52,51,0,8669,0,5,0,128,0,161,0,15,6
46,21093,2.58,482,39,58,25,112,1600,7417,822,2596,1577,107529,253,325,117,2972,281,1051,111,524,183
