,FIPS,HC01_VC21,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC161,HC01_VC172,HC01_VC175,HC01_VC176,HC01_VC178,HC01_VC185,HC01_VC187,HC01_VC193,HC01_VC196,HC01_VC198,HC01_VC203,HC01_VC204,HC01_VC206,HC01_VC208,HC01_VC209
0,21001,3.06,0,46,7,90,22,27,28,36,36,0,0,171,53,35,93,0,95,5,1,11
1,21003,3.03,61,79,72,168,9,137,136,56,56,0,0,340,18,0,120,12,0,45,29,0
2,21005,2.95,11,52,15,118,13,141,236,42,16,0,19,266,14,0,139,0,27,58,110,0
3,21007,2.84,89,75,33,123,55,22,17,21,13,0,0,158,0,7,123,7,2,0,26,12
4,21009,2.96,65,56,75,108,13,367,154,90,0,0,27,612,29,10,260,19,65,29,225,22
5,21011,3.21,55,69,72,138,16,97,26,2,0,0,0,246,0,0,83,0,34,16,34,0
6,21013,3.19,54,67,82,115,25,25,104,10,0,0,0,200,40,0,103,0,71,0,62,9
7,21015,3.27,33,51,20,89,29,1400,1058,1650,1193,272,90,2016,457,74,1917,126,766,168,771,8
8,21017,2.99,64,56,61,117,15,781,491,61,0,0,20,156,30,3,163,0,11,97,80,0
9,21019,2.96,47,46,32,88,17,169,336,77,30,0,82,661,70,19,280,23,126,28,379,135
10,21021,2.87,27,57,14,124,19,445,256,153,99,4,11,323,30,10,325,24,74,109,197,0
11,21023,3.35,48,71,7,151,28,120,139,0,0,0,0,174,5,0,36,0,0,10,13,0
12,21025,3.18,50,27,0,76,0,37,82,19,19,3,0,50,5,0,0,9,10,13,4,2
13,21027,3.10,29,44,0,120,4,39,68,15,0,0,0,361,10,0,111,164,0,52,19,23
14,21029,3.05,45,49,14,104,20,192,213,277,113,0,54,688,49,14,814,0,10,238,254,12
15,21031,2.94,30,71,0,156,13,153,129,0,0,0,0,170,5,0,44,0,0,0,30,0
16,21033,3.27,80,84,148,159,0,15,127,44,24,0,51,128,0,0,77,0,0,0,108,0
17,21035,2.80,14,39,10,71,11,284,293,759,463,13,5,558,47,58,578,59,111,39,81,54
18,21037,3.15,33,60,13,116,23,352,309,304,150,171,126,1480,218,76,749,144,232,293,751,2
19,21039,2.94,57,36,18,57,25,0,0,0,0,0,0,90,0,0,16,0,3,0,10,0
20,21041,2.78,27,48,0,37,73,427,428,31,6,0,15,213,0,0,3,0,8,0,92,0
21,21043,3.14,12,35,9,70,14,0,22,15,15,0,3,477,0,0,139,0,8,0,49,0
22,21045,3.18,27,41,9,100,0,93,162,0,0,0,6,87,35,7,89,0,0,185,75,19
23,21047,3.10,79,101,86,157,32,986,972,570,263,55,137,687,170,22,888,38,1267,310,137,267
24,21049,2.83,77,61,16,127,22,379,375,96,41,0,70,246,93,0,399,0,79,10,244,0
25,21051,3.71,89,65,30,130,26,81,115,54,28,0,0,263,0,7,84,6,82,51,77,0
26,21053,3.14,55,46,0,95,21,35,35,0,0,0,0,62,0,11,12,0,31,1,166,1
27,21055,3.09,9,32,0,87,0,21,73,12,0,0,13,115,0,20,31,0,0,22,43,0
28,21057,3.18,10,6,0,23,0,0,22,0,0,0,0,84,0,0,27,3,93,80,0,0
29,21059,3.06,40,44,36,83,15,853,735,165,67,25,63,828,27,0,587,35,189,198,306,44
30,21061,2.92,26,41,10,95,11,0,28,18,0,6,0,236,21,0,142,0,8,0,30,0
31,21063,3.01,104,54,97,127,0,38,124,0,0,4,0,58,0,0,11,0,16,0,97,0
32,21065,3.14,18,40,150,41,10,0,103,16,16,0,0,4,22,14,71,0,0,12,5,0
33,21067,2.89,32,52,39,82,18,11487,8967,6067,3227,323,692,3759,575,377,3927,302,2115,659,2680,565
34,21069,3.12,85,68,9,191,0,41,57,0,0,0,0,186,114,0,6,0,16,70,31,13
35,21071,3.01,18,42,12,91,11,102,72,35,18,3,7,347,119,13,99,0,3,21,142,0
36,21073,2.89,35,48,14,103,14,676,546,440,195,19,27,628,81,13,542,0,128,108,285,33
37,21075,2.71,89,66,36,173,0,0,17,4,0,0,0,34,0,0,119,0,90,28,21,0
38,21077,3.50,61,48,11,139,0,314,265,0,0,0,0,42,0,2,87,1,0,0,101,0
39,21079,3.07,36,43,0,117,5,143,105,8,0,0,44,484,120,0,49,0,0,0,37,8
40,21081,3.13,80,98,76,214,12,127,173,47,28,0,20,407,25,0,150,37,0,43,171,0
41,21083,2.98,41,58,53,107,22,1057,738,15,0,24,17,469,6,0,173,0,1,31,149,52
42,21085,3.11,19,41,12,97,1,48,61,0,0,0,6,359,13,0,25,0,0,0,21,0
