,County,State
0,ACCOMACK,VA
1,ADAMS,PA
2,ALEXANDRIA CITY,VA
3,AMELIA,VA
4,AUGLAIZE,OH
5,BARBOUR,WV
6,BARREN,KY
7,BATH,KY
8,BEDFORD,PA
9,BEDFORD,VA
10,BELL,KY
11,BERKELEY,WV
12,BOONE,KY
13,BRACKEN,KY
14,BRAXTON,WV
15,BREATHITT,KY
16,BULLITT,KY
17,CAMERON,PA
18,CARBON,PA
19,CAROLINE,VA
20,CARROLL,OH
21,CARTER,KY
22,CASEY,KY
23,CHARLOTTESVILLE CITY,VA
24,CHESAPEAKE CITY,VA
25,CLEARFIELD,PA
26,CLINTON,OH
27,COLONIAL HEIGHTS CITY,VA
28,COLUMBIA,PA
29,DANVILLE CITY,VA
30,DICKENSON,VA
31,ESSEX,VA
32,ALBEMARLE,VA
33,AMHERST,VA
34,AUGUSTA,VA
35,BATH,VA
36,BELMONT,OH
37,BRISTOL,VA
38,BUENA VISTA CITY,VA
39,CALLOWAY,KY
40,CENTRE,PA
41,CLARKE,VA
42,CLAY,KY
43,CLINTON,PA
44,COSHOCTON,OH
45,CUMBERLAND,KY
46,DINWIDDIE,VA
47,ELLIOTT,KY
48,FAIRFAX CITY,VA
49,ANDERSON,KY
50,BEDFORD CITY,VA
51,BOTETOURT,VA
52,BRADFORD,PA
53,CHARLOTTE,VA
54,CUMBERLAND,PA
55,EMPORIA CITY,VA
56,ESTILL,KY
57,BROOKE,WV
58,BALLARD,KY
59,FALLS CHURCH CITY,VA
60,APPOMATTOX,VA
61,FAYETTE,OH
62,FLOYD,VA
63,FLUVANNA,VA
64,FRANKLIN,VA
65,FULTON,KY
66,GALAX CITY,VA
67,GILES,VA
68,GOOCHLAND,VA
69,GRANT,WV
70,GRAVES,KY
71,GRAYSON,KY
72,GRAYSON,VA
73,GREENBRIER,WV
74,GREENE,PA
75,GREENE,VA
76,GUERNSEY,OH
77,HALIFAX,VA
78,HAMPTON CITY,VA
79,HARDY,WV
80,HARRISONBURG CITY,VA
81,HENRY,VA
82,HOLMES,OH
83,INDIANA,PA
84,JAMES CITY,VA
85,JEFFERSON,OH
86,JEFFERSON,PA
87,JEFFERSON,WV
88,JOHNSON,KY
89,KNOTT,KY
90,LAUREL,KY
91,LOUISA,VA
92,FLEMING,KY
93,FRANKLIN CITY,VA
94,FREDERICKSBURG CITY,VA
95,FULTON,OH
96,GREENSVILLE,VA
97,GREENUP,KY
98,HANCOCK,WV
99,HARRISON,KY
100,HENRY,KY
101,HOPEWELL CITY,VA
102,JACKSON,KY
103,JESSAMINE,KY
104,LAWRENCE,KY
105,LESLIE,KY
106,LETCHER,KY
107,LINCOLN,KY
108,FAYETTE,WV
109,HARDIN,KY
110,HOCKING,OH
111,JUNIATA,PA
112,LEE,VA
113,LYNCHBURG CITY,VA
114,LYON,KY
115,MADISON,KY
116,MAGOFFIN,KY
117,MARION,WV
118,MASON,KY
119,MASON,WV
120,MCCRACKEN,KY
121,MCCREARY,KY
122,MCDOWELL,WV
123,MCKEAN,PA
124,MERCER,OH
125,HENRY,OH
126,ISLE OF WIGHT,VA
127,MARION,KY
128,MCLEAN,KY
129,MEIGS,OH
130,MERCER,KY
131,MERCER,PA
132,GALLATIN,KY
133,LARUE,KY
134,LEXINGTON CITY,VA
135,LANCASTER,VA
136,MATHEWS,VA
137,MINERAL,WV
138,MONROE,OH
139,MONTGOMERY,VA
140,MONTOUR,PA
141,MORGAN,WV
142,MORROW,OH
143,MUHLENBERG,KY
144,NEWPORT NEWS CITY,VA
145,NORTHAMPTON,PA
146,NORTHUMBERLAND,PA
147,ORANGE,VA
148,OWEN,KY
149,PENDLETON,KY
150,PERRY,OH
151,PIKE,KY
152,PIKE,PA
153,PORTSMOUTH CITY,VA
154,MERCER,WV
155,MIAMI,OH
156,MIDDLESEX,VA
157,MONTGOMERY,KY
158,NELSON,KY
159,NOBLE,OH
160,NORFOLK CITY,VA
161,OHIO,KY
162,PICKAWAY,OH
163,POWELL,KY
164,RITCHIE,WV
165,ROCKBRIDGE,VA
166,ROCKINGHAM,VA
167,ROWAN,KY
168,RUSSELL,VA
169,MIFFLIN,PA
170,MONROE,WV
171,OLDHAM,KY
172,PITTSYLVANIA,VA
173,POTTER,PA
174,PREBLE,OH
175,PRESTON,WV
176,ROCKCASTLE,KY
177,MINGO,WV
178,PUTNAM,OH
179,SCOTT,VA
180,SIMPSON,KY
181,SMYTH,VA
182,SOMERSET,PA
183,NICHOLAS,KY
184,NOTTOWAY,VA
185,PUTNAM,WV
186,SCOTT,KY
187,NORTON CITY,VA
188,RANDOLPH,WV
189,STAUNTON CITY,VA
190,SULLIVAN,PA
