,County,State
0,ALEXANDRIA CITY,VA
1,ALLEN,KY
2,AMELIA,VA
3,ARLINGTON,VA
4,ATHENS,OH
5,AUGLAIZE,OH
6,BARBOUR,WV
7,BARREN,KY
8,BEDFORD,PA
9,BEDFORD,VA
10,BOONE,KY
11,BRACKEN,KY
12,BRAXTON,WV
13,BREATHITT,KY
14,BROWN,OH
15,BUCKINGHAM,VA
16,BUCKS,PA
17,BUTLER,OH
18,CAMBRIA,PA
19,CAROLINE,VA
20,CARROLL,KY
21,CHARLOTTESVILLE CITY,VA
22,CHESAPEAKE CITY,VA
23,CHESTERFIELD,VA
24,CLERMONT,OH
25,CLINTON,OH
26,COLONIAL HEIGHTS CITY,VA
27,DANVILLE CITY,VA
28,DAUPHIN,PA
29,DAVIESS,KY
30,DICKENSON,VA
31,DODDRIDGE,WV
32,ERIE,PA
33,ESSEX,VA
34,FAIRFAX,VA
35,ALBEMARLE,VA
36,ALLEGHANY,VA
37,BRISTOL,VA
38,BUCHANAN,VA
39,BUENA VISTA CITY,VA
40,CAMPBELL,KY
41,CAMPBELL,VA
42,CLINTON,KY
43,CRAIG,VA
44,CULPEPER,VA
45,CUMBERLAND,VA
46,DARKE,OH
47,FAIRFAX CITY,VA
48,FAIRFIELD,OH
49,BEDFORD CITY,VA
50,BLAIR,PA
51,BOTETOURT,VA
52,CHARLOTTE,VA
53,EMPORIA CITY,VA
54,BALLARD,KY
55,BRUNSWICK,VA
56,FALLS CHURCH CITY,VA
57,FAUQUIER,VA
58,APPOMATTOX,VA
59,FLOYD,KY
60,FLOYD,VA
61,FLUVANNA,VA
62,FRANKLIN,VA
63,FULTON,KY
64,GALLIA,OH
65,GILES,VA
66,GLOUCESTER,VA
67,GOOCHLAND,VA
68,GRANT,KY
69,GRANT,WV
70,GREENE,OH
71,GREENE,PA
72,GREENE,VA
73,HALIFAX,VA
74,HAMILTON,OH
75,HAMPTON CITY,VA
76,HANCOCK,OH
77,HANOVER,VA
78,HARRISON,WV
79,HENDERSON,KY
80,HENRICO,VA
81,HENRY,VA
82,HOPKINS,KY
83,JAMES CITY,VA
84,JEFFERSON,KY
85,JOHNSON,KY
86,KENTON,KY
87,KING GEORGE,VA
88,KNOTT,KY
89,LEBANON,PA
90,LOGAN,KY
91,LOUDOUN,VA
92,LOUISA,VA
93,FRANKLIN CITY,VA
94,FREDERICKSBURG CITY,VA
95,GREENSVILLE,VA
96,HARLAN,KY
97,HARRISON,KY
98,HOPEWELL CITY,VA
99,LAWRENCE,KY
100,LEE,KY
101,LESLIE,KY
102,LETCHER,KY
103,HOCKING,OH
104,LUCAS,OH
105,LUNENBURG,VA
106,LYNCHBURG CITY,VA
107,MAGOFFIN,KY
108,MARION,WV
109,MARSHALL,WV
110,MARTINSVILLE CITY,VA
111,MASON,WV
112,MCDOWELL,WV
113,MENIFEE,KY
114,MERCER,OH
115,ISLE OF WIGHT,VA
116,LAWRENCE,OH
117,MCLEAN,KY
118,MECKLENBURG,VA
119,MEIGS,OH
120,GALLATIN,KY
121,LEXINGTON CITY,VA
122,LANCASTER,VA
123,MATHEWS,VA
124,MINERAL,WV
125,MONROE,OH
126,MONTGOMERY,OH
127,MONTGOMERY,PA
128,MONTGOMERY,VA
129,MUHLENBERG,KY
130,NELSON,VA
131,NEW KENT,VA
132,NEWPORT NEWS CITY,VA
133,NORTHUMBERLAND,PA
134,ORANGE,VA
135,PAGE,VA
136,PENDLETON,KY
137,PETERSBURG CITY,VA
138,PIKE,KY
139,POQUOSON CITY,VA
140,PORTSMOUTH CITY,VA
141,MERCER,WV
142,MIAMI,OH
143,MIDDLESEX,VA
144,MORGAN,KY
145,NORFOLK CITY,VA
146,OWSLEY,KY
147,POWHATAN,VA
148,PRINCE WILLIAM,VA
149,PULASKI,VA
150,ROCKBRIDGE,VA
151,ROCKINGHAM,VA
152,RUSSELL,VA
153,SALEM,VA
154,MANASSAS CITY,VA
155,MEADE,KY
156,MONONGALIA,WV
157,MONROE,WV
158,OLDHAM,KY
159,PERRY,KY
160,PREBLE,OH
161,PRESTON,WV
162,PRINCE EDWARD,VA
163,PRINCE GEORGE,VA
164,RAPPAHANNOCK,VA
165,RICHMOND,VA
166,ROBERTSON,KY
167,METCALFE,KY
168,SHELBY,OH
169,SIMPSON,KY
170,SOUTHAMPTON,VA
171,SPOTSYLVANIA,VA
172,NOTTOWAY,VA
173,RADFORD,VA
174,RANDOLPH,WV
175,VIRGINIA BEACH CITY,VA
176,STAFFORD,VA
177,WARREN,KY
178,WASHINGTON,PA
179,SNYDER,PA
180,SUFFOLK CITY,VA
181,UPSHUR,WV
182,VINTON,OH
183,WASHINGTON,OH
184,WILLIAMSBURG CITY,VA
185,YORK,PA
186,SUMMERS,WV
187,TUCKER,WV
188,TYLER,WV
189,WAYNE,WV
190,WEBSTER,KY
191,WETZEL,WV
192,WOLFE,KY
193,WYOMING,WV
194,TODD,KY
195,TRIMBLE,KY
196,WAYNESBORO CITY,VA
197,WOOD,WV
198,YORK,VA
199,WIRT,WV
200,GILMER,WV
201,HICKMAN,KY
202,SURRY,VA
203,LEWIS,WV
204,NORTHAMPTON,VA
205,PENDLETON,WV
206,WEBSTER,WV
207,UNION,KY
208,TAYLOR,WV
209,CHARLES CITY,VA
210,KING AND QUEEN,VA
211,COVINGTON CITY,VA
