,County,State
0,ACCOMACK,VA
1,ALEXANDRIA CITY,VA
2,ALLEGHENY,PA
3,ARLINGTON,VA
4,ARMSTRONG,PA
5,ATHENS,OH
6,BEDFORD,VA
7,BERKS,PA
8,BOONE,WV
9,BREATHITT,KY
10,BRECKINRIDGE,KY
11,BUCKS,PA
12,BUTLER,PA
13,CABELL,WV
14,CAMERON,PA
15,CAROLINE,VA
16,CASEY,KY
17,CHARLOTTESVILLE CITY,VA
18,CHRISTIAN,KY
19,CLARION,PA
20,CLEARFIELD,PA
21,DANVILLE CITY,VA
22,DELAWARE,OH
23,DICKENSON,VA
24,ERIE,PA
25,ESSEX,VA
26,ALBEMARLE,VA
27,ALLEGHANY,VA
28,AMHERST,VA
29,AUGUSTA,VA
30,BATH,VA
31,BRISTOL,VA
32,BUCHANAN,VA
33,BUENA VISTA CITY,VA
34,CAMPBELL,VA
35,CENTRE,PA
36,CLARKE,VA
37,CLAY,KY
38,CRAIG,VA
39,ELLIOTT,KY
40,FAIRFIELD,OH
41,BEDFORD CITY,VA
42,BOTETOURT,VA
43,ELK,PA
44,CALDWELL,KY
45,FAYETTE,OH
46,FAYETTE,PA
47,FLOYD,KY
48,FRANKLIN,OH
49,FRANKLIN,PA
50,FRANKLIN,VA
51,FREDERICK,VA
52,FULTON,KY
53,GALLIA,OH
54,GILES,VA
55,GLOUCESTER,VA
56,GREENBRIER,WV
57,HAMPTON CITY,VA
58,HARRISONBURG CITY,VA
59,HENDERSON,KY
60,HENRY,VA
61,HOLMES,OH
62,HOPKINS,KY
63,HUNTINGDON,PA
64,INDIANA,PA
65,JACKSON,OH
66,JACKSON,WV
67,JAMES CITY,VA
68,JEFFERSON,PA
69,JEFFERSON,WV
70,JOHNSON,KY
71,KING WILLIAM,VA
72,KNOTT,KY
73,KNOX,OH
74,LAUREL,KY
75,LEHIGH,PA
76,LOGAN,KY
77,LOGAN,WV
78,LOUDOUN,VA
79,FLEMING,KY
80,FRANKLIN CITY,VA
81,GARRARD,KY
82,GREENSVILLE,VA
83,GREENUP,KY
84,HARLAN,KY
85,HIGHLAND,OH
86,KANAWHA,WV
87,LAWRENCE,KY
88,LAWRENCE,PA
89,LEE,KY
90,LESLIE,KY
91,LETCHER,KY
92,FAYETTE,WV
93,HARDIN,KY
94,HOCKING,OH
95,LEE,VA
96,LYNCHBURG CITY,VA
97,LYON,KY
98,MAHONING,OH
99,MARTINSVILLE CITY,VA
100,MASON,WV
101,MCCREARY,KY
102,MCKEAN,PA
103,MENIFEE,KY
104,FOREST,PA
105,LAWRENCE,OH
106,MARION,KY
107,MEIGS,OH
108,MERCER,PA
109,LARUE,KY
110,LEXINGTON CITY,VA
111,HIGHLAND,VA
112,LANCASTER,VA
113,MADISON,OH
114,MATHEWS,VA
115,MONROE,PA
116,MORGAN,OH
117,MORGAN,WV
118,NELSON,VA
119,NEW KENT,VA
120,NEWPORT NEWS CITY,VA
121,NICHOLAS,WV
122,NORTHAMPTON,PA
123,PIKE,KY
124,PIKE,OH
125,POQUOSON CITY,VA
126,MIDDLESEX,VA
127,MORGAN,KY
128,NORFOLK CITY,VA
129,OWSLEY,KY
130,PICKAWAY,OH
131,POCAHONTAS,WV
132,PULASKI,KY
133,RALEIGH,WV
134,ROCKBRIDGE,VA
135,ROCKINGHAM,VA
136,ROSS,OH
137,ROWAN,KY
138,RUSSELL,VA
139,SALEM,VA
140,SCIOTO,OH
141,MEADE,KY
142,MIFFLIN,PA
143,MONROE,WV
144,NORTHUMBERLAND,VA
145,PERRY,KY
146,ROANOKE,VA
147,ROCKCASTLE,KY
148,MINGO,WV
149,RUSSELL,KY
150,SCOTT,VA
151,SIMPSON,KY
152,SOMERSET,PA
153,SOUTHAMPTON,VA
154,NICHOLAS,KY
155,PUTNAM,WV
156,NORTON CITY,VA
157,RANDOLPH,WV
158,STAUNTON CITY,VA
159,TUSCARAWAS,OH
160,UNION,OH
161,TAYLOR,KY
162,VENANGO,PA
163,WARREN,PA
164,VINTON,OH
165,WASHINGTON,VA
166,WAYNE,KY
167,WAYNE,OH
168,WESTMORELAND,PA
169,WHITLEY,KY
170,WILLIAMSBURG CITY,VA
171,TRIGG,KY
172,TUCKER,WV
173,WEBSTER,KY
174,WESTMORELAND,VA
175,WINCHESTER CITY,VA
176,WISE,VA
177,TODD,KY
178,WAYNESBORO CITY,VA
179,WOOD,WV
180,YORK,VA
181,WILLIAMS,OH
182,NORTHAMPTON,VA
183,PENDLETON,WV
184,WEBSTER,WV
185,UNION,KY
186,KING AND QUEEN,VA
187,COVINGTON CITY,VA
