,County,State
0,ALLEN,KY
1,ASHLAND,OH
2,ASHTABULA,OH
3,ATHENS,OH
4,AUGLAIZE,OH
5,BARREN,KY
6,BELL,KY
7,BERKELEY,WV
8,BERKS,PA
9,BUTLER,OH
10,CABELL,WV
11,CAMBRIA,PA
12,CAROLINE,VA
13,CARTER,KY
14,CHESTER,PA
15,CHESTERFIELD,VA
16,CLERMONT,OH
17,COLUMBIA,PA
18,COLUMBIANA,OH
19,DAUPHIN,PA
20,DELAWARE,OH
21,ERIE,OH
22,ERIE,PA
23,FAIRFAX,VA
24,BELMONT,OH
25,BOYD,KY
26,CAMPBELL,KY
27,CLAY,KY
28,CULPEPER,VA
29,FAIRFIELD,OH
30,FAUQUIER,VA
31,FAYETTE,PA
32,FRANKLIN,PA
33,FRANKLIN,VA
34,GILES,VA
35,GREENE,OH
36,GREENE,PA
37,GUERNSEY,OH
38,HANCOCK,OH
39,HANOVER,VA
40,HARRISON,WV
41,HENRICO,VA
42,HURON,OH
43,INDIANA,PA
44,JEFFERSON,OH
45,KENTON,KY
46,KNOTT,KY
47,KNOX,KY
48,LAKE,OH
49,LAUREL,KY
50,LEBANON,PA
51,LICKING,OH
52,LOGAN,WV
53,LOUDOUN,VA
54,GREENUP,KY
55,HARLAN,KY
56,JACKSON,KY
57,JESSAMINE,KY
58,KANAWHA,WV
59,LEE,KY
60,LUZERNE,PA
61,MADISON,KY
62,MAHONING,OH
63,MARION,OH
64,MARION,WV
65,MARSHALL,WV
66,LAWRENCE,OH
67,MERCER,PA
68,MADISON,OH
69,MEDINA,OH
70,MORROW,OH
71,NORTHAMPTON,PA
72,NORTHUMBERLAND,PA
73,OHIO,WV
74,PAGE,VA
75,PIKE,KY
76,PORTAGE,OH
77,MERCER,WV
78,MONTGOMERY,KY
79,PRINCE WILLIAM,VA
80,PULASKI,VA
81,RALEIGH,WV
82,RICHLAND,OH
83,ROWAN,KY
84,SCIOTO,OH
85,ROANOKE,VA
86,SCOTT,VA
87,SHELBY,OH
88,SPOTSYLVANIA,VA
89,SCOTT,KY
90,SUMMIT,OH
91,TAZEWELL,VA
92,TRUMBULL,OH
93,VAN WERT,OH
94,WARREN,KY
95,WARREN,VA
96,WASHINGTON,PA
97,UPSHUR,WV
98,WARREN,OH
99,WASHINGTON,VA
100,WAYNE,OH
101,WESTMORELAND,PA
102,WHITLEY,KY
103,WOOD,OH
104,WYTHE,VA
105,YORK,PA
106,SUSQUEHANNA,PA
107,WISE,VA
