,County,State
0,ARMSTRONG,PA
1,AUGLAIZE,OH
2,BELL,KY
3,BRECKINRIDGE,KY
4,CALHOUN,WV
5,CAROLINE,VA
6,CRAWFORD,OH
7,CRITTENDEN,KY
8,DEFIANCE,OH
9,ESSEX,VA
10,ALLEGHANY,VA
11,BUENA VISTA CITY,VA
12,CALLOWAY,KY
13,CLINTON,KY
14,CLINTON,PA
15,COSHOCTON,OH
16,DARKE,OH
17,ELLIOTT,KY
18,FAIRFAX CITY,VA
19,BEDFORD CITY,VA
20,BRADFORD,PA
21,CHARLOTTE,VA
22,CUMBERLAND,PA
23,ELK,PA
24,ESTILL,KY
25,BROOKE,WV
26,CARLISLE,KY
27,FALLS CHURCH CITY,VA
28,FLOYD,VA
29,FULTON,KY
30,GLOUCESTER,VA
31,HARDY,WV
32,HARRISONBURG CITY,VA
33,INDIANA,PA
34,JAMES CITY,VA
35,JOHNSON,KY
36,KING GEORGE,VA
37,KING WILLIAM,VA
38,LOGAN,KY
39,LOUISA,VA
40,FRANKLIN CITY,VA
41,FULTON,OH
42,GARRARD,KY
43,GREEN,KY
44,LESLIE,KY
45,JUNIATA,PA
46,LUNENBURG,VA
47,MAGOFFIN,KY
48,MASON,WV
49,MCKEAN,PA
50,HENRY,OH
51,MEIGS,OH
52,LARUE,KY
53,LEXINGTON CITY,VA
54,MADISON,OH
55,MATHEWS,VA
56,MONTGOMERY,PA
57,MONTOUR,PA
58,MUSKINGUM,OH
59,NEW KENT,VA
60,OHIO,WV
61,OTTAWA,OH
62,PAGE,VA
63,MONROE,KY
64,NELSON,KY
65,OWSLEY,KY
66,RALEIGH,WV
67,MEADE,KY
68,POTTER,PA
69,RAPPAHANNOCK,VA
70,ROBERTSON,KY
71,METCALFE,KY
72,PUTNAM,OH
73,SCOTT,VA
74,SENECA,OH
75,NOTTOWAY,VA
76,PUTNAM,WV
77,RANDOLPH,WV
78,STAUNTON CITY,VA
79,SULLIVAN,PA
80,UNION,PA
81,TAYLOR,KY
82,VENANGO,PA
83,SNYDER,PA
84,SUFFOLK CITY,VA
85,WASHINGTON,VA
86,WAYNE,KY
87,TYLER,WV
88,WESTMORELAND,VA
89,WAYNESBORO CITY,VA
90,TIOGA,PA
91,SURRY,VA
92,NORTHAMPTON,VA
93,PENDLETON,WV
94,WEBSTER,WV
95,TAYLOR,WV
96,KING AND QUEEN,VA
97,LINCOLN,WV
