,County,State
0,ACCOMACK,VA
1,AMELIA,VA
2,ARLINGTON,VA
3,ATHENS,OH
4,AUGLAIZE,OH
5,BARBOUR,WV
6,BATH,KY
7,BEDFORD,PA
8,BEDFORD,VA
9,BERKELEY,WV
10,BLAND,VA
11,BOONE,WV
12,BRACKEN,KY
13,BRAXTON,WV
14,BREATHITT,KY
15,BRECKINRIDGE,KY
16,CALHOUN,WV
17,CARBON,PA
18,CARTER,KY
19,CASEY,KY
20,CHRISTIAN,KY
21,CLARION,PA
22,COLUMBIA,PA
23,CRAWFORD,PA
24,DANVILLE CITY,VA
25,DAVIESS,KY
26,ADAIR,KY
27,AMHERST,VA
28,AUGUSTA,VA
29,BELMONT,OH
30,BOYLE,KY
31,BRISTOL,VA
32,BUENA VISTA CITY,VA
33,CALLOWAY,KY
34,CAMPBELL,VA
35,CARROLL,VA
36,CENTRE,PA
37,CHAMPAIGN,OH
38,CLARK,KY
39,CLAY,KY
40,CLINTON,KY
41,COSHOCTON,OH
42,CRAIG,VA
43,CULPEPER,VA
44,CUMBERLAND,KY
45,CUMBERLAND,VA
46,FAIRFAX CITY,VA
47,BRADFORD,PA
48,CUMBERLAND,PA
49,EMPORIA CITY,VA
50,ESTILL,KY
51,BROOKE,WV
52,BUTLER,KY
53,CLAY,WV
54,EDMONSON,KY
55,APPOMATTOX,VA
56,FAYETTE,OH
57,FRANKLIN,KY
58,FREDERICK,VA
59,FULTON,KY
60,GALAX CITY,VA
61,GALLIA,OH
62,GILES,VA
63,GLOUCESTER,VA
64,GRANT,KY
65,GRANT,WV
66,GRAVES,KY
67,GRAYSON,KY
68,GRAYSON,VA
69,GREENE,PA
70,HALIFAX,VA
71,HAMPTON CITY,VA
72,HARDY,WV
73,HARRISONBURG CITY,VA
74,HENRY,VA
75,HOLMES,OH
76,HOPKINS,KY
77,HUNTINGDON,PA
78,INDIANA,PA
79,JACKSON,WV
80,KING GEORGE,VA
81,KING WILLIAM,VA
82,KNOTT,KY
83,KNOX,KY
84,KNOX,OH
85,LOGAN,WV
86,LOUISA,VA
87,FRANKLIN CITY,VA
88,FREDERICKSBURG CITY,VA
89,FULTON,OH
90,GARRARD,KY
91,GREEN,KY
92,GREENSVILLE,VA
93,GREENUP,KY
94,HANCOCK,WV
95,HARLAN,KY
96,HENRY,KY
97,HIGHLAND,OH
98,HOPEWELL CITY,VA
99,JESSAMINE,KY
100,KANAWHA,WV
101,LAWRENCE,PA
102,LEE,KY
103,LESLIE,KY
104,LEWIS,KY
105,LINCOLN,KY
106,LIVINGSTON,KY
107,FAYETTE,WV
108,HARDIN,KY
109,LEE,VA
110,LUNENBURG,VA
111,LYNCHBURG CITY,VA
112,MAGOFFIN,KY
113,MARSHALL,WV
114,MARTIN,KY
115,MASON,KY
116,MASON,WV
117,MCCRACKEN,KY
118,MCCREARY,KY
119,MCDOWELL,WV
120,MENIFEE,KY
121,FOREST,PA
122,ISLE OF WIGHT,VA
123,MARION,KY
124,MARSHALL,KY
125,MCLEAN,KY
126,MECKLENBURG,VA
127,MEIGS,OH
128,MERCER,KY
129,MERCER,PA
130,GALLATIN,KY
131,LARUE,KY
132,HIGHLAND,VA
133,LANCASTER,VA
134,MATHEWS,VA
135,MONROE,OH
136,MORGAN,WV
137,MUHLENBERG,KY
138,NEW KENT,VA
139,NORTHUMBERLAND,PA
140,OTTAWA,OH
141,OWEN,KY
142,PAGE,VA
143,PENDLETON,KY
