,County,State
0,ACCOMACK,VA
1,ADAMS,PA
2,ALEXANDRIA CITY,VA
3,ALLEN,KY
4,ARMSTRONG,PA
5,AUGLAIZE,OH
6,BARREN,KY
7,BATH,KY
8,BEDFORD,VA
9,BELL,KY
10,BLAND,VA
11,BOONE,WV
12,BRACKEN,KY
13,BRECKINRIDGE,KY
14,CABELL,WV
15,CAMBRIA,PA
16,CAMERON,PA
17,CARBON,PA
18,CAROLINE,VA
19,CARROLL,OH
20,CASEY,KY
21,CHARLOTTESVILLE CITY,VA
22,CHESAPEAKE CITY,VA
23,CHRISTIAN,KY
24,CLARION,PA
25,CLEARFIELD,PA
26,COLONIAL HEIGHTS CITY,VA
27,COLUMBIA,PA
28,CRAWFORD,PA
29,DANVILLE CITY,VA
30,DAVIESS,KY
31,DEFIANCE,OH
32,DICKENSON,VA
33,ESSEX,VA
34,ADAIR,KY
35,ALLEGHANY,VA
36,AMHERST,VA
37,AUGUSTA,VA
38,BATH,VA
39,BELMONT,OH
40,BOURBON,KY
41,BOYLE,KY
42,BRISTOL,VA
43,BUENA VISTA CITY,VA
44,CALLOWAY,KY
45,CAMPBELL,VA
46,CARROLL,VA
47,CENTRE,PA
48,CHAMPAIGN,OH
49,CLINTON,KY
50,COSHOCTON,OH
51,DARKE,OH
52,ELLIOTT,KY
53,FAIRFAX CITY,VA
54,ANDERSON,KY
55,BLAIR,PA
56,BOTETOURT,VA
57,BRADFORD,PA
58,CHARLOTTE,VA
59,CUMBERLAND,PA
60,ELK,PA
61,EMPORIA CITY,VA
62,ESTILL,KY
63,BALLARD,KY
64,BRUNSWICK,VA
65,CALDWELL,KY
66,FALLS CHURCH CITY,VA
67,FAYETTE,KY
68,FAUQUIER,VA
69,APPOMATTOX,VA
70,FLOYD,VA
71,FLUVANNA,VA
72,FRANKLIN,KY
73,FRANKLIN,VA
74,FULTON,KY
75,FULTON,PA
76,GILES,VA
77,GLOUCESTER,VA
78,GOOCHLAND,VA
79,GRANT,KY
80,GRAVES,KY
81,GRAYSON,KY
82,GRAYSON,VA
83,GREENBRIER,WV
84,GREENE,OH
85,GREENE,PA
86,GREENE,VA
87,GUERNSEY,OH
88,HAMPTON CITY,VA
89,HANCOCK,OH
90,HARDIN,OH
91,HARRISON,WV
92,HARRISONBURG CITY,VA
93,HART,KY
94,HENDERSON,KY
95,HENRY,VA
96,HOLMES,OH
97,HUNTINGDON,PA
98,INDIANA,PA
99,JACKSON,WV
100,JAMES CITY,VA
101,JEFFERSON,OH
102,JEFFERSON,WV
103,JOHNSON,KY
104,KING GEORGE,VA
105,KING WILLIAM,VA
106,KNOTT,KY
107,KNOX,OH
108,LOGAN,KY
109,LOUISA,VA
110,FRANKLIN CITY,VA
111,FREDERICKSBURG CITY,VA
112,FULTON,OH
113,GREEN,KY
114,GREENSVILLE,VA
115,HARRISON,KY
116,HENRY,KY
117,HOPEWELL CITY,VA
118,JACKSON,KY
119,LAWRENCE,PA
120,LEE,KY
121,LESLIE,KY
122,LETCHER,KY
123,LINCOLN,KY
124,LORAIN,OH
125,FAYETTE,WV
126,HOCKING,OH
127,LEE,VA
128,LUCAS,OH
129,LUNENBURG,VA
130,LYCOMING,PA
131,LYNCHBURG CITY,VA
132,MADISON,KY
133,MARION,OH
134,MARSHALL,WV
135,MASON,KY
136,MASON,WV
137,MCCRACKEN,KY
138,MCCREARY,KY
139,MCDOWELL,WV
140,MCKEAN,PA
141,MENIFEE,KY
142,FOREST,PA
143,ISLE OF WIGHT,VA
144,MARSHALL,KY
145,MCLEAN,KY
146,MEIGS,OH
147,MERCER,KY
148,MERCER,PA
149,GALLATIN,KY
150,LEXINGTON CITY,VA
151,HIGHLAND,VA
152,MATHEWS,VA
153,MEDINA,OH
154,MINERAL,WV
155,MONROE,OH
156,MONROE,PA
157,MONTOUR,PA
158,MORGAN,OH
159,MORROW,OH
160,MUSKINGUM,OH
161,NEWPORT NEWS CITY,VA
162,ORANGE,VA
163,OTTAWA,OH
164,PENDLETON,KY
165,PIKE,KY
166,PIKE,OH
167,MIDDLESEX,VA
168,MORGAN,KY
169,NELSON,KY
170,NOBLE,OH
171,NORFOLK CITY,VA
172,OHIO,KY
173,PATRICK,VA
174,POWELL,KY
175,POWHATAN,VA
176,RALEIGH,WV
177,ROANE,WV
178,ROCKBRIDGE,VA
179,ROCKINGHAM,VA
180,RUSSELL,VA
181,SALEM,VA
182,MEADE,KY
183,MONONGALIA,WV
184,MONROE,WV
185,NORTHUMBERLAND,VA
186,OLDHAM,KY
187,POTTER,PA
188,PREBLE,OH
189,PRESTON,WV
190,PRINCE EDWARD,VA
191,RICHMOND,VA
