,County,State
0,ASHLAND,OH
1,ATHENS,OH
2,BELL,KY
3,BERKELEY,WV
4,BERKS,PA
5,BOONE,KY
6,BROWN,OH
7,CABELL,WV
8,CAMBRIA,PA
9,CHESAPEAKE CITY,VA
10,CHESTER,PA
11,CHESTERFIELD,VA
12,CLERMONT,OH
13,COLUMBIANA,OH
14,CRAWFORD,OH
15,CUYAHOGA,OH
16,DAUPHIN,PA
17,DEFIANCE,OH
18,DELAWARE,PA
19,ERIE,OH
20,FAIRFAX,VA
21,ALLEN,OH
22,BEAVER,PA
23,BOYD,KY
24,FAIRFIELD,OH
25,BLAIR,PA
26,BRADFORD,PA
27,FAYETTE,KY
28,FAUQUIER,VA
29,FAYETTE,PA
30,FRANKLIN,KY
31,FRANKLIN,VA
32,FREDERICK,VA
33,GALLIA,OH
34,GREENE,OH
35,GUERNSEY,OH
36,HANCOCK,OH
37,HARDIN,OH
38,HENRICO,VA
39,HURON,OH
40,JEFFERSON,KY
41,KENTON,KY
42,KNOX,KY
43,LACKAWANNA,PA
44,LAKE,OH
45,LANCASTER,PA
46,LAUREL,KY
47,LEBANON,PA
48,LEHIGH,PA
49,LICKING,OH
50,LOGAN,WV
51,LOUDOUN,VA
52,HARLAN,KY
53,HIGHLAND,OH
54,JESSAMINE,KY
55,KANAWHA,WV
56,LAWRENCE,PA
57,HARDIN,KY
58,LUCAS,OH
59,LUZERNE,PA
60,MADISON,KY
61,MAGOFFIN,KY
62,MAHONING,OH
63,MARION,OH
64,MARION,WV
65,LAWRENCE,OH
66,MERCER,PA
67,MADISON,OH
68,MEDINA,OH
69,MONTGOMERY,PA
70,MONTGOMERY,VA
71,NEWPORT NEWS CITY,VA
72,NICHOLAS,WV
73,NORTHAMPTON,PA
74,OHIO,WV
75,PIKE,KY
76,PORTAGE,OH
77,PORTSMOUTH CITY,VA
78,MERCER,WV
79,MIAMI,OH
80,MONTGOMERY,KY
81,PICKAWAY,OH
82,PRINCE WILLIAM,VA
83,PULASKI,KY
84,PULASKI,VA
85,RALEIGH,WV
86,ROSS,OH
87,RUSSELL,VA
88,SCIOTO,OH
89,PERRY,KY
90,RICHMOND,VA
91,ROANOKE,VA
92,SCHUYLKILL,PA
93,SCOTT,VA
94,SENECA,OH
95,SHELBY,OH
96,SPOTSYLVANIA,VA
97,SUMMIT,OH
98,TAZEWELL,VA
99,TRUMBULL,OH
100,STAFFORD,VA
101,WARREN,VA
102,WASHINGTON,PA
103,WARREN,OH
104,WAYNE,OH
105,WESTMORELAND,PA
106,WHITLEY,KY
107,WOOD,OH
108,WYTHE,VA
109,YORK,PA
110,WISE,VA
111,WOOD,WV
