,County,State
0,ADAMS,OH
1,ADAMS,PA
2,ALLEGHENY,PA
3,ALLEN,KY
4,ARMSTRONG,PA
5,ASHLAND,OH
6,AUGLAIZE,OH
7,BARBOUR,WV
8,BARREN,KY
9,BEDFORD,PA
10,BEDFORD,VA
11,BELL,KY
12,BERKS,PA
13,BOONE,WV
14,BRECKINRIDGE,KY
15,BUCKS,PA
16,BULLITT,KY
17,BUTLER,PA
18,CABELL,WV
19,CAMBRIA,PA
20,CAMERON,PA
21,CARBON,PA
22,CAROLINE,VA
23,CASEY,KY
24,CHESAPEAKE CITY,VA
25,CHRISTIAN,KY
26,CLARION,PA
27,CLEARFIELD,PA
28,COLUMBIA,PA
29,CRAWFORD,OH
30,CRITTENDEN,KY
31,DAUPHIN,PA
32,DELAWARE,PA
33,ESSEX,VA
34,ADAIR,KY
35,ALLEN,OH
36,BOYLE,KY
37,BRISTOL,VA
38,BUCHANAN,VA
39,CLARK,KY
40,CLAY,KY
41,CLINTON,KY
42,CUMBERLAND,KY
43,FAIRFIELD,OH
44,ANDERSON,KY
45,BEDFORD CITY,VA
46,CHARLOTTE,VA
47,ELK,PA
48,BUTLER,KY
49,CLAY,WV
50,CALDWELL,KY
51,EDMONSON,KY
52,FAYETTE,PA
53,FLOYD,VA
54,FRANKLIN,OH
55,FULTON,PA
56,GALLIA,OH
57,GEAUGA,OH
58,GLOUCESTER,VA
59,GRANT,WV
60,GRAYSON,KY
61,GREENE,PA
62,HALIFAX,VA
63,HAMPTON CITY,VA
64,HANCOCK,OH
65,HARDIN,OH
66,HARRISONBURG CITY,VA
67,HART,KY
68,HENRY,VA
69,HOPKINS,KY
70,INDIANA,PA
71,JACKSON,OH
72,JEFFERSON,KY
73,JEFFERSON,PA
74,KING WILLIAM,VA
75,KNOX,KY
76,KNOX,OH
77,LEHIGH,PA
78,GARRARD,KY
79,GREEN,KY
80,GREENUP,KY
81,HARLAN,KY
82,JACKSON,KY
83,LEE,KY
84,LINCOLN,KY
85,LIVINGSTON,KY
86,FAYETTE,WV
87,HARDIN,KY
88,JUNIATA,PA
89,LEE,VA
90,LUCAS,OH
91,LUNENBURG,VA
92,MARSHALL,WV
93,MARTINSVILLE CITY,VA
94,MASON,WV
95,MCDOWELL,WV
96,MCKEAN,PA
97,FOREST,PA
98,ISLE OF WIGHT,VA
99,LAWRENCE,OH
100,MARION,KY
101,MECKLENBURG,VA
102,MEIGS,OH
103,MERCER,KY
104,LARUE,KY
105,MATHEWS,VA
106,MONTGOMERY,PA
107,MONTGOMERY,VA
108,MONTOUR,PA
109,NEWPORT NEWS CITY,VA
110,NICHOLAS,WV
111,NORTHAMPTON,PA
112,NORTHUMBERLAND,PA
113,PHILADELPHIA,PA
114,PIKE,OH
115,POQUOSON CITY,VA
116,PORTSMOUTH CITY,VA
117,NELSON,KY
118,NORFOLK CITY,VA
119,OHIO,KY
120,OWSLEY,KY
121,PICKAWAY,OH
122,POWELL,KY
123,ROANE,WV
124,ROCKINGHAM,VA
125,ROSS,OH
126,SALEM,VA
127,MEADE,KY
128,OLDHAM,KY
129,PITTSYLVANIA,VA
130,POTTER,PA
131,ROANOKE,VA
132,PERRY,PA
133,PUTNAM,OH
134,SANDUSKY,OH
135,SENECA,OH
136,SHENANDOAH,VA
137,SOMERSET,PA
138,PUTNAM,WV
139,RADFORD,VA
140,RANDOLPH,WV
141,SPENCER,KY
142,UNION,OH
143,UNION,PA
144,VAN WERT,OH
145,VIRGINIA BEACH CITY,VA
146,TAYLOR,KY
147,VENANGO,PA
148,WARREN,PA
149,WASHINGTON,PA
150,SHELBY,KY
151,SNYDER,PA
152,SUFFOLK CITY,VA
153,UPSHUR,WV
154,VINTON,OH
155,WASHINGTON,VA
156,WESTMORELAND,PA
157,WHITLEY,KY
158,WILLIAMSBURG CITY,VA
159,WOOD,OH
160,WYANDOT,OH
161,YORK,PA
162,TRIGG,KY
163,TUCKER,WV
164,TYLER,WV
165,WASHINGTON,KY
166,WOLFE,KY
167,TRIMBLE,KY
168,WOODFORD,KY
169,YORK,VA
170,NORTHAMPTON,VA
171,PENDLETON,WV
172,WEBSTER,WV
173,TAYLOR,WV
174,HANCOCK,KY
175,LINCOLN,WV
