,County,State
0,ACCOMACK,VA
1,ADAMS,OH
2,ADAMS,PA
3,ALEXANDRIA CITY,VA
4,AMELIA,VA
5,AUGLAIZE,OH
6,BARBOUR,WV
7,BARREN,KY
8,BATH,KY
9,BEDFORD,VA
10,BLAND,VA
11,BOONE,WV
12,BRAXTON,WV
13,BREATHITT,KY
14,BRECKINRIDGE,KY
15,BUCKINGHAM,VA
16,BULLITT,KY
17,CALHOUN,WV
18,CAMBRIA,PA
19,CAMERON,PA
20,CARBON,PA
21,CAROLINE,VA
22,CARROLL,KY
23,CASEY,KY
24,CHARLOTTESVILLE CITY,VA
25,CHESAPEAKE CITY,VA
26,CHRISTIAN,KY
27,CLARION,PA
28,CLEARFIELD,PA
29,CRITTENDEN,KY
30,DAVIESS,KY
31,DELAWARE,OH
32,DICKENSON,VA
33,DODDRIDGE,WV
34,ESSEX,VA
35,ADAIR,KY
36,ALBEMARLE,VA
37,ALLEGHANY,VA
38,ALLEN,OH
39,AMHERST,VA
40,BEAVER,PA
41,BRISTOL,VA
42,CAMPBELL,VA
43,CHAMPAIGN,OH
44,CLARKE,VA
45,CLINTON,KY
46,CLINTON,PA
47,CRAIG,VA
48,CUMBERLAND,KY
49,CUMBERLAND,VA
50,ELLIOTT,KY
51,BEDFORD CITY,VA
52,BOTETOURT,VA
53,BRADFORD,PA
54,CUMBERLAND,PA
55,EMPORIA CITY,VA
56,ESTILL,KY
57,BUTLER,KY
58,CARLISLE,KY
59,CLAY,WV
60,BALLARD,KY
61,BRUNSWICK,VA
62,CALDWELL,KY
63,FALLS CHURCH CITY,VA
64,EDMONSON,KY
65,FAUQUIER,VA
66,APPOMATTOX,VA
67,FLUVANNA,VA
68,FRANKLIN,PA
69,FRANKLIN,VA
70,FULTON,KY
71,GALAX CITY,VA
72,GILES,VA
73,GOOCHLAND,VA
74,GRANT,KY
75,GRANT,WV
76,GRAVES,KY
77,GRAYSON,VA
78,GREENBRIER,WV
79,GREENE,PA
80,GREENE,VA
81,HANCOCK,OH
82,HARDIN,OH
83,HARDY,WV
84,HENDERSON,KY
85,HOLMES,OH
86,HOPKINS,KY
87,HUNTINGDON,PA
88,JACKSON,WV
89,JAMES CITY,VA
90,JEFFERSON,OH
91,KING WILLIAM,VA
92,LEHIGH,PA
93,LICKING,OH
94,LOGAN,KY
95,LOUISA,VA
96,FRANKLIN CITY,VA
97,FULTON,OH
98,GREENUP,KY
99,HANCOCK,WV
100,HENRY,KY
101,HIGHLAND,OH
102,JACKSON,KY
103,LAWRENCE,PA
104,LEE,KY
105,LETCHER,KY
106,LEWIS,KY
107,LYNCHBURG CITY,VA
108,LYON,KY
109,MADISON,VA
110,MAGOFFIN,KY
111,MARION,OH
112,MARION,WV
113,MASON,KY
114,MCCRACKEN,KY
115,MCCREARY,KY
116,MCKEAN,PA
117,MENIFEE,KY
118,MERCER,OH
119,HENRY,OH
120,ISLE OF WIGHT,VA
121,MARION,KY
122,MARSHALL,KY
123,MECKLENBURG,VA
124,MERCER,KY
125,MERCER,PA
126,LEXINGTON CITY,VA
127,HIGHLAND,VA
128,LANCASTER,VA
129,MINERAL,WV
130,MONROE,OH
131,MONTGOMERY,PA
132,MONTOUR,PA
133,MUHLENBERG,KY
134,NEWPORT NEWS CITY,VA
135,NORTHAMPTON,PA
136,NORTHUMBERLAND,PA
137,ORANGE,VA
138,OTTAWA,OH
139,OWEN,KY
140,PERRY,OH
141,PIKE,OH
142,PORTSMOUTH CITY,VA
143,MERCER,WV
144,MORGAN,KY
145,NOBLE,OH
146,NORFOLK CITY,VA
147,OHIO,KY
148,OWSLEY,KY
149,PATRICK,VA
150,PAULDING,OH
151,PICKAWAY,OH
152,POCAHONTAS,WV
153,POWELL,KY
154,POWHATAN,VA
155,PULASKI,VA
156,RALEIGH,WV
157,RICHLAND,OH
158,RITCHIE,WV
159,ROCKBRIDGE,VA
160,ROCKINGHAM,VA
161,ROSS,OH
162,ROWAN,KY
163,RUSSELL,VA
164,SALEM,VA
165,MEADE,KY
166,MONROE,WV
167,NORTHUMBERLAND,VA
168,OLDHAM,KY
169,PRINCE EDWARD,VA
170,RAPPAHANNOCK,VA
171,RICHMOND,VA
172,ROCKCASTLE,KY
173,METCALFE,KY
174,PUTNAM,OH
175,RUSSELL,KY
176,SENECA,OH
177,SIMPSON,KY
178,SOMERSET,PA
179,NICHOLAS,KY
180,PUTNAM,WV
181,RADFORD,VA
182,SCOTT,KY
183,NORTON CITY,VA
184,SPENCER,KY
185,STAUNTON CITY,VA
186,SUSSEX,VA
187,UNION,OH
188,UNION,PA
189,VAN WERT,OH
190,VIRGINIA BEACH CITY,VA
191,TAYLOR,KY
192,VENANGO,PA
193,WARREN,KY
194,WARREN,PA
195,SHELBY,KY
196,UPSHUR,WV
197,VINTON,OH
198,WILLIAMSBURG CITY,VA
199,SUMMERS,WV
200,SUSQUEHANNA,PA
201,TUCKER,WV
202,TYLER,WV
203,WEBSTER,KY
204,WETZEL,WV
205,WINCHESTER CITY,VA
206,WISE,VA
207,WOLFE,KY
208,TODD,KY
209,TRIMBLE,KY
210,WAYNESBORO CITY,VA
211,WYOMING,PA
212,TIOGA,PA
213,YORK,VA
214,WILLIAMS,OH
215,WIRT,WV
216,HAMPSHIRE,WV
217,HARRISON,OH
218,HICKMAN,KY
219,SURRY,VA
220,LEWIS,WV
221,NORTHAMPTON,VA
222,PLEASANTS,WV
223,WEBSTER,WV
224,UNION,KY
225,CHARLES CITY,VA
226,LINCOLN,WV
227,COVINGTON CITY,VA
