,County,State
0,ADAMS,OH
1,ADAMS,PA
2,AMELIA,VA
3,ARMSTRONG,PA
4,ATHENS,OH
5,AUGLAIZE,OH
6,BARBOUR,WV
7,BATH,KY
8,BEDFORD,PA
9,BERKELEY,WV
10,BRACKEN,KY
11,BRAXTON,WV
12,BRECKINRIDGE,KY
13,BROWN,OH
14,BUCKINGHAM,VA
15,BULLITT,KY
16,BUTLER,OH
17,BUTLER,PA
18,CALHOUN,WV
19,CAMBRIA,PA
20,CASEY,KY
21,CHARLOTTESVILLE CITY,VA
22,CHESTER,PA
23,CHRISTIAN,KY
24,CLINTON,OH
25,COLUMBIA,PA
26,CRAWFORD,OH
27,DAVIESS,KY
28,DELAWARE,OH
29,ERIE,PA
30,ADAIR,KY
31,ALBEMARLE,VA
32,ALLEGHANY,VA
33,ALLEN,OH
34,AUGUSTA,VA
35,BATH,VA
36,BEAVER,PA
37,BOURBON,KY
38,BOYLE,KY
39,BUENA VISTA CITY,VA
40,CENTRE,PA
41,CLARK,KY
42,CLAY,KY
43,CLINTON,KY
44,CLINTON,PA
45,CRAIG,VA
46,CUMBERLAND,VA
47,FAIRFIELD,OH
48,BOTETOURT,VA
49,CHARLOTTE,VA
50,CUMBERLAND,PA
51,EMPORIA CITY,VA
52,ESTILL,KY
53,BUTLER,KY
54,CLARK,OH
55,CLAY,WV
56,BRUNSWICK,VA
57,CALDWELL,KY
58,EDMONSON,KY
59,FAYETTE,OH
60,FLUVANNA,VA
61,FRANKLIN,OH
62,FREDERICK,VA
63,FULTON,PA
64,GOOCHLAND,VA
65,GRANT,KY
66,GRANT,WV
67,GRAYSON,KY
68,GRAYSON,VA
69,GREENBRIER,WV
70,GREENE,OH
71,GREENE,VA
72,HAMILTON,OH
73,HARDIN,OH
74,HARDY,WV
75,HARRISONBURG CITY,VA
76,HART,KY
77,HENDERSON,KY
78,HOPKINS,KY
79,JACKSON,OH
80,JEFFERSON,KY
81,JEFFERSON,WV
82,KNOX,KY
83,LACKAWANNA,PA
84,LICKING,OH
85,LOGAN,KY
86,LOGAN,WV
87,LOUISA,VA
88,FLEMING,KY
89,FRANKLIN CITY,VA
90,GREEN,KY
91,GREENSVILLE,VA
92,JACKSON,KY
93,LEE,KY
94,LEWIS,KY
95,HARDIN,KY
96,HOCKING,OH
97,LEE,VA
98,LUCAS,OH
99,LUZERNE,PA
100,MADISON,KY
101,MADISON,VA
102,MAHONING,OH
103,MARION,OH
104,MASON,KY
105,MENIFEE,KY
106,LAWRENCE,OH
107,MARION,KY
108,MCLEAN,KY
109,MECKLENBURG,VA
110,MEIGS,OH
111,MERCER,KY
112,GALLATIN,KY
113,LARUE,KY
114,LEXINGTON CITY,VA
115,HIGHLAND,VA
116,MADISON,OH
117,MINERAL,WV
118,MONROE,OH
119,MONROE,PA
120,MONTGOMERY,OH
121,MONTGOMERY,PA
122,MORGAN,OH
123,MORGAN,WV
124,MORROW,OH
125,MUHLENBERG,KY
126,NICHOLAS,WV
127,NORTHAMPTON,PA
128,NORTHUMBERLAND,PA
129,PAGE,VA
130,PENDLETON,KY
131,PHILADELPHIA,PA
132,PIKE,KY
133,PIKE,PA
134,PORTAGE,OH
135,MIAMI,OH
136,MONTGOMERY,KY
137,NELSON,KY
138,OHIO,KY
139,OWSLEY,KY
140,PATRICK,VA
141,PAULDING,OH
142,PICKAWAY,OH
143,POCAHONTAS,WV
144,POWELL,KY
145,POWHATAN,VA
146,RITCHIE,WV
147,ROANE,WV
148,ROCKBRIDGE,VA
149,ROCKINGHAM,VA
150,ROSS,OH
151,ROWAN,KY
152,MEADE,KY
153,MONROE,WV
154,ROBERTSON,KY
155,METCALFE,KY
156,MINGO,WV
157,PUTNAM,OH
158,RUSSELL,KY
159,SANDUSKY,OH
160,SENECA,OH
161,SHENANDOAH,VA
162,SIMPSON,KY
163,SMYTH,VA
164,SOUTHAMPTON,VA
165,NICHOLAS,KY
166,NOTTOWAY,VA
167,PUTNAM,WV
168,RADFORD,VA
169,NORTON CITY,VA
170,RANDOLPH,WV
171,SPENCER,KY
172,SUMMIT,OH
173,TRUMBULL,OH
174,UNION,OH
175,UNION,PA
176,VAN WERT,OH
177,TAYLOR,KY
178,WARREN,KY
179,WARREN,VA
180,WASHINGTON,PA
181,SHELBY,KY
182,SNYDER,PA
183,UPSHUR,WV
184,VINTON,OH
185,WARREN,OH
186,WASHINGTON,OH
187,WESTMORELAND,PA
188,WHITLEY,KY
189,WOOD,OH
190,WYANDOT,OH
191,WYTHE,VA
192,YORK,PA
193,SUSQUEHANNA,PA
194,TUCKER,WV
195,TYLER,WV
196,WASHINGTON,KY
197,WEBSTER,KY
198,WINCHESTER CITY,VA
199,WISE,VA
200,WOLFE,KY
201,TODD,KY
202,WAYNESBORO CITY,VA
203,WOOD,WV
204,WYOMING,PA
205,WIRT,WV
206,HAMPSHIRE,WV
207,LEWIS,WV
208,PENDLETON,WV
209,PLEASANTS,WV
210,WEBSTER,WV
211,UNION,KY
212,HANCOCK,KY
213,COVINGTON CITY,VA
