,County,State
0,ADAMS,PA
1,AMELIA,VA
2,BARBOUR,WV
3,BARREN,KY
4,BELL,KY
5,BOONE,WV
6,BUCKINGHAM,VA
7,CALHOUN,WV
8,COLUMBIA,PA
9,DODDRIDGE,WV
10,BATH,VA
11,BOYLE,KY
12,CALLOWAY,KY
13,CAMPBELL,VA
14,CLARKE,VA
15,CLINTON,KY
16,CRAIG,VA
17,CUMBERLAND,KY
18,DINWIDDIE,VA
19,ELLIOTT,KY
20,FAIRFAX CITY,VA
21,CHARLOTTE,VA
22,BUTLER,KY
23,CLARK,OH
24,CLAY,WV
25,FALLS CHURCH CITY,VA
26,FAYETTE,OH
27,FULTON,KY
28,GALLIA,OH
29,GLOUCESTER,VA
30,GOOCHLAND,VA
31,GRAYSON,VA
32,GREENE,PA
33,HARDY,WV
34,HART,KY
35,HENRICO,VA
36,HOLMES,OH
37,KING WILLIAM,VA
38,KNOX,KY
39,LAUREL,KY
40,LOGAN,KY
41,LOGAN,WV
42,FRANKLIN CITY,VA
43,GARRARD,KY
44,GREENUP,KY
45,HANCOCK,WV
46,HARRISON,KY
47,JESSAMINE,KY
48,LESLIE,KY
49,LIVINGSTON,KY
50,LUCAS,OH
51,LYNCHBURG CITY,VA
52,MADISON,VA
53,MAGOFFIN,KY
54,MARTINSVILLE CITY,VA
55,MASON,WV
56,MCKEAN,PA
57,MENIFEE,KY
58,LAWRENCE,OH
59,MARION,KY
60,MARSHALL,KY
61,MECKLENBURG,VA
62,MERCER,PA
63,GALLATIN,KY
64,MINERAL,WV
65,MONROE,PA
66,MORGAN,OH
67,MORROW,OH
68,MUSKINGUM,OH
69,NELSON,VA
70,NEW KENT,VA
71,PETERSBURG CITY,VA
72,PORTSMOUTH CITY,VA
73,MIAMI,OH
74,MONROE,KY
75,NOBLE,OH
76,OHIO,KY
77,RITCHIE,WV
78,ROANE,WV
79,PITTSYLVANIA,VA
80,PREBLE,OH
81,RAPPAHANNOCK,VA
82,ROBERTSON,KY
83,PUTNAM,OH
84,SOMERSET,PA
85,NICHOLAS,KY
86,NOTTOWAY,VA
87,RADFORD,VA
88,NORTON CITY,VA
89,SPENCER,KY
90,STAUNTON CITY,VA
91,VIRGINIA BEACH CITY,VA
92,SNYDER,PA
93,SUFFOLK CITY,VA
94,WYANDOT,OH
95,SUSQUEHANNA,PA
96,TUCKER,WV
97,TYLER,WV
98,WASHINGTON,KY
99,WOLFE,KY
100,WOODFORD,KY
101,GILMER,WV
102,PENDLETON,WV
103,COVINGTON CITY,VA
