,County,State
0,ALLEGHENY,PA
1,AMELIA,VA
2,ASHTABULA,OH
3,AUGLAIZE,OH
4,BARBOUR,WV
5,BATH,KY
6,BEDFORD,VA
7,BELL,KY
8,BLAND,VA
9,BOONE,KY
10,BRECKINRIDGE,KY
11,BULLITT,KY
12,BUTLER,OH
13,CAMBRIA,PA
14,CAROLINE,VA
15,CARROLL,KY
16,CARROLL,OH
17,CARTER,KY
18,CASEY,KY
19,CHARLOTTESVILLE CITY,VA
20,CHESAPEAKE CITY,VA
21,CHESTER,PA
22,CHESTERFIELD,VA
23,CHRISTIAN,KY
24,CLARION,PA
25,CLEARFIELD,PA
26,CLERMONT,OH
27,COLONIAL HEIGHTS CITY,VA
28,COLUMBIA,PA
29,COLUMBIANA,OH
30,CRITTENDEN,KY
31,DAUPHIN,PA
32,DAVIESS,KY
33,DEFIANCE,OH
34,DELAWARE,OH
35,DICKENSON,VA
36,DODDRIDGE,WV
37,ERIE,PA
38,ESSEX,VA
39,FAIRFAX,VA
40,ADAIR,KY
41,ALBEMARLE,VA
42,ALLEGHANY,VA
43,ALLEN,OH
44,AMHERST,VA
45,AUGUSTA,VA
46,BATH,VA
47,BEAVER,PA
48,BELMONT,OH
49,BOURBON,KY
50,BRISTOL,VA
51,BUENA VISTA CITY,VA
52,CALLOWAY,KY
53,CAMPBELL,KY
54,CAMPBELL,VA
55,CARROLL,VA
56,CLARK,KY
57,CLARKE,VA
58,CLINTON,KY
59,COSHOCTON,OH
60,CRAIG,VA
61,CULPEPER,VA
62,CUMBERLAND,KY
63,DINWIDDIE,VA
64,FAIRFAX CITY,VA
65,FAIRFIELD,OH
66,BEDFORD CITY,VA
67,BLAIR,PA
68,BOTETOURT,VA
69,BRADFORD,PA
70,CHARLOTTE,VA
71,CUMBERLAND,PA
72,ELK,PA
73,EMPORIA CITY,VA
74,BROOKE,WV
75,CARLISLE,KY
76,BALLARD,KY
77,CALDWELL,KY
78,FAYETTE,KY
79,FAUQUIER,VA
80,FLOYD,VA
81,FLUVANNA,VA
82,FRANKLIN,OH
83,FRANKLIN,VA
84,FREDERICK,VA
85,FULTON,KY
86,GALAX CITY,VA
87,GILES,VA
88,GLOUCESTER,VA
89,GOOCHLAND,VA
90,GRANT,KY
91,GRANT,WV
92,GRAVES,KY
93,GRAYSON,KY
94,GRAYSON,VA
95,GREENE,PA
96,GREENE,VA
97,GUERNSEY,OH
98,HAMILTON,OH
99,HAMPTON CITY,VA
100,HANCOCK,OH
101,HANOVER,VA
102,HARDIN,OH
103,HARRISON,WV
104,HARRISONBURG CITY,VA
105,HART,KY
106,HENDERSON,KY
107,HENRICO,VA
108,HENRY,VA
109,HOLMES,OH
110,HOPKINS,KY
111,HUNTINGDON,PA
112,HURON,OH
113,INDIANA,PA
114,JACKSON,WV
115,JAMES CITY,VA
116,JEFFERSON,KY
117,JEFFERSON,OH
118,JEFFERSON,PA
119,JEFFERSON,WV
120,KENTON,KY
121,KING GEORGE,VA
122,KING WILLIAM,VA
123,LAUREL,KY
124,LEBANON,PA
125,LEHIGH,PA
126,LICKING,OH
127,LOGAN,KY
128,LOGAN,OH
129,LOUDOUN,VA
130,LOUISA,VA
131,FRANKLIN CITY,VA
132,FREDERICKSBURG CITY,VA
133,GREENSVILLE,VA
134,GREENUP,KY
135,HANCOCK,WV
136,HARLAN,KY
137,HARRISON,KY
138,HENRY,KY
139,HOPEWELL CITY,VA
140,JESSAMINE,KY
141,LAWRENCE,KY
142,LESLIE,KY
143,LETCHER,KY
144,LINCOLN,KY
145,LIVINGSTON,KY
146,FAYETTE,WV
147,HARDIN,KY
148,JUNIATA,PA
149,LEE,VA
150,LYCOMING,PA
151,LYNCHBURG CITY,VA
152,MADISON,KY
153,MADISON,VA
154,MAHONING,OH
155,MARION,OH
156,MARION,WV
157,MCCRACKEN,KY
158,MCKEAN,PA
159,FOREST,PA
160,ISLE OF WIGHT,VA
161,MARION,KY
162,MARSHALL,KY
163,MCLEAN,KY
164,MECKLENBURG,VA
165,GALLATIN,KY
166,LARUE,KY
167,LEXINGTON CITY,VA
168,HIGHLAND,VA
169,LANCASTER,VA
170,MADISON,OH
171,MATHEWS,VA
172,MONROE,PA
173,MONTGOMERY,PA
174,MONTGOMERY,VA
175,MONTOUR,PA
176,MORROW,OH
177,MUHLENBERG,KY
178,NELSON,VA
179,NEW KENT,VA
180,NEWPORT NEWS CITY,VA
181,NICHOLAS,WV
182,NORTHAMPTON,PA
183,NORTHUMBERLAND,PA
184,OHIO,WV
185,ORANGE,VA
186,OWEN,KY
187,PAGE,VA
188,PENDLETON,KY
189,PETERSBURG CITY,VA
190,PIKE,KY
191,PIKE,OH
192,POQUOSON CITY,VA
193,PORTSMOUTH CITY,VA
194,MERCER,WV
195,MIDDLESEX,VA
196,MONTGOMERY,KY
197,NELSON,KY
198,NORFOLK CITY,VA
199,OHIO,KY
200,PATRICK,VA
201,PAULDING,OH
202,PICKAWAY,OH
203,POCAHONTAS,WV
204,POWHATAN,VA
205,PRINCE WILLIAM,VA
206,PULASKI,KY
207,PULASKI,VA
208,RALEIGH,WV
209,RICHLAND,OH
210,ROCKBRIDGE,VA
211,ROCKINGHAM,VA
212,ROSS,OH
213,ROWAN,KY
214,RUSSELL,VA
215,SALEM,VA
216,MANASSAS CITY,VA
217,MEADE,KY
218,MIFFLIN,PA
219,MONONGALIA,WV
220,MONROE,WV
221,NORTHUMBERLAND,VA
222,PERRY,KY
223,POTTER,PA
224,PRESTON,WV
225,PRINCE GEORGE,VA
226,RICHMOND,VA
227,ROANOKE,VA
228,ROCKCASTLE,KY
229,MINGO,WV
230,PERRY,PA
231,PUTNAM,OH
232,RUSSELL,KY
233,SCHUYLKILL,PA
234,SCOTT,VA
235,SIMPSON,KY
236,SMYTH,VA
237,SOUTHAMPTON,VA
