,County,State
0,ACCOMACK,VA
1,ALEXANDRIA CITY,VA
2,AMELIA,VA
3,ARLINGTON,VA
4,ATHENS,OH
5,BATH,KY
6,BERKELEY,WV
7,BLAND,VA
8,BOONE,KY
9,BRACKEN,KY
10,BRAXTON,WV
11,BREATHITT,KY
12,BROWN,OH
13,BUCKINGHAM,VA
14,CALHOUN,WV
15,CARROLL,KY
16,CARROLL,OH
17,CARTER,KY
18,CHARLOTTESVILLE CITY,VA
19,CHESTER,PA
20,CHESTERFIELD,VA
21,CLERMONT,OH
22,COLONIAL HEIGHTS CITY,VA
23,CRAWFORD,PA
24,DANVILLE CITY,VA
25,DAVIESS,KY
26,DEFIANCE,OH
27,DELAWARE,OH
28,DICKENSON,VA
29,DODDRIDGE,WV
30,ERIE,OH
31,ERIE,PA
32,FAIRFAX,VA
33,ALBEMARLE,VA
34,ALLEGHANY,VA
35,AMHERST,VA
36,AUGUSTA,VA
37,BATH,VA
38,BEAVER,PA
39,BELMONT,OH
40,BOURBON,KY
41,BOYD,KY
42,BUENA VISTA CITY,VA
43,CALLOWAY,KY
44,CAMPBELL,KY
45,CAMPBELL,VA
46,CARROLL,VA
47,CENTRE,PA
48,CHAMPAIGN,OH
49,CLARKE,VA
50,CLINTON,PA
51,COSHOCTON,OH
52,CRAIG,VA
53,CULPEPER,VA
54,CUMBERLAND,VA
55,DINWIDDIE,VA
56,ELLIOTT,KY
57,FAIRFAX CITY,VA
58,BLAIR,PA
59,BOTETOURT,VA
60,BRADFORD,PA
61,CUMBERLAND,PA
62,EMPORIA CITY,VA
63,ESTILL,KY
64,BROOKE,WV
65,CARLISLE,KY
66,CLARK,OH
67,BRUNSWICK,VA
68,FALLS CHURCH CITY,VA
69,FAYETTE,KY
70,FAUQUIER,VA
71,APPOMATTOX,VA
72,FAYETTE,OH
73,FLOYD,KY
74,FLUVANNA,VA
75,FRANKLIN,KY
76,FRANKLIN,PA
77,FRANKLIN,VA
78,FREDERICK,VA
79,FULTON,KY
80,GALAX CITY,VA
81,GILES,VA
82,GOOCHLAND,VA
83,GRANT,KY
84,GRAYSON,VA
85,GREENBRIER,WV
86,GREENE,OH
87,GREENE,VA
88,GUERNSEY,OH
89,HANOVER,VA
90,HARDY,WV
91,HARRISON,WV
92,HENDERSON,KY
93,HENRICO,VA
94,HOLMES,OH
95,HUNTINGDON,PA
96,HURON,OH
97,JACKSON,WV
98,JAMES CITY,VA
99,JEFFERSON,OH
100,JEFFERSON,WV
101,JOHNSON,KY
102,KENTON,KY
103,KING GEORGE,VA
104,KNOTT,KY
105,LACKAWANNA,PA
106,LANCASTER,PA
107,LAUREL,KY
108,LEBANON,PA
109,LICKING,OH
110,LOGAN,KY
111,LOGAN,OH
112,LOGAN,WV
113,LOUDOUN,VA
114,LOUISA,VA
115,FLEMING,KY
116,FRANKLIN CITY,VA
117,FREDERICKSBURG CITY,VA
118,FULTON,OH
119,GREENSVILLE,VA
120,HANCOCK,WV
121,HARRISON,KY
122,HENRY,KY
123,HIGHLAND,OH
124,HOPEWELL CITY,VA
125,JESSAMINE,KY
126,KANAWHA,WV
127,LAWRENCE,KY
128,LAWRENCE,PA
129,LESLIE,KY
130,LETCHER,KY
131,LEWIS,KY
132,LORAIN,OH
133,HOCKING,OH
134,LUZERNE,PA
135,LYCOMING,PA
136,LYNCHBURG CITY,VA
137,LYON,KY
138,MADISON,KY
139,MADISON,VA
140,MAGOFFIN,KY
141,MAHONING,OH
142,MARION,OH
143,MARION,WV
144,MARTIN,KY
145,MASON,KY
146,MCCRACKEN,KY
147,MCCREARY,KY
148,MENIFEE,KY
149,MERCER,OH
150,HENRY,OH
151,MARSHALL,KY
152,MCLEAN,KY
153,MERCER,PA
154,GALLATIN,KY
155,LEXINGTON CITY,VA
156,HIGHLAND,VA
157,LANCASTER,VA
158,MADISON,OH
159,MEDINA,OH
160,MINERAL,WV
161,MONROE,OH
162,MONROE,PA
163,MORGAN,OH
164,MORGAN,WV
165,MORROW,OH
166,MUHLENBERG,KY
167,NELSON,VA
168,NEW KENT,VA
169,OHIO,WV
170,OTTAWA,OH
171,OWEN,KY
172,PAGE,VA
173,PENDLETON,KY
174,PETERSBURG CITY,VA
175,PIKE,KY
176,PIKE,PA
177,MERCER,WV
178,MIDDLESEX,VA
179,MONROE,KY
180,MONTGOMERY,KY
181,MORGAN,KY
182,PATRICK,VA
183,PAULDING,OH
184,POCAHONTAS,WV
185,POWHATAN,VA
186,PRINCE WILLIAM,VA
187,PULASKI,KY
188,PULASKI,VA
189,RALEIGH,WV
190,RICHLAND,OH
191,RITCHIE,WV
192,ROCKBRIDGE,VA
193,ROWAN,KY
194,RUSSELL,VA
195,SCIOTO,OH
196,MANASSAS CITY,VA
197,MIFFLIN,PA
198,MONONGALIA,WV
199,MONROE,WV
200,NORTHUMBERLAND,VA
201,PERRY,KY
202,PREBLE,OH
203,PRESTON,WV
204,PRINCE EDWARD,VA
205,PRINCE GEORGE,VA
206,RAPPAHANNOCK,VA
207,RICHMOND,VA
208,ROBERTSON,KY
209,ROCKCASTLE,KY
210,METCALFE,KY
211,MINGO,WV
212,RUSSELL,KY
213,SCHUYLKILL,PA
214,SCOTT,VA
215,SHELBY,OH
216,SIMPSON,KY
217,SMYTH,VA
