,County,State
0,ACCOMACK,VA
1,ADAMS,OH
2,ADAMS,PA
3,ALEXANDRIA CITY,VA
4,ALLEGHENY,PA
5,ALLEN,KY
6,AMELIA,VA
7,ARLINGTON,VA
8,ASHLAND,OH
9,ASHTABULA,OH
10,AUGLAIZE,OH
11,BARBOUR,WV
12,BARREN,KY
13,BATH,KY
14,BEDFORD,PA
15,BEDFORD,VA
16,BELL,KY
17,BERKS,PA
18,BLAND,VA
19,BOONE,KY
20,BOONE,WV
21,BRACKEN,KY
22,BRAXTON,WV
23,BREATHITT,KY
24,BROWN,OH
25,BUCKS,PA
26,BUTLER,PA
27,CABELL,WV
28,CALHOUN,WV
29,CAMBRIA,PA
30,CAMERON,PA
31,CARROLL,KY
32,CASEY,KY
33,CHESAPEAKE CITY,VA
34,CHESTER,PA
35,CHESTERFIELD,VA
36,CHRISTIAN,KY
37,CLERMONT,OH
38,CLINTON,OH
39,COLONIAL HEIGHTS CITY,VA
40,COLUMBIA,PA
41,CRAWFORD,OH
42,CRAWFORD,PA
43,CRITTENDEN,KY
44,CUYAHOGA,OH
45,DANVILLE CITY,VA
46,DAUPHIN,PA
47,DAVIESS,KY
48,DELAWARE,OH
49,DELAWARE,PA
50,DICKENSON,VA
51,DODDRIDGE,WV
52,ERIE,OH
53,ERIE,PA
54,ESSEX,VA
55,ADAIR,KY
56,ALLEGHANY,VA
57,ALLEN,OH
58,AUGUSTA,VA
59,BATH,VA
60,BEAVER,PA
61,BELMONT,OH
62,BOURBON,KY
63,BOYLE,KY
64,BRISTOL,VA
65,CALLOWAY,KY
66,CAMPBELL,KY
67,CARROLL,VA
68,CENTRE,PA
69,CHAMPAIGN,OH
70,CLAY,KY
71,CLINTON,KY
72,CLINTON,PA
73,CRAIG,VA
74,CUMBERLAND,KY
75,CUMBERLAND,VA
76,DINWIDDIE,VA
77,FAIRFAX CITY,VA
78,FAIRFIELD,OH
79,BLAIR,PA
80,BOTETOURT,VA
81,BRADFORD,PA
82,CHARLOTTE,VA
83,CUMBERLAND,PA
84,EMPORIA CITY,VA
85,BROOKE,WV
86,BUTLER,KY
87,CLARK,OH
88,BRUNSWICK,VA
89,CALDWELL,KY
90,FALLS CHURCH CITY,VA
91,FAYETTE,KY
92,EDMONSON,KY
93,FAYETTE,OH
94,FAYETTE,PA
95,FLOYD,KY
96,FLOYD,VA
97,FRANKLIN,OH
98,FRANKLIN,PA
99,FRANKLIN,VA
100,FULTON,PA
101,GALLIA,OH
102,GILES,VA
103,GLOUCESTER,VA
104,GRANT,KY
105,GRAYSON,KY
106,GRAYSON,VA
107,GREENBRIER,WV
108,GREENE,OH
109,GREENE,PA
