,Unnamed: 0,FIPS,Year,Score_County_2,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank,Rank_Var,Degree_Var,Drug_Use_Var,Drug_Use_Var_n,Source_Potentiel,is_Source,is_Source_Rank,is_Surrounded,is_Affected,is_Affected_Rank
0,0,51001,2011,9.424487894202732,10,0,Normal,1,0,-2,Stable,0,-50.0,Not_Likely,0,0.0,Not_Likely,0
1,1,39001,2011,29.56623842392566,30,6,Critical,2,-1,-13,Decrease,-2,25.0,Possible,1,14.405692938343504,Possible,1
2,2,42001,2011,16.071185940866133,17,3,Normal,1,0,-5,Decrease,-2,70.0,Highly_Possible,2,26.000000000000007,Possible,1
3,3,51510,2011,12.410802153644884,13,6,Normal,1,0,0,Stable,0,0.0,Not_Likely,0,6.666666666666667,Not_Likely,0
4,4,42003,2011,562.900683603267,563,4,Severe,3,0,159,Extremely_Increase,3,-6.25,Not_Likely,0,5.0,Not_Likely,0
5,5,21003,2011,7.68992016227882,8,4,Normal,1,1,16,Increase,2,57.14285714285714,Highly_Possible,2,34.28571428571429,Highly_Possible,2
6,6,51007,2011,5.95464471951938,6,9,Good,0,1,6,Increase,2,25.0,Possible,1,10.0,Not_Likely,0
7,7,51013,2011,20.92211833488381,21,6,Critical,2,-1,-12,Decrease,-2,0.0,Not_Likely,0,12.68959645897726,Possible,1
8,8,42005,2011,12.14093302676462,13,3,Normal,1,-1,-10,Decrease,-2,-42.857142857142854,Not_Likely,0,0.0,Not_Likely,0
9,9,39005,2011,31.53828167846229,32,5,Critical,2,0,-2,Stable,0,44.444444444444436,Possible,1,29.073980609358994,Possible,1
10,10,39007,2011,28.69694596387092,29,0,Critical,2,0,40,Increase,2,20.0,Possible,1,51.1918893694227,Highly_Possible,2
11,11,39009,2011,69.16107830225907,70,7,Critical,2,0,-8,Decrease,-2,-43.75,Not_Likely,0,2.5,Not_Likely,0
12,12,39011,2011,7.851147887507932,8,6,Normal,1,1,16,Increase,2,5.0,Possible,1,28.0,Possible,1
13,13,54001,2011,3.8380259287627214,4,8,Good,0,1,6,Increase,2,25.0,Possible,1,35.0,Highly_Possible,2
14,14,21009,2011,15.047406651253926,16,7,Normal,1,1,18,Increase,2,50.0,Possible,1,28.000000000000007,Possible,1
15,15,21011,2011,8.776498876401462,9,11,Normal,1,-1,-4,Lightly_Decrease,-1,3.125,Possible,1,18.917888093820444,Possible,1
16,16,42009,2011,5.707401032667002,6,2,Good,0,1,4,Lightly_Increase,1,8.333333333333334,Possible,1,14.979284026926702,Possible,1
17,17,51019,2011,18.64793401192368,19,9,Normal,1,-1,-15,Decrease,-2,-15.384615384615385,Not_Likely,0,6.064606936458539,Not_Likely,0
18,18,21013,2011,11.636805690325055,12,6,Normal,1,1,16,Increase,2,18.75,Possible,1,2.5,Not_Likely,0
19,19,54003,2011,70.5180244023762,71,5,Critical,2,0,-23,Decrease,-2,5.0,Possible,1,3.0000000000000004,Not_Likely,0
20,20,42011,2011,60.268130817168036,61,4,Critical,2,0,36,Increase,2,-25.0,Not_Likely,0,18.750000000000004,Possible,1
21,21,51021,2011,7.068148366407528,8,6,Normal,1,-1,-2,Stable,0,45.83333333333334,Possible,1,13.063688291557213,Possible,1
22,22,21015,2011,36.432992385345436,37,7,Critical,2,-1,-23,Decrease,-2,59.09090909090909,Highly_Possible,2,32.682677513295474,Highly_Possible,2
23,23,54005,2011,9.855101599778331,10,5,Normal,1,-1,-9,Decrease,-2,0.0,Not_Likely,0,14.066307431011879,Possible,1
24,24,21023,2011,8.006606822443155,9,11,Normal,1,0,5,Increase,2,35.714285714285715,Possible,1,8.571428571428571,Not_Likely,0
25,25,54007,2011,0.4190453638428269,1,7,Good,0,1,14,Increase,2,33.333333333333336,Possible,1,17.777777777777786,Possible,1
26,26,21025,2011,1.4773416341546188,2,8,Good,0,0,0,Stable,0,-3.333333333333333,Not_Likely,0,14.239765858424729,Possible,1
27,27,21027,2011,7.964788139493685,8,5,Normal,1,-1,-3,Lightly_Decrease,-1,0.0,Not_Likely,0,5.714285714285714,Not_Likely,0
28,28,39015,2011,0.1311732977081417,1,8,Good,0,1,8,Increase,2,36.36363636363637,Possible,1,14.77955232321412,Possible,1
29,29,51029,2011,0.8625542601388461,1,5,Good,0,1,15,Increase,2,16.666666666666668,Possible,1,6.666666666666667,Not_Likely,0
30,30,42017,2011,356.49681774027397,357,3,Severe,3,0,-101,Extremely_Decrease,-3,-33.333333333333336,Not_Likely,0,5.000000000000001,Not_Likely,0
31,31,21029,2011,40.18696221113432,41,6,Critical,2,-1,-19,Decrease,-2,20.0,Possible,1,7.0,Not_Likely,0
32,32,39017,2011,139.46917366118262,140,4,Severe,3,-1,-96,Extremely_Decrease,-3,55.555555555555564,Possible,1,51.80452648395371,Highly_Possible,2
33,33,42019,2011,35.70853969647957,36,4,Critical,2,-1,-16,Decrease,-2,-18.75,Not_Likely,0,11.032839972815976,Possible,1
34,34,54011,2011,17.373906135675508,18,7,Normal,1,1,20,Increase,2,-5.5555555555555545,Not_Likely,0,8.082604571103852,Not_Likely,0
35,35,54013,2011,2.669980463543689,3,7,Good,0,1,14,Increase,2,54.16666666666666,Possible,1,23.33333333333334,Possible,1
36,36,42021,2011,14.102175916259732,15,2,Normal,1,1,20,Increase,2,20.0,Possible,1,6.000000000000001,Not_Likely,0
37,37,42023,2011,7.797201030644959,8,2,Normal,1,0,-1,Stable,0,0.0,Not_Likely,0,3.3333333333333335,Not_Likely,0
38,38,42025,2011,18.77457189480505,19,5,Normal,1,0,-8,Decrease,-2,6.25,Possible,1,5.0,Not_Likely,0
39,39,51033,2011,10.155216660478676,11,8,Normal,1,1,13,Increase,2,-19.23076923076923,Not_Likely,0,6.153846153846154,Not_Likely,0
40,40,21041,2011,0.5300411371239414,1,8,Good,0,1,21,Increase,2,31.818181818181817,Possible,1,18.181818181818183,Possible,1
41,41,39019,2011,11.235297517933061,12,6,Normal,1,0,-2,Stable,0,11.111111111111109,Possible,1,7.777777777777778,Not_Likely,0
42,42,21043,2011,42.186710004652866,43,7,Critical,2,0,-5,Decrease,-2,23.07692307692308,Possible,1,3.076923076923077,Not_Likely,0
43,43,21045,2011,15.519766818175947,16,8,Normal,1,0,-6,Decrease,-2,-14.285714285714285,Not_Likely,0,4.285714285714286,Not_Likely,0
44,44,51540,2011,13.149749747478971,14,8,Normal,1,0,-6,Decrease,-2,-7.6923076923076925,Not_Likely,0,4.615384615384615,Not_Likely,0
45,45,51550,2011,9.144803444926412,10,8,Normal,1,0,-1,Stable,0,20.0,Possible,1,20.360162738968686,Possible,1
46,46,42029,2011,34.36774106321609,35,3,Critical,2,0,51,Extremely_Increase,3,41.66666666666666,Possible,1,23.333333333333332,Possible,1
47,47,51041,2011,52.57892709793732,53,13,Critical,2,0,36,Increase,2,29.411764705882355,Possible,1,23.421776532257887,Possible,1
48,48,21047,2011,12.216658378216104,13,5,Normal,1,-1,-7,Decrease,-2,-37.5,Not_Likely,0,7.267692881155034,Not_Likely,0
