,FIPS,Year,Score_County_2,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank
0,51001,2010,3.0565370218101684,4,0,Good,0
1,39001,2010,37.92625637500461,38,6,Critical,2
2,42001,2010,7.921755260328577,8,3,Normal,1
3,51510,2010,10.514015147332458,11,6,Normal,1
4,42003,2010,1159.424923362954,1160,4,Severe,3
5,21003,2010,13.895820877425239,14,4,Normal,1
6,51007,2010,6.9862948421530175,7,9,Normal,1
7,51013,2010,5.1483564380370925,6,6,Normal,1
8,42005,2010,21.930225387835478,22,3,Critical,2
9,39005,2010,0.4609698545569225,1,5,Good,0
10,39007,2010,13.921687843587609,14,0,Normal,1
11,39009,2010,48.3710253450845,49,7,Critical,2
12,39011,2010,8.48976966651085,9,6,Normal,1
13,54001,2010,11.355607667514374,12,8,Normal,1
14,21009,2010,17.43923532890998,18,7,Normal,1
15,21011,2010,10.728530728683571,11,11,Normal,1
16,42009,2010,17.98510927506871,18,2,Normal,1
17,51019,2010,24.492489078861514,25,9,Critical,2
18,21013,2010,26.206826152180053,27,6,Critical,2
19,54003,2010,17.382388761668686,18,5,Normal,1
20,42011,2010,34.50337028442792,35,4,Critical,2
21,51021,2010,12.876335194904867,13,6,Normal,1
22,21015,2010,9.257130316598486,10,7,Normal,1
23,54005,2010,3.4179749583186583,4,5,Good,0
24,21023,2010,4.628953538137198,5,11,Good,0
25,54007,2010,11.288140524291398,12,7,Normal,1
26,21025,2010,13.428710891207867,14,8,Normal,1
27,21027,2010,5.71314457426978,6,5,Normal,1
28,39015,2010,26.976377397485518,27,8,Critical,2
29,51029,2010,8.898739020337377,9,5,Normal,1
30,42017,2010,302.0984602698535,303,3,Severe,3
31,21029,2010,8.667968623751953,9,6,Normal,1
32,39017,2010,121.97895801181251,122,4,Critical,2
33,42019,2010,31.03210786397136,32,4,Critical,2
34,54011,2010,21.992799006283906,22,7,Critical,2
35,54013,2010,0.5101029341364993,1,7,Good,0
36,42021,2010,37.58414614286603,38,2,Critical,2
37,42023,2010,15.339956583317607,16,2,Normal,1
