,FIPS,HC01_VC21,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC161,HC01_VC172,HC01_VC175,HC01_VC176,HC01_VC178,HC01_VC185,HC01_VC187,HC01_VC193,HC01_VC196,HC01_VC198,HC01_VC203,HC01_VC204,HC01_VC206,HC01_VC208,HC01_VC209
0,21001,2.93,0,65,78,110,20,53,57,63,41,0,0,263,51,10,149,0,69,2,199,7
1,21003,2.95,56,85,86,173,12,138,130,47,47,0,0,349,0,0,127,24,0,0,12,0
2,21005,2.89,20,48,12,113,10,203,275,92,0,0,39,334,42,0,162,0,29,74,137,0
3,21007,2.85,74,73,35,133,46,16,12,24,16,0,0,123,0,6,80,8,11,0,35,14
4,21009,2.97,74,72,86,135,20,310,221,97,19,0,48,779,37,9,287,38,35,39,182,28
5,21011,3.12,51,76,0,201,5,33,67,12,9,0,0,199,0,0,20,0,0,17,99,0
6,21013,3.05,51,70,84,128,21,36,104,10,0,0,0,213,16,0,136,0,47,0,53,0
7,21015,3.23,37,55,29,98,30,1325,1197,1582,1004,191,131,2108,399,65,2041,149,504,151,954,163
8,21017,2.90,87,58,52,128,16,668,467,51,0,0,9,230,14,0,175,0,11,74,75,0
9,21019,2.96,50,49,17,108,13,138,315,119,35,0,92,833,14,14,276,9,143,20,323,238
10,21021,2.83,34,61,9,132,21,474,265,121,95,0,0,402,28,27,263,28,56,79,290,0
11,21023,3.20,44,72,7,171,21,58,70,0,0,0,0,87,5,0,53,0,0,8,13,0
12,21025,3.47,47,41,0,83,20,49,116,14,14,10,0,24,0,0,0,0,0,28,16,11
13,21027,3.07,44,49,24,120,6,41,89,11,0,0,0,372,9,0,130,168,0,100,19,21
14,21029,3.04,41,51,15,108,22,117,312,233,100,0,49,770,33,21,923,0,10,159,264,12
15,21031,2.92,39,93,0,214,11,137,186,0,0,0,0,204,5,0,56,0,0,0,22,0
16,21033,3.05,35,52,0,135,0,33,133,138,57,0,45,114,0,0,78,9,0,0,37,0
17,21035,2.82,12,40,11,72,10,412,378,604,243,13,18,591,56,67,616,131,117,25,100,43
18,21037,3.07,34,62,21,121,24,285,228,261,97,54,130,1601,210,53,921,102,81,216,664,10
19,21039,2.86,102,51,15,133,0,23,2,0,0,0,0,97,0,0,20,0,4,0,10,0
20,21041,2.88,30,50,28,41,65,374,441,59,14,0,19,157,0,0,5,0,6,0,91,0
21,21043,3.01,42,49,79,80,13,10,27,7,7,0,13,570,66,0,174,0,23,0,91,0
22,21045,3.18,12,43,10,104,0,119,144,0,0,0,64,112,12,7,155,0,0,125,58,28
23,21047,3.09,77,100,73,164,26,991,881,583,279,99,175,809,211,46,1072,32,939,243,140,252
24,21049,2.81,100,73,72,144,19,321,441,109,68,0,47,207,77,0,563,0,67,22,256,0
25,21051,4.03,36,42,25,74,25,61,55,94,44,0,0,112,0,0,18,0,129,39,77,20
26,21053,3.04,36,56,0,79,52,86,112,0,0,0,0,51,0,0,8,0,41,0,184,0
27,21055,3.08,8,16,0,43,0,17,69,24,10,0,6,105,0,0,14,0,0,20,43,0
28,21057,3.31,0,0,0,0,0,0,26,0,0,0,0,81,0,0,13,4,3,70,0,0
29,21059,3.01,49,51,35,98,18,716,763,209,62,17,56,1045,48,16,500,45,161,231,376,36
30,21061,2.84,20,56,10,136,11,0,34,7,0,0,0,74,22,0,133,0,35,0,32,0
31,21063,3.11,90,53,134,113,0,0,141,0,0,9,0,34,0,0,14,0,36,0,244,0
32,21065,3.16,20,48,189,61,6,43,142,0,0,0,0,102,19,0,74,0,0,10,2,0
33,21067,2.90,28,48,38,75,18,11094,8661,5623,3075,531,480,3928,661,423,4181,287,1939,708,2350,388
34,21069,3.08,64,43,12,118,0,42,76,0,0,0,0,251,64,0,14,0,15,56,65,11
35,21071,2.99,22,40,30,78,14,44,35,88,31,0,0,512,137,12,65,0,14,23,170,65
36,21073,2.88,35,45,14,91,16,734,568,421,148,0,51,781,76,12,526,10,142,92,266,61
37,21075,2.63,63,58,31,161,0,0,5,0,0,0,0,21,0,0,114,0,155,32,19,0
38,21077,3.36,70,52,64,131,0,255,216,0,0,0,0,143,0,0,142,0,0,0,48,0
39,21079,3.14,13,38,0,108,0,164,101,6,0,0,47,439,91,20,48,0,0,0,60,5
40,21081,3.09,87,91,87,200,4,138,84,45,26,0,21,640,30,0,312,31,0,35,192,0
41,21083,2.99,40,54,45,101,22,987,846,39,12,21,17,404,9,0,144,0,11,38,135,20
42,21085,3.13,47,55,28,110,18,0,0,0,0,0,0,335,11,0,41,0,0,45,86,0
43,21087,3.00,40,47,0,108,17,14,69,0,0,0,0,124,0,0,50,0,0,45,0,0
44,21089,3.10,10,41,30,82,16,37,57,79,27,34,39,890,19,2,304,45,70,56,283,17
45,21091,3.11,87,64,35,169,0,41,70,0,0,0,0,284,0,0,6,0,0,21,0,0
46,21093,3.03,45,60,34,117,20,1093,550,1430,750,58,214,1264,43,80,1524,14,1098,247,455,439
47,21095,3.42,51,65,41,155,3,33,106,0,0,0,31,259,6,0,51,0,27,0,40,8
48,21097,3.22,39,43,103,67,13,152,174,0,0,20,59,225,0,0,168,0,57,12,28,0
49,21099,3.06,62,76,28,201,10,45,128,0,0,0,47,596,0,11,99,0,53,234,51,0
50,21101,2.97,51,63,26,132,17,235,279,26,13,0,198,810,129,0,497,49,156,24,160,0
51,21103,3.01,71,56,45,135,5,212,192,10,0,0,0,261,90,0,104,0,54,23,81,0
52,21105,3.07,20,39,0,114,0,15,7,9,9,0,0,68,0,0,27,0,3,16,0,0
53,21107,3.05,31,42,20,84,17,141,557,192,79,0,24,440,0,0,282,22,122,9,208,36
54,21109,2.81,41,49,0,131,0,0,13,21,0,0,0,19,0,0,0,0,0,0,0,0
55,21111,3.04,48,59,35,111,20,16308,13176,10429,4552,1616,1285,10514,1820,376,8193,703,13883,3616,3979,1515
56,21113,2.99,25,50,22,110,7,516,457,164,45,209,124,764,23,33,489,20,97,172,316,0
57,21115,2.94,17,63,32,119,28,0,8,59,33,0,0,107,9,0,63,0,43,10,68,0
58,21117,3.15,35,62,44,115,18,1628,1688,758,223,187,378,2513,596,149,2092,140,603,432,1194,167
59,21119,3.21,40,53,8,101,30,6,25,21,21,0,0,79,0,0,2,0,0,0,7,0
60,21121,3.04,66,55,64,111,4,15,126,9,0,59,0,207,11,0,56,0,122,0,38,0
61,21123,3.34,29,56,36,122,10,162,49,0,0,0,0,121,0,0,104,0,17,36,47,0
62,21125,3.08,33,60,72,116,10,201,204,71,0,0,0,604,48,0,408,0,18,479,161,10
63,21127,3.38,0,45,25,86,19,14,154,16,0,0,0,120,7,0,80,0,0,0,26,0
64,21129,3.05,0,64,90,149,0,10,32,10,10,7,0,120,0,0,14,0,0,0,0,0
