,FIPS,HC01_VC21,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC161,HC01_VC172,HC01_VC175,HC01_VC176,HC01_VC178,HC01_VC185,HC01_VC187,HC01_VC193,HC01_VC196,HC01_VC198,HC01_VC203,HC01_VC204,HC01_VC206,HC01_VC208,HC01_VC209
0,21001,2.51,18,8,50,12,93,10,383,158,54,11,19156,14,17,51,152,44,155,0,87,0
1,21003,2.62,58,32,48,0,119,5,1417,159,1151,15,20421,0,11,51,320,27,246,8,136,119
2,21005,2.54,78,33,62,0,138,58,264,29,113,8,21867,0,19,21,556,5,592,0,49,13
3,21007,2.49,23,28,49,58,106,50,241,0,166,42,8216,7,2,0,105,6,146,0,5,17
4,21009,2.54,165,35,50,36,97,114,1537,242,404,195,43287,66,53,46,784,0,722,24,553,65
5,21011,2.70,45,42,39,60,75,0,330,61,84,31,12113,0,3,0,72,15,66,0,96,62
6,21013,2.43,143,46,44,24,94,30,323,57,121,73,27676,3,8,1,181,0,218,0,40,9
7,21015,2.73,377,29,54,8,113,610,7338,1534,1582,2087,125656,301,347,404,4641,297,1367,112,709,171
8,21017,2.46,183,77,73,91,149,146,1189,742,83,55,20004,23,59,20,229,13,313,0,43,38
9,21019,2.40,213,42,54,16,106,132,671,125,221,80,48716,2,62,55,615,23,976,0,164,10
10,21021,2.47,90,24,36,19,61,47,818,262,72,179,29650,58,55,63,365,65,350,23,144,58
11,21023,2.45,46,58,67,0,171,13,151,22,13,11,8404,16,8,75,84,9,49,0,17,2
12,21025,2.48,106,66,57,55,98,14,146,23,31,8,13476,0,0,6,104,0,202,8,27,5
13,21027,2.68,125,68,79,15,164,8,571,122,337,9,20000,0,60,12,308,30,172,10,28,194
14,21029,2.71,401,42,55,19,111,107,1428,258,407,293,77727,68,117,121,1611,68,741,9,336,115
15,21031,2.45,47,40,61,9,136,14,583,238,145,16,12828,0,0,0,207,0,178,0,35,10
16,21033,2.37,35,25,74,52,169,0,29,0,29,0,12758,15,0,20,258,0,246,0,42,19
17,21035,2.32,113,18,30,0,51,272,1950,307,304,363,38302,665,71,38,945,52,753,0,164,45
18,21037,2.46,387,30,52,13,90,303,3273,413,937,246,91456,381,175,233,3722,186,1102,139,338,212
19,21039,2.34,4,10,66,36,133,15,40,15,17,0,4954,0,7,0,31,5,23,0,3,0
20,21041,2.59,115,110,81,169,128,10,604,286,62,32,10776,42,0,3,31,0,52,27,0,10
21,21043,2.50,38,12,43,22,81,25,218,47,39,0,27292,70,8,50,352,40,331,37,25,33
22,21045,2.42,25,19,58,25,136,16,526,100,227,14,15928,19,0,12,71,4,120,0,22,98
23,21047,2.66,553,75,86,52,142,189,4541,488,1432,655,73936,30,223,126,1635,232,610,44,324,223
24,21049,2.49,128,32,43,21,92,56,898,402,177,66,35706,124,27,47,613,37,774,5,213,0
25,21051,2.53,66,34,74,78,143,11,429,125,30,13,21160,14,62,0,113,28,237,0,0,0
26,21053,2.59,56,51,55,102,102,63,202,58,18,23,10172,0,0,9,39,0,82,0,38,0
27,21055,2.42,15,18,42,35,63,54,611,28,535,0,9211,0,10,0,159,0,106,0,11,93
28,21057,2.41,30,40,67,0,132,6,47,8,25,0,6780,0,0,0,42,3,62,0,17,0
29,21059,2.44,423,37,51,32,102,231,3361,858,618,569,98724,114,90,163,1351,124,857,128,284,249
30,21061,2.48,13,12,37,17,93,33,248,23,108,41,12086,0,12,0,252,5,154,0,29,9
31,21063,2.52,43,64,90,18,171,0,199,17,38,4,7661,0,0,0,61,0,77,0,0,7
32,21065,2.54,90,58,60,0,158,21,77,0,0,14,14406,0,45,8,151,5,116,8,37,71
33,21067,2.36,1250,25,47,13,77,2734,35372,8843,6428,7473,311529,2920,899,702,8523,1300,6415,320,2122,662
34,21069,2.53,48,34,66,55,125,1,674,125,467,13,14543,0,7,0,87,20,67,0,122,133
35,21071,2.45,227,55,50,23,106,39,306,29,101,113,38144,0,34,19,220,42,753,0,21,0
36,21073,2.30,230,33,40,23,85,170,2333,583,713,302,49982,72,21,83,1044,33,1252,18,310,153
37,21075,2.25,32,43,70,234,67,0,51,5,6,17,6323,3,4,0,52,0,34,0,8,0
38,21077,2.85,70,72,86,0,211,0,360,231,21,10,8543,0,25,21,414,12,56,0,8,1
39,21079,2.51,94,53,56,27,123,43,334,83,38,14,17051,0,8,7,284,0,387,0,72,7
40,21081,2.92,210,76,69,8,161,36,695,209,107,1,24705,10,64,42,233,8,427,9,40,0
41,21083,2.58,73,19,48,34,100,33,2080,987,344,99,37379,7,44,28,339,39,391,0,98,39
42,21085,2.65,79,31,76,30,139,9,421,130,164,26,26092,0,84,32,341,78,252,7,15,33
43,21087,2.43,16,14,48,19,111,47,355,69,209,22,11123,0,52,13,178,0,227,0,42,94
44,21089,2.51,145,43,41,62,80,43,499,79,131,73,36255,57,33,26,382,55,596,26,6,37
45,21091,2.64,56,69,43,62,82,15,172,51,45,0,8716,0,10,0,136,0,136,0,20,5
46,21093,2.59,474,37,50,27,95,1486,7138,817,2396,1437,107573,274,425,122,3328,223,1224,85,410,153
47,21095,2.39,72,25,45,25,78,18,392,48,84,92,28031,45,0,25,370,19,229,2,25,16
48,21097,2.56,86,40,50,0,126,78,689,177,331,10,18629,0,10,23,156,9,202,0,40,23
49,21099,2.47,175,103,99,24,238,40,1345,45,1105,55,18510,37,8,6,187,0,234,0,61,80
50,21101,2.39,345,63,59,17,126,47,1122,413,137,94,46362,0,58,90,558,19,605,0,71,15
51,21103,2.58,93,58,58,0,128,42,431,105,58,3,15528,0,20,0,180,2,206,9,12,27
52,21105,2.43,44,83,90,184,87,2,124,0,6,13,4691,0,0,0,34,0,75,0,3,0
53,21107,2.47,139,28,54,17,88,79,809,134,109,142,46359,0,50,16,449,42,526,2,39,136
54,21109,2.39,22,17,48,0,128,0,145,29,7,16,13357,0,8,0,123,0,80,0,0,0
55,21111,2.40,3968,37,56,25,93,6534,61958,12873,15229,10407,759724,5703,1269,1388,19458,3187,8445,390,3493,2958
56,21113,2.67,228,35,64,4,128,726,2639,632,1007,409,51015,72,73,81,1109,544,693,0,426,102
57,21115,2.58,51,22,44,34,68,10,324,12,108,41,23280,0,20,0,151,75,660,0,86,16
58,21117,2.57,1037,48,65,48,111,760,5899,1416,1244,1098,163393,643,276,748,6519,386,1940,242,464,359
59,21119,2.51,145,76,70,33,139,10,205,45,90,7,15884,4,0,0,72,3,327,0,8,42
60,21121,2.52,139,40,46,71,75,216,390,79,78,90,31740,0,0,28,196,22,146,0,124,10
61,21123,2.53,48,31,59,0,138,68,506,141,132,15,14127,0,0,0,204,7,148,5,30,0
62,21125,2.57,312,49,50,21,104,91,741,104,233,194,59950,41,31,4,662,6,840,105,230,192
63,21127,2.57,42,30,40,62,75,41,259,6,45,68,15870,69,0,29,126,0,287,5,28,0
64,21129,2.19,34,56,54,0,146,0,49,0,8,5,6896,0,8,0,52,25,58,0,8,0
65,21131,2.61,33,32,53,0,106,0,76,5,34,19,10869,5,0,0,27,0,80,0,0,9
66,21133,2.31,97,44,54,25,103,29,217,36,37,20,23382,0,18,46,104,0,257,6,34,0
67,21135,2.49,49,41,49,8,105,3,214,43,67,0,13646,0,7,0,75,91,79,0,4,0
68,21137,2.49,118,48,64,0,163,14,323,14,184,2,24424,0,0,3,180,21,152,0,15,108
69,21139,2.40,30,41,24,0,43,10,210,33,41,0,9353,23,79,7,166,3,244,0,33,0
70,21141,2.48,112,39,45,20,93,96,733,91,383,13,26757,0,84,2,144,32,398,0,66,126
71,21143,2.09,18,26,23,0,64,30,297,88,86,37,8325,11,5,11,149,52,262,4,31,0
72,21145,2.29,336,42,56,6,122,312,1877,271,432,380,65292,117,109,37,858,83,951,21,388,59
73,21147,2.54,39,26,26,45,51,18,660,75,200,0,17850,24,14,0,458,0,207,0,0,0
74,21149,2.51,49,64,71,0,172,6,169,35,8,35,9492,40,20,21,74,7,91,0,63,9
75,21151,2.50,242,17,46,15,82,215,3244,545,635,661,87324,427,96,58,1916,271,2308,81,221,215
76,21153,2.54,22,21,47,54,107,17,8,4,0,0,12887,0,0,7,22,25,421,0,0,0
77,21155,2.49,128,56,63,23,141,6,568,139,68,133,19497,11,4,0,342,16,189,0,29,249
78,21157,2.38,81,27,35,15,73,97,371,44,72,64,31213,8,35,57,992,30,341,0,136,15
79,21159,2.55,80,79,47,0,130,5,293,93,56,0,12478,11,9,10,73,86,110,0,0,34
80,21161,2.49,66,37,54,2,102,22,892,163,365,66,17229,39,7,0,241,6,220,0,25,146
81,21163,2.68,93,32,68,9,153,98,730,140,168,107,28751,34,86,208,836,23,328,10,229,50
82,21165,2.48,3,4,52,29,90,0,94,0,24,13,6345,0,11,15,72,0,167,0,0,12
83,21167,2.41,73,34,36,10,76,72,639,223,256,33,21411,0,40,140,489,31,421,12,23,24
84,21169,2.51,48,50,95,0,161,39,141,5,68,12,9983,0,21,24,72,0,102,0,2,9
85,21171,2.39,28,30,42,0,89,15,401,91,100,26,10692,0,3,0,102,30,281,0,45,71
86,21173,2.64,114,33,51,0,113,46,460,210,94,6,27391,0,27,10,201,0,315,0,16,36
87,21175,2.36,52,44,54,9,114,6,208,8,45,20,13379,7,0,0,72,7,190,0,21,48
88,21177,2.60,165,51,54,57,99,20,445,46,89,120,31216,14,41,0,358,4,285,0,179,10
89,21179,2.57,149,30,56,37,103,144,985,246,245,25,44875,28,119,179,696,22,522,21,113,6
90,21181,2.52,35,44,50,0,128,16,287,0,223,0,7062,0,0,0,43,0,70,0,8,202
91,21183,2.67,164,78,76,107,125,5,521,314,2,69,24152,38,16,114,205,0,387,0,52,0
92,21185,2.96,213,35,59,11,156,410,2687,598,640,256,63876,235,200,230,2146,387,975,101,351,343
93,21187,2.70,74,63,58,0,110,0,78,14,1,2,10673,0,0,1,112,42,150,0,57,6
94,21189,2.66,7,13,43,48,75,12,45,0,6,0,4552,0,0,0,0,0,50,0,0,21
95,21191,2.69,26,19,65,0,136,15,233,0,49,3,14509,0,5,84,184,8,145,0,27,0
96,21193,2.45,64,21,58,4,141,52,395,94,227,0,27818,21,91,0,453,38,596,1,19,113
97,21195,2.38,225,35,46,26,86,126,904,77,310,206,62791,23,12,53,483,24,860,0,94,124
98,21197,2.53,35,25,50,55,83,24,137,62,30,3,12387,0,0,0,132,24,138,24,23,0
99,21199,2.45,272,37,50,15,111,152,1538,176,397,223,63772,48,64,43,879,33,491,61,80,34
100,21201,2.22,5,26,42,0,99,2,88,0,79,6,2191,0,0,0,28,0,57,0,9,0
101,21203,2.55,74,48,46,61,90,9,147,1,27,0,16893,0,2,66,160,0,163,12,6,7
102,21205,2.52,98,20,47,31,79,74,1099,373,257,54,24302,134,125,146,124,35,397,13,14,0
103,21207,2.47,102,49,47,74,81,47,577,319,138,7,17684,0,24,0,164,21,84,0,5,20
104,21209,2.64,158,27,47,0,93,161,2331,864,322,315,51348,33,123,206,1522,167,1111,41,210,56
105,21211,2.68,271,50,53,27,103,236,3952,1736,379,370,44967,70,64,28,926,219,659,49,249,84
106,21213,2.52,66,33,54,57,85,2,333,72,157,26,17856,35,18,102,121,33,310,0,54,11
107,21215,2.74,9,5,26,0,63,68,357,0,222,16,17798,0,76,33,327,50,171,19,137,43
108,21217,2.48,98,27,41,30,82,122,560,48,242,81,25315,0,9,10,200,0,417,0,65,160
109,21219,2.71,38,31,81,78,153,12,1259,97,960,6,12465,18,29,1,135,43,226,0,10,343
110,21221,2.37,23,17,34,0,88,27,877,78,514,123,14267,0,74,10,88,11,148,23,132,269
111,21223,2.45,38,46,54,0,112,16,207,23,11,1,8751,0,5,14,54,0,107,11,33,5
112,21225,2.42,37,23,40,15,69,16,280,40,61,17,15065,11,17,7,197,30,226,0,0,25
113,21227,2.48,587,31,54,11,97,2338,13196,2482,3558,2986,121066,1272,413,292,2382,145,2160,122,1020,166
114,21229,2.58,30,22,29,36,32,21,430,152,130,17,12017,0,0,0,109,9,184,10,0,0
115,21231,2.58,182,90,61,14,89,7,545,300,81,4,20557,0,13,25,323,0,162,0,45,12
116,21233,2.53,92,71,68,53,132,85,725,229,192,2,13331,0,31,0,185,10,199,0,0,8
117,21235,2.68,241,55,63,34,100,81,526,41,136,51,35842,81,49,23,323,2,512,0,21,22
118,21237,2.45,0,0,39,0,102,0,11,0,0,0,7221,0,0,22,32,0,93,0,15,0
119,21239,2.53,60,20,58,0,105,157,1821,759,138,67,25591,0,54,64,529,84,706,29,166,86
120,39001,2.55,30,10,35,17,66,82,366,23,189,0,28111,78,15,17,384,48,210,6,122,62
121,39003,2.51,543,42,54,11,106,298,2394,251,789,471,104664,211,415,325,4440,205,755,220,468,1685
122,39005,2.51,161,25,53,4,114,327,2963,138,2140,156,53343,326,117,795,2442,240,773,301,384,1053
123,39007,2.47,800,69,72,36,151,456,5890,741,3316,257,99175,262,374,3055,9968,389,1084,1277,1427,445
124,39009,2.48,282,19,25,3,47,301,3420,117,902,1338,65103,732,99,909,2677,346,892,231,233,111
125,39011,2.49,167,37,62,32,125,122,984,67,341,156,45871,46,73,77,1151,17,207,51,108,546
126,39013,2.35,238,35,37,9,83,318,1283,55,500,180,69228,264,73,1519,7177,487,1352,771,281,333
127,39015,2.55,285,59,90,9,178,78,621,56,153,55,44059,14,30,98,1279,50,201,14,81,69
128,39017,2.68,1835,37,53,11,106,2731,24694,5506,6239,5326,373638,1160,738,2249,16123,1751,3219,430,1861,952
129,39019,2.54,58,22,41,2,111,64,822,38,515,68,28108,26,57,264,2113,73,317,277,160,526
130,39021,2.53,189,46,44,5,91,101,712,55,194,181,39175,32,39,95,953,33,400,51,140,200
131,39023,2.43,906,53,52,16,106,522,4970,1062,985,589,136175,277,404,732,4419,380,1363,150,651,339
132,39025,2.65,735,33,51,24,97,1020,5700,552,1751,1114,201092,622,509,1019,6987,463,1517,266,990,595
133,39027,2.53,246,50,59,26,115,171,608,101,191,25,41854,191,57,187,827,128,582,27,377,219
134,39029,2.43,506,46,57,26,116,323,2211,416,631,115,105230,240,114,769,8488,289,1838,1329,750,1045
135,39031,2.51,127,33,57,0,128,94,2868,68,2627,43,36665,8,47,139,1328,85,602,60,207,304
136,39033,2.38,335,72,69,35,158,44,568,127,88,186,42485,44,84,232,1403,59,475,80,399,315
137,39035,2.30,7193,38,49,22,86,33493,133802,15618,52100,18860,1258710,20295,2955,38345,110125,18917,7269,34680,6357,3671
138,39037,2.47,235,47,75,5,168,120,947,175,382,68,52185,24,61,144,1163,67,327,3,169,188
139,39039,2.46,255,60,62,64,111,168,1657,369,358,12,38488,7,133,433,1159,83,266,50,266,385
140,39041,2.80,342,18,47,0,98,2128,14082,624,5179,4554,188996,1381,481,2358,15045,1748,1994,1256,1594,1280
141,39043,2.35,242,26,37,7,85,494,2414,357,765,158,75808,160,380,1396,6673,280,556,604,497,380
142,39045,2.67,636,38,55,7,120,678,4758,436,1542,939,150163,527,350,995,6510,503,1644,434,781,681
143,39047,2.42,152,46,53,17,131,10,809,175,306,46,28719,34,7,30,328,39,189,8,24,25
144,39051,2.59,222,48,72,46,152,179,1862,314,456,21,42466,192,211,566,1213,216,206,150,403,926
145,39053,2.57,146,45,73,61,124,70,925,5,685,107,30376,15,47,36,380,69,387,53,119,317
146,39055,2.67,156,18,65,8,149,1416,10362,112,9330,326,94020,364,241,4233,12798,1285,969,2205,1144,1065
147,39057,2.41,560,25,45,2,82,1261,9759,442,2935,2958,164325,1710,349,1585,6324,580,2112,548,1496,715
148,39059,2.45,108,24,32,28,53,124,1103,34,784,94,39478,108,60,191,1011,128,724,698,225,159
149,39061,2.35,4447,37,53,20,90,7187,53434,7292,17746,9883,805965,4985,1859,4480,37478,5524,6111,1248,4159,2372
150,39063,2.34,282,31,52,3,99,384,3545,309,620,776,75672,885,457,435,2884,247,399,157,309,1068
151,39065,2.53,343,83,83,4,168,197,1357,41,929,126,31652,58,32,83,668,47,343,58,201,225
152,39067,2.44,71,50,60,0,139,34,447,25,327,9,15521,0,16,207,1127,31,439,87,63,30
153,39069,2.49,147,49,70,11,169,53,1076,200,191,49,27890,5,131,202,648,22,115,40,207,210
154,39071,2.56,370,77,67,72,110,74,729,50,387,134,43109,0,8,121,768,22,247,64,89,175
155,39073,2.47,80,28,36,0,83,206,322,24,121,82,28690,10,29,331,716,51,276,13,36,121
156,39075,3.43,64,15,90,0,174,59,18492,50,18223,46,43702,186,26,154,309,93,185,76,215,3470
157,39077,2.57,248,38,49,6,113,261,3674,1037,1221,158,58704,50,170,1139,2728,222,484,347,383,619
158,39079,2.53,141,39,44,7,88,98,781,89,133,42,32717,186,69,87,528,0,259,39,52,43
159,39081,2.35,339,39,43,6,88,407,1648,101,905,245,67607,293,127,1208,9712,413,1330,1234,150,104
160,39083,2.49,256,35,60,3,125,366,2655,60,1958,131,60878,49,173,309,2499,284,502,123,349,536
161,39085,2.37,704,27,45,9,93,5572,15739,2921,7322,967,229266,1264,698,10376,36797,2086,2142,5829,2276,708
162,39087,2.62,161,23,49,50,102,135,912,101,353,93,61503,21,59,49,672,128,826,26,297,218
163,39089,2.59,739,37,54,19,107,731,5314,479,2030,1016,169762,477,403,2004,9749,598,1734,359,1341,665
164,39091,2.40,270,61,69,38,134,127,1896,122,1238,152,45388,168,74,155,1341,24,560,22,212,374
