,FIPS,HC01_VC21,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC161,HC01_VC172,HC01_VC175,HC01_VC176,HC01_VC178,HC01_VC185,HC01_VC187,HC01_VC193,HC01_VC196,HC01_VC198,HC01_VC203,HC01_VC204,HC01_VC206,HC01_VC208,HC01_VC209
0,21001,3.03,0,45,21,85,20,49,142,19,19,0,0,167,75,35,108,0,71,6,14,9
1,21003,3.01,58,68,96,130,8,95,95,43,32,0,13,243,32,0,152,22,0,60,27,0
2,21005,3.04,13,50,20,109,14,145,229,73,9,0,6,239,48,0,219,0,32,16,125,0
3,21007,2.83,52,90,36,190,40,25,2,19,14,0,0,156,0,3,44,4,1,0,32,0
4,21009,2.98,70,50,84,91,9,273,127,104,36,0,32,576,9,11,182,26,49,21,170,16
5,21011,3.25,86,76,61,161,15,69,14,0,0,0,0,249,0,0,86,0,47,19,37,0
6,21013,3.04,53,69,92,113,27,27,34,52,20,0,0,234,36,0,84,0,38,6,64,8
7,21015,3.28,42,59,29,115,24,1349,1111,1761,1222,267,196,1473,451,62,1982,144,755,132,859,0
8,21017,2.99,78,70,51,174,8,828,585,59,0,0,24,127,57,2,202,0,15,97,54,0
9,21019,2.93,46,54,29,109,19,187,313,87,29,0,0,684,62,24,205,25,98,25,312,126
10,21021,2.83,26,60,32,116,26,514,279,150,93,3,10,327,32,11,349,23,81,94,303,7
11,21023,3.27,55,85,0,186,30,125,125,0,0,0,0,185,29,0,59,0,0,0,0,0
12,21025,3.18,61,38,25,95,0,40,64,20,19,2,12,60,4,0,3,7,9,10,9,2
13,21027,3.20,22,39,0,110,3,39,71,22,0,0,0,354,13,0,121,159,4,42,22,0
14,21029,3.06,41,49,7,103,22,201,186,282,133,0,60,802,37,17,913,0,14,219,242,14
15,21031,2.98,29,61,0,133,13,189,128,0,0,0,0,109,0,0,51,0,0,18,29,0
16,21033,3.08,91,84,215,133,0,15,131,28,11,0,27,209,0,0,107,0,47,0,75,0
17,21035,2.86,9,37,10,67,8,314,327,769,457,16,34,473,31,39,557,40,176,64,115,30
18,21037,3.15,35,58,12,109,22,321,329,280,138,208,113,1276,279,27,840,168,235,273,716,0
19,21039,2.78,113,60,27,113,21,28,28,0,0,0,0,66,0,0,13,0,8,0,2,0
20,21041,2.83,52,77,56,86,77,455,420,40,10,0,11,162,2,0,3,0,12,12,73,0
21,21043,3.14,15,36,44,60,12,0,26,17,17,0,34,509,0,0,175,50,7,0,79,0
22,21045,3.10,27,44,6,110,0,110,133,8,8,0,6,86,31,7,96,0,0,116,65,4
23,21047,3.14,68,95,45,150,37,1070,1109,577,303,79,207,699,116,52,1001,0,2625,223,181,237
24,21049,2.82,40,48,30,101,12,297,291,86,44,0,83,275,70,0,303,0,50,12,196,0
25,21051,3.64,81,53,40,121,3,80,101,29,0,0,0,264,0,6,67,6,104,19,72,0
26,21053,3.32,40,44,38,73,24,38,38,13,13,0,0,73,0,9,10,0,41,1,116,1
27,21055,3.08,32,52,0,115,18,23,45,18,0,0,5,77,0,20,89,0,0,28,57,0
28,21057,3.26,8,9,0,28,0,7,33,0,0,0,0,70,0,0,33,3,74,97,7,0
29,21059,3.06,31,41,34,85,7,845,651,232,111,26,41,955,29,12,654,16,435,215,341,62
30,21061,2.94,13,29,13,73,0,0,35,8,0,5,0,153,16,0,113,0,8,0,28,0
31,21063,3.25,78,79,60,100,70,20,117,6,0,0,0,50,0,0,20,0,7,0,115,0
32,21065,3.06,23,36,68,62,9,0,94,12,12,0,0,4,0,14,7,0,0,13,9,0
33,21067,2.92,28,53,38,86,18,11770,9105,6686,3436,517,547,3401,716,388,4145,223,2320,596,2680,656
34,21069,3.21,92,62,36,159,0,40,109,3,0,0,0,139,116,0,9,0,10,112,34,16
35,21071,2.97,22,49,12,107,13,94,51,22,11,5,31,389,111,13,81,0,1,20,156,0
36,21073,2.87,44,56,18,124,11,694,609,417,168,31,26,631,86,0,383,11,186,74,316,34
37,21075,2.69,103,57,36,142,0,0,15,31,13,0,0,36,0,10,169,0,102,10,15,0
38,21077,3.35,70,53,10,151,0,345,298,0,0,0,0,47,0,2,87,2,0,0,100,0
39,21079,3.06,48,45,26,105,7,159,102,8,0,0,96,458,73,0,52,0,0,0,99,6
40,21081,3.14,85,92,58,204,12,145,154,51,30,0,22,337,11,0,81,36,0,42,109,0
41,21083,3.00,39,58,47,108,22,1119,776,28,19,15,70,423,7,0,159,0,1,27,190,67
42,21085,3.14,10,32,22,63,8,185,227,38,38,0,6,307,10,0,15,0,0,15,40,0
43,21087,2.93,47,32,0,64,17,4,35,20,0,0,0,73,7,0,80,0,21,36,29,0
44,21089,3.08,24,52,42,100,19,61,64,78,28,15,30,733,16,18,374,34,51,49,366,0
45,21091,3.02,90,76,67,191,0,45,33,0,0,0,0,186,0,0,21,0,0,17,0,6
46,21093,3.04,49,65,19,130,22,918,507,1645,823,43,268,1041,100,60,1657,73,973,379,642,362
47,21095,3.20,30,46,0,107,10,45,119,0,0,2,0,152,8,3,47,2,37,0,47,10
48,21097,3.24,24,23,100,16,8,169,153,0,0,9,53,256,0,0,123,0,47,15,37,0
49,21099,3.11,62,95,27,217,29,98,86,19,10,12,0,385,0,4,118,0,57,168,39,0
50,21101,2.99,50,62,45,121,15,194,263,14,0,0,0,728,11,0,211,35,426,19,116,19
51,21103,2.99,71,58,27,137,9,177,128,9,0,0,0,315,59,2,123,25,4,22,76,0
52,21105,3.24,0,35,0,65,23,23,12,2,2,0,6,37,0,0,23,0,8,0,0,0
53,21107,3.03,25,46,4,96,18,140,396,155,48,0,2,462,0,0,294,2,164,44,180,36
54,21109,2.78,24,38,0,105,0,0,9,6,0,0,0,24,0,0,10,0,0,0,44,0
