,FIPS,HC01_VC21,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC172,HC01_VC175,HC01_VC188,HC01_VC191,HC01_VC194,HC01_VC195,HC01_VC196,HC01_VC198,HC01_VC199,HC01_VC200,HC01_VC201,HC01_VC202,HC01_VC203,HC01_VC204,HC01_VC205,HC01_VC206,HC01_VC207,HC01_VC208,HC01_VC209
0,21001,2.44,9.0,5.0,60.0,34.0,103.0,359.0,157.0,0.0,4793.0,1401.0,0.0,79.0,243.0,30.0,20.0,64.0,0.0,4.0,217.0,158.0,0.0,70.0,67.0,10.0
1,21003,2.46,48.0,26.0,43.0,47.0,94.0,991.0,115.0,24.0,1969.0,2634.0,144.0,54.0,182.0,0.0,13.0,132.0,0.0,0.0,269.0,362.0,23.0,0.0,29.0,94.0
2,21005,2.58,83.0,32.0,60.0,25.0,119.0,550.0,199.0,7.0,2779.0,2999.0,22.0,42.0,430.0,0.0,31.0,219.0,0.0,33.0,542.0,588.0,0.0,29.0,46.0,19.0
3,21007,2.46,22.0,31.0,76.0,24.0,153.0,139.0,2.0,2.0,759.0,1130.0,26.0,0.0,105.0,3.0,5.0,43.0,0.0,12.0,111.0,101.0,0.0,2.0,29.0,0.0
4,21009,2.51,287.0,69.0,59.0,109.0,104.0,1333.0,196.0,36.0,5393.0,4481.0,0.0,7.0,581.0,0.0,71.0,246.0,39.0,1.0,611.0,1227.0,28.0,55.0,143.0,0.0
5,21011,2.61,113.0,86.0,76.0,110.0,140.0,142.0,42.0,0.0,1497.0,972.0,35.0,0.0,41.0,0.0,46.0,91.0,0.0,5.0,141.0,290.0,0.0,36.0,104.0,16.0
6,21013,2.46,169.0,50.0,58.0,97.0,89.0,240.0,17.0,0.0,1657.0,1217.0,32.0,16.0,232.0,0.0,86.0,102.0,0.0,0.0,317.0,217.0,0.0,35.0,53.0,9.0
7,21015,2.78,530.0,42.0,62.0,26.0,125.0,7112.0,1124.0,199.0,14548.0,38856.0,148.0,426.0,4368.0,113.0,702.0,2053.0,182.0,261.0,1653.0,2923.0,79.0,628.0,806.0,124.0
8,21017,2.51,129.0,57.0,56.0,80.0,120.0,1182.0,611.0,27.0,1928.0,2174.0,0.0,53.0,368.0,3.0,97.0,198.0,9.0,13.0,303.0,311.0,0.0,12.0,84.0,72.0
9,21019,2.41,190.0,38.0,46.0,32.0,88.0,952.0,224.0,0.0,5634.0,6729.0,41.0,88.0,867.0,15.0,45.0,113.0,119.0,197.0,902.0,1127.0,14.0,135.0,113.0,31.0
10,21021,2.38,89.0,26.0,53.0,21.0,108.0,1092.0,323.0,36.0,3835.0,3920.0,46.0,18.0,597.0,8.0,107.0,236.0,20.0,24.0,770.0,660.0,15.0,115.0,176.0,121.0
11,21023,2.59,61.0,67.0,72.0,0.0,157.0,109.0,72.0,23.0,879.0,1826.0,39.0,79.0,211.0,0.0,0.0,90.0,0.0,11.0,74.0,114.0,0.0,0.0,1.0,0.0
12,21025,2.52,76.0,43.0,33.0,29.0,80.0,226.0,112.0,9.0,1490.0,880.0,0.0,0.0,119.0,0.0,10.0,3.0,0.0,6.0,180.0,92.0,7.0,12.0,9.0,7.0
13,21027,2.74,62.0,29.0,47.0,11.0,120.0,520.0,101.0,0.0,2698.0,3170.0,7.0,21.0,303.0,0.0,21.0,171.0,9.0,78.0,273.0,344.0,161.0,3.0,60.0,149.0
14,21029,2.69,301.0,34.0,47.0,11.0,91.0,1231.0,173.0,70.0,6829.0,12860.0,156.0,85.0,1831.0,20.0,135.0,848.0,0.0,66.0,807.0,921.0,0.0,15.0,163.0,198.0
15,21031,2.45,30.0,27.0,78.0,16.0,157.0,347.0,134.0,0.0,952.0,889.0,0.0,0.0,135.0,0.0,10.0,28.0,13.0,0.0,151.0,185.0,0.0,4.0,50.0,14.0
16,21033,2.44,113.0,78.0,71.0,124.0,139.0,103.0,65.0,16.0,1339.0,1582.0,0.0,13.0,250.0,0.0,65.0,113.0,0.0,0.0,353.0,218.0,0.0,54.0,33.0,0.0
17,21035,2.28,49.0,8.0,27.0,0.0,53.0,1961.0,467.0,28.0,4426.0,5350.0,147.0,47.0,841.0,60.0,149.0,629.0,32.0,103.0,659.0,965.0,36.0,271.0,192.0,57.0
18,21037,2.49,418.0,33.0,56.0,9.0,105.0,3341.0,335.0,128.0,9126.0,35818.0,275.0,346.0,4099.0,58.0,227.0,990.0,198.0,184.0,1023.0,1660.0,163.0,279.0,282.0,299.0
19,21039,2.46,33.0,77.0,91.0,50.0,190.0,58.0,12.0,0.0,568.0,487.0,0.0,0.0,38.0,0.0,3.0,10.0,3.0,6.0,37.0,131.0,0.0,5.0,11.0,0.0
20,21041,2.46,65.0,53.0,70.0,53.0,70.0,773.0,413.0,5.0,1329.0,1438.0,0.0,2.0,51.0,0.0,84.0,5.0,0.0,0.0,148.0,282.0,25.0,19.0,8.0,11.0
21,21043,2.59,52.0,18.0,39.0,31.0,75.0,163.0,27.0,23.0,2896.0,3549.0,7.0,0.0,129.0,0.0,67.0,100.0,0.0,29.0,403.0,760.0,27.0,2.0,8.0,10.0
22,21045,2.59,50.0,32.0,53.0,28.0,128.0,527.0,114.0,8.0,1348.0,1066.0,0.0,32.0,67.0,0.0,10.0,87.0,42.0,3.0,203.0,223.0,0.0,0.0,28.0,20.0
23,21047,2.65,426.0,62.0,89.0,56.0,133.0,4429.0,924.0,206.0,6152.0,7305.0,145.0,104.0,1807.0,47.0,266.0,985.0,150.0,136.0,476.0,1297.0,74.0,3731.0,203.0,142.0
24,21049,2.43,146.0,39.0,43.0,20.0,87.0,753.0,180.0,67.0,3951.0,4153.0,75.0,52.0,709.0,0.0,164.0,168.0,0.0,37.0,673.0,1091.0,0.0,33.0,69.0,5.0
25,21051,2.71,145.0,56.0,37.0,17.0,90.0,393.0,126.0,0.0,1377.0,1322.0,94.0,0.0,104.0,7.0,8.0,47.0,40.0,14.0,230.0,244.0,7.0,129.0,129.0,5.0
26,21053,2.54,33.0,29.0,40.0,23.0,76.0,144.0,39.0,0.0,3650.0,569.0,0.0,8.0,48.0,10.0,16.0,7.0,0.0,8.0,64.0,39.0,0.0,23.0,65.0,1.0
27,21055,2.41,14.0,21.0,59.0,0.0,129.0,665.0,25.0,4.0,1031.0,806.0,17.0,0.0,100.0,38.0,5.0,71.0,16.0,0.0,87.0,154.0,0.0,0.0,13.0,28.0
28,21057,2.59,6.0,7.0,23.0,0.0,71.0,104.0,35.0,0.0,2139.0,564.0,0.0,0.0,28.0,0.0,11.0,74.0,0.0,0.0,49.0,104.0,0.0,60.0,39.0,0.0
29,21059,2.51,534.0,48.0,52.0,50.0,105.0,3101.0,668.0,56.0,9965.0,13544.0,219.0,20.0,1177.0,11.0,246.0,581.0,70.0,126.0,1110.0,1525.0,17.0,399.0,276.0,273.0
30,21061,2.47,16.0,16.0,34.0,13.0,86.0,314.0,31.0,0.0,1030.0,889.0,0.0,13.0,196.0,0.0,46.0,78.0,0.0,0.0,127.0,328.0,0.0,9.0,59.0,10.0
31,21063,2.59,49.0,67.0,78.0,102.0,105.0,159.0,107.0,0.0,768.0,597.0,0.0,0.0,30.0,0.0,6.0,6.0,0.0,0.0,107.0,57.0,0.0,0.0,0.0,0.0
32,21065,2.48,29.0,20.0,40.0,96.0,64.0,118.0,2.0,0.0,1451.0,1399.0,10.0,6.0,142.0,18.0,20.0,6.0,0.0,40.0,131.0,507.0,6.0,0.0,24.0,11.0
33,21067,2.34,1238.0,26.0,52.0,29.0,82.0,33447.0,8833.0,717.0,35455.0,42010.0,741.0,744.0,9223.0,326.0,1838.0,3806.0,451.0,1375.0,6080.0,8170.0,213.0,2587.0,1931.0,745.0
34,21069,2.6,69.0,46.0,58.0,33.0,149.0,381.0,75.0,0.0,1492.0,1326.0,0.0,106.0,409.0,0.0,0.0,0.0,0.0,0.0,89.0,198.0,0.0,0.0,168.0,80.0
35,21071,2.49,148.0,36.0,48.0,13.0,98.0,332.0,65.0,19.0,3811.0,2485.0,18.0,82.0,354.0,0.0,49.0,76.0,0.0,5.0,534.0,529.0,0.0,1.0,23.0,20.0
36,21073,2.25,360.0,53.0,65.0,13.0,151.0,2318.0,792.0,61.0,6236.0,5845.0,9.0,100.0,997.0,0.0,67.0,350.0,44.0,110.0,926.0,928.0,26.0,250.0,126.0,83.0
37,21075,2.3,34.0,50.0,29.0,27.0,71.0,186.0,18.0,0.0,495.0,496.0,0.0,0.0,71.0,26.0,28.0,76.0,0.0,0.0,45.0,59.0,0.0,112.0,9.0,9.0
38,21077,2.81,75.0,77.0,78.0,9.0,212.0,424.0,293.0,0.0,513.0,1949.0,0.0,0.0,231.0,1.0,0.0,56.0,32.0,0.0,44.0,226.0,3.0,0.0,11.0,0.0
39,21079,2.66,98.0,56.0,51.0,33.0,115.0,401.0,130.0,81.0,1900.0,1801.0,11.0,70.0,284.0,0.0,42.0,31.0,24.0,0.0,324.0,342.0,0.0,0.0,87.0,0.0
40,21081,2.92,145.0,57.0,70.0,63.0,149.0,669.0,265.0,10.0,2326.0,6192.0,23.0,10.0,391.0,0.0,17.0,108.0,12.0,9.0,492.0,409.0,41.0,0.0,58.0,45.0
41,21083,2.54,127.0,34.0,48.0,37.0,89.0,2382.0,888.0,37.0,3664.0,3247.0,79.0,0.0,355.0,0.0,70.0,91.0,0.0,11.0,375.0,579.0,0.0,1.0,127.0,22.0
42,21085,2.57,43.0,16.0,35.0,29.0,68.0,331.0,130.0,5.0,2309.0,2672.0,18.0,10.0,365.0,8.0,25.0,14.0,6.0,66.0,314.0,269.0,8.0,0.0,84.0,20.0
43,21087,2.47,31.0,30.0,33.0,21.0,55.0,183.0,32.0,0.0,1176.0,902.0,0.0,7.0,150.0,0.0,16.0,81.0,0.0,0.0,177.0,66.0,0.0,33.0,44.0,25.0
44,21089,2.51,116.0,33.0,47.0,46.0,88.0,503.0,68.0,26.0,4897.0,5648.0,22.0,19.0,579.0,16.0,37.0,392.0,3.0,37.0,670.0,865.0,3.0,44.0,129.0,39.0
45,21091,2.53,53.0,66.0,50.0,94.0,106.0,149.0,39.0,4.0,840.0,1788.0,0.0,0.0,106.0,0.0,45.0,28.0,3.0,25.0,149.0,153.0,0.0,0.0,17.0,9.0
46,21093,2.6,477.0,39.0,60.0,23.0,120.0,7480.0,706.0,277.0,9986.0,17769.0,202.0,119.0,2970.0,62.0,434.0,1496.0,24.0,196.0,851.0,1939.0,114.0,982.0,332.0,255.0
47,21095,2.51,52.0,16.0,31.0,0.0,65.0,367.0,100.0,0.0,1544.0,1236.0,0.0,29.0,262.0,2.0,14.0,34.0,10.0,18.0,187.0,377.0,1.0,61.0,22.0,17.0
48,21097,2.56,56.0,26.0,28.0,90.0,34.0,618.0,189.0,42.0,2058.0,3224.0,0.0,34.0,368.0,0.0,52.0,138.0,0.0,76.0,382.0,302.0,0.0,31.0,9.0,14.0
49,21099,2.54,148.0,76.0,98.0,36.0,213.0,1208.0,43.0,0.0,1808.0,1826.0,16.0,0.0,229.0,0.0,69.0,91.0,20.0,0.0,203.0,564.0,0.0,44.0,33.0,225.0
50,21101,2.4,325.0,62.0,61.0,29.0,127.0,1346.0,404.0,0.0,4076.0,7800.0,183.0,0.0,400.0,0.0,194.0,125.0,7.0,40.0,711.0,887.0,0.0,510.0,53.0,10.0
51,21103,2.55,109.0,72.0,63.0,6.0,161.0,482.0,124.0,0.0,1890.0,2341.0,20.0,82.0,147.0,2.0,46.0,163.0,62.0,2.0,168.0,259.0,24.0,1.0,64.0,19.0
52,21105,2.34,46.0,97.0,73.0,231.0,48.0,64.0,0.0,4.0,235.0,391.0,0.0,0.0,45.0,0.0,4.0,17.0,23.0,0.0,150.0,13.0,0.0,4.0,0.0,0.0
53,21107,2.48,170.0,34.0,46.0,34.0,82.0,1168.0,355.0,2.0,6011.0,4622.0,4.0,0.0,452.0,0.0,56.0,212.0,12.0,51.0,704.0,785.0,2.0,256.0,40.0,27.0
54,21109,2.33,40.0,26.0,38.0,0.0,101.0,86.0,0.0,0.0,1037.0,548.0,0.0,0.0,81.0,0.0,8.0,8.0,0.0,65.0,66.0,49.0,0.0,0.0,29.0,0.0
55,21111,2.39,4308.0,41.0,54.0,25.0,94.0,58200.0,13661.0,1184.0,71206.0,134144.0,1502.0,1592.0,18101.0,377.0,2525.0,7258.0,753.0,3369.0,9207.0,12852.0,496.0,22442.0,2907.0,3099.0
56,21113,2.63,195.0,34.0,62.0,14.0,117.0,1883.0,230.0,107.0,5802.0,7032.0,179.0,140.0,1003.0,122.0,241.0,563.0,0.0,121.0,553.0,1226.0,16.0,211.0,491.0,78.0
57,21115,2.5,87.0,34.0,47.0,54.0,83.0,234.0,8.0,0.0,2292.0,1499.0,0.0,0.0,216.0,0.0,0.0,37.0,17.0,10.0,311.0,277.0,0.0,5.0,47.0,0.0
58,21117,2.56,1028.0,48.0,64.0,59.0,114.0,6198.0,1482.0,393.0,18148.0,56313.0,361.0,604.0,7339.0,139.0,582.0,2032.0,105.0,290.0,2102.0,3252.0,265.0,872.0,559.0,447.0
59,21119,2.63,117.0,56.0,58.0,49.0,132.0,205.0,9.0,0.0,1672.0,942.0,0.0,0.0,127.0,0.0,36.0,54.0,6.0,0.0,312.0,94.0,0.0,0.0,89.0,59.0
60,21121,2.53,177.0,49.0,61.0,101.0,110.0,432.0,143.0,0.0,2286.0,2733.0,9.0,23.0,395.0,0.0,0.0,69.0,57.0,25.0,482.0,253.0,0.0,0.0,140.0,23.0
61,21123,2.66,137.0,91.0,60.0,47.0,128.0,398.0,105.0,19.0,1262.0,1308.0,0.0,8.0,249.0,0.0,57.0,20.0,17.0,8.0,67.0,225.0,5.0,0.0,0.0,0.0
62,21125,2.55,252.0,42.0,63.0,45.0,131.0,969.0,315.0,16.0,6801.0,5774.0,25.0,47.0,705.0,0.0,149.0,324.0,14.0,19.0,590.0,599.0,8.0,0.0,93.0,558.0
63,21127,2.7,8.0,5.0,28.0,0.0,56.0,202.0,13.0,0.0,1766.0,1219.0,5.0,17.0,195.0,0.0,31.0,148.0,76.0,0.0,286.0,222.0,4.0,0.0,72.0,0.0
64,21129,2.28,9.0,13.0,35.0,0.0,83.0,73.0,27.0,0.0,811.0,666.0,12.0,0.0,79.0,0.0,0.0,7.0,0.0,0.0,85.0,99.0,0.0,0.0,4.0,3.0
65,21131,2.62,0.0,0.0,31.0,0.0,85.0,32.0,17.0,0.0,2090.0,386.0,0.0,0.0,35.0,0.0,0.0,10.0,0.0,0.0,81.0,280.0,0.0,0.0,0.0,0.0
66,21133,2.56,98.0,41.0,47.0,24.0,94.0,212.0,44.0,10.0,1748.0,1156.0,0.0,43.0,59.0,0.0,10.0,84.0,0.0,0.0,457.0,229.0,17.0,0.0,7.0,0.0
67,21135,2.74,13.0,9.0,22.0,10.0,49.0,254.0,60.0,0.0,1409.0,1361.0,0.0,0.0,141.0,0.0,55.0,193.0,0.0,122.0,91.0,165.0,0.0,0.0,26.0,0.0
68,21137,2.52,92.0,35.0,46.0,0.0,119.0,220.0,18.0,0.0,1403.0,1477.0,0.0,0.0,147.0,15.0,108.0,106.0,20.0,33.0,131.0,267.0,0.0,3.0,168.0,80.0
69,21139,2.62,96.0,113.0,74.0,0.0,199.0,173.0,53.0,0.0,1028.0,909.0,0.0,11.0,171.0,2.0,72.0,78.0,15.0,0.0,262.0,176.0,0.0,0.0,78.0,7.0
70,21141,2.43,89.0,31.0,50.0,32.0,102.0,976.0,217.0,0.0,4024.0,3083.0,10.0,0.0,109.0,0.0,93.0,82.0,7.0,16.0,350.0,489.0,0.0,245.0,139.0,38.0
71,21143,2.12,14.0,19.0,22.0,0.0,61.0,214.0,2.0,0.0,972.0,1014.0,0.0,14.0,190.0,17.0,32.0,127.0,0.0,13.0,190.0,160.0,7.0,27.0,47.0,28.0
72,21145,2.38,212.0,28.0,46.0,12.0,100.0,1951.0,362.0,111.0,7954.0,9135.0,58.0,141.0,1041.0,42.0,194.0,597.0,17.0,64.0,1402.0,1298.0,10.0,110.0,255.0,103.0
73,21147,2.57,13.0,8.0,29.0,37.0,62.0,523.0,77.0,11.0,1389.0,1302.0,0.0,0.0,453.0,0.0,47.0,33.0,10.0,6.0,184.0,335.0,6.0,87.0,41.0,0.0
74,21149,2.5,83.0,78.0,66.0,0.0,151.0,185.0,33.0,0.0,831.0,1028.0,0.0,7.0,61.0,0.0,24.0,27.0,0.0,3.0,95.0,102.0,0.0,0.0,79.0,0.0
75,21151,2.49,351.0,27.0,54.0,55.0,82.0,2386.0,572.0,79.0,10003.0,10786.0,111.0,175.0,2094.0,124.0,358.0,638.0,106.0,195.0,1906.0,1851.0,73.0,206.0,314.0,357.0
76,21153,2.64,98.0,71.0,49.0,45.0,99.0,32.0,19.0,0.0,1722.0,432.0,0.0,6.0,127.0,0.0,0.0,15.0,0.0,26.0,69.0,161.0,0.0,3.0,0.0,0.0
77,21155,2.52,118.0,52.0,65.0,17.0,128.0,650.0,238.0,45.0,2171.0,1223.0,14.0,0.0,306.0,0.0,5.0,53.0,0.0,43.0,130.0,95.0,0.0,270.0,24.0,83.0
78,21157,2.57,136.0,46.0,57.0,13.0,130.0,441.0,80.0,15.0,3538.0,3876.0,19.0,26.0,526.0,0.0,29.0,365.0,56.0,63.0,407.0,659.0,0.0,0.0,153.0,11.0
79,21159,2.55,51.0,46.0,44.0,0.0,66.0,348.0,92.0,0.0,708.0,703.0,0.0,0.0,83.0,0.0,23.0,9.0,0.0,84.0,168.0,50.0,0.0,65.0,8.0,26.0
80,21161,2.6,113.0,56.0,58.0,0.0,122.0,544.0,15.0,40.0,1863.0,3337.0,32.0,0.0,178.0,0.0,7.0,29.0,0.0,0.0,351.0,348.0,0.0,21.0,17.0,57.0
81,21163,2.79,135.0,48.0,61.0,8.0,127.0,786.0,117.0,45.0,2694.0,5792.0,122.0,36.0,667.0,0.0,109.0,329.0,17.0,31.0,279.0,679.0,0.0,134.0,59.0,42.0
82,21165,2.58,34.0,50.0,43.0,78.0,56.0,188.0,76.0,0.0,1072.0,675.0,0.0,0.0,65.0,0.0,17.0,8.0,0.0,0.0,55.0,134.0,0.0,0.0,29.0,13.0
83,21167,2.42,97.0,45.0,82.0,18.0,182.0,396.0,118.0,0.0,2467.0,3239.0,0.0,28.0,356.0,0.0,33.0,119.0,18.0,8.0,427.0,335.0,0.0,40.0,20.0,24.0
84,21169,2.53,7.0,8.0,72.0,13.0,124.0,100.0,15.0,0.0,1143.0,679.0,0.0,0.0,33.0,0.0,0.0,84.0,3.0,42.0,226.0,337.0,0.0,0.0,6.0,9.0
