,FIPS,HC01_VC21,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC172,HC01_VC175,HC01_VC188,HC01_VC191,HC01_VC194,HC01_VC195,HC01_VC196,HC01_VC198,HC01_VC199,HC01_VC200,HC01_VC201,HC01_VC202,HC01_VC203,HC01_VC204,HC01_VC205,HC01_VC206,HC01_VC207,HC01_VC208,HC01_VC209
0,21001,3.03,0,45,21,85,20,142,19,4427,1380,1810,337,35,108,0,0,252,147,0,71,93,6,0,14,9
1,21003,3.01,58,68,96,130,8,95,43,1963,2400,2526,319,0,152,44,0,353,268,22,0,37,60,0,27,0
2,21005,3.04,13,50,20,109,14,229,73,2356,2734,3651,433,0,219,0,74,556,454,0,32,95,16,167,125,0
3,21007,2.83,52,90,36,190,40,2,19,783,1117,1342,118,3,44,11,9,127,116,4,1,31,0,0,32,0
4,21009,2.98,70,50,84,91,9,127,104,5366,4313,3620,566,11,182,27,1,669,1196,26,49,103,21,0,170,16
5,21011,3.25,86,76,61,161,15,14,0,1585,934,1923,49,0,86,0,0,155,211,0,47,26,19,0,37,0
6,21013,3.04,53,69,92,113,27,34,52,2000,1279,2120,209,0,84,0,0,277,253,0,38,54,6,0,64,8
7,21015,3.28,42,59,29,115,24,1111,1761,14363,40083,20268,4552,62,1982,119,257,1862,3315,144,755,714,132,245,859,0
8,21017,2.99,78,70,51,174,8,585,59,2251,2272,2650,356,2,202,0,13,394,364,0,15,87,97,24,54,0
9,21019,2.93,46,54,29,109,19,313,87,5653,6748,8929,1011,24,205,84,234,934,1100,25,98,124,25,20,312,126
10,21021,2.83,26,60,32,116,26,279,150,3701,3793,3905,523,11,349,26,11,825,617,23,81,135,94,6,303,7
11,21023,3.27,55,85,0,186,30,125,0,796,1623,1329,226,0,59,0,128,74,120,0,0,2,0,0,0,0
12,21025,3.18,61,38,25,95,0,64,20,1480,928,1032,127,0,3,0,7,132,95,7,9,10,10,0,9,2
13,21027,3.2,22,39,0,110,3,71,22,2458,3178,3114,421,0,121,78,43,290,378,159,4,125,42,0,22,0
14,21029,3.06,41,49,7,103,22,186,282,7241,12583,10718,1664,17,913,12,52,768,1066,0,14,348,219,57,242,14
15,21031,2.98,29,61,0,133,13,128,0,861,705,1135,108,0,51,5,0,150,101,0,0,73,18,0,29,0
16,21033,3.08,91,84,215,133,0,131,28,1253,1664,2054,309,0,107,0,0,393,227,0,47,25,0,0,75,0
17,21035,2.86,9,37,10,67,8,327,769,4328,5408,4877,636,39,557,30,101,828,871,40,176,202,64,42,115,30
18,21037,3.15,35,58,12,109,22,329,280,9514,35367,16297,4273,27,840,65,142,997,1729,168,235,330,273,110,716,0
19,21039,2.78,113,60,27,113,21,28,0,523,381,558,49,0,13,5,5,63,103,0,8,13,0,0,2,0
20,21041,2.83,52,77,56,86,77,420,40,1470,1513,1201,76,0,3,13,0,135,344,0,12,9,12,12,73,0
21,21043,3.14,15,36,44,60,12,26,17,3025,3709,4427,142,0,175,0,37,356,836,50,7,8,0,0,79,0
22,21045,3.1,27,44,6,110,0,133,8,1163,1121,1184,79,7,96,31,0,250,158,0,0,28,116,0,65,4
23,21047,3.14,68,95,45,150,37,1109,577,6622,7440,6558,1898,52,1001,138,69,655,1189,0,2625,215,223,0,181,237
24,21049,2.82,40,48,30,101,12,291,86,4131,4053,4381,712,0,303,0,31,512,1031,0,50,73,12,52,196,0
