,FIPS,HC01_VC21,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC172,HC01_VC175,HC01_VC188,HC01_VC191,HC01_VC194,HC01_VC195,HC01_VC196,HC01_VC198,HC01_VC199,HC01_VC200,HC01_VC201,HC01_VC202,HC01_VC203,HC01_VC204,HC01_VC205,HC01_VC206,HC01_VC207,HC01_VC208,HC01_VC209
0,21001,2.93,0,65,78,110,20,57,63,3576,1539,1824,325,10,149,30,0,370,81,0,69,20,2,0,199,7
1,21003,2.95,56,85,86,173,12,130,47,1954,1924,2333,328,0,127,35,0,350,335,24,0,0,0,0,12,0
2,21005,2.89,20,48,12,113,10,275,92,2614,2971,3542,458,0,162,0,148,671,438,0,29,84,74,204,137,0
3,21007,2.85,74,73,35,133,46,12,24,924,1151,1385,138,6,80,0,17,253,83,8,11,101,0,0,35,14
4,21009,2.97,74,72,86,135,20,221,97,4441,4623,3277,500,9,287,36,0,988,1509,38,35,90,39,9,182,28
5,21011,3.12,51,76,0,201,5,67,12,1529,1165,1946,61,0,20,0,0,199,273,0,0,34,17,0,99,0
6,21013,3.05,51,70,84,128,21,104,10,2352,1054,1764,183,0,136,0,0,278,243,0,47,88,0,0,53,0
7,21015,3.23,37,55,29,98,30,1197,1582,14830,39499,21387,4718,65,2041,107,392,2094,3299,149,504,722,151,194,954,163
8,21017,2.9,87,58,52,128,16,467,51,2298,2479,2877,299,0,175,0,44,422,269,0,11,82,74,0,75,0
9,21019,2.96,50,49,17,108,13,315,119,6257,6774,9374,863,14,276,65,46,1174,1074,9,143,156,20,13,323,238
10,21021,2.83,34,61,9,132,21,265,121,3993,3913,3821,669,27,263,24,11,1066,580,28,56,89,79,8,290,0
11,21023,3.2,44,72,7,171,21,70,0,1019,2276,1726,221,0,53,0,77,118,255,0,0,2,8,0,13,0
12,21025,3.47,47,41,0,83,20,116,14,1596,1223,1192,285,0,0,0,0,162,111,0,0,0,28,0,16,11
13,21027,3.07,44,49,24,120,6,89,11,2673,3602,4080,412,0,130,92,36,584,406,168,0,128,100,0,19,21
14,21029,3.04,41,51,15,108,22,312,233,7399,13774,10901,1605,21,923,31,56,825,1278,0,10,551,159,69,264,12
15,21031,2.92,39,93,0,214,11,186,0,1107,902,1147,75,0,56,0,0,252,81,0,0,115,0,0,22,0
16,21033,3.05,35,52,0,135,0,133,138,1625,1513,1715,186,0,78,0,15,333,332,9,0,15,0,0,37,0
17,21035,2.82,12,40,11,72,10,378,604,4329,5489,4961,726,67,616,0,118,1407,931,131,117,361,25,32,100,43
18,21037,3.07,34,62,21,121,24,228,261,9009,35426,16347,4262,53,921,30,168,1632,1837,102,81,448,216,138,664,10
19,21039,2.86,102,51,15,133,0,2,0,481,367,608,51,0,20,3,0,49,195,0,4,0,0,0,10,0
20,21041,2.88,30,50,28,41,65,441,59,1504,1654,1610,109,0,5,12,0,307,331,0,6,9,0,12,91,0
21,21043,3.01,42,49,79,80,13,27,7,3091,3637,4035,151,0,174,0,0,525,885,0,23,40,0,0,91,0
22,21045,3.18,12,43,10,104,0,144,0,1487,1422,1252,83,7,155,41,45,460,187,0,0,47,125,0,58,28
23,21047,3.09,77,100,73,164,26,881,583,7635,8325,7019,2025,46,1072,91,47,1352,1018,32,939,477,243,12,140,252
24,21049,2.81,100,73,72,144,19,441,109,3783,4177,4864,583,0,563,0,66,890,947,0,67,118,22,45,256,0
25,21051,4.03,36,42,25,74,25,55,94,1159,986,1681,125,0,18,42,14,139,235,0,129,66,39,0,77,20
26,21053,3.04,36,56,0,79,52,112,0,4075,580,682,38,0,8,0,28,81,76,0,41,0,0,0,184,0
27,21055,3.08,8,16,0,43,0,69,24,1095,764,1210,127,0,14,0,0,173,114,0,0,27,20,0,43,0
28,21057,3.31,0,0,0,0,0,26,0,1097,753,444,36,0,13,0,0,30,131,4,3,16,70,0,0,0
29,21059,3.01,49,51,35,98,18,763,209,11409,13442,11722,1302,16,500,32,52,1549,1404,45,161,298,231,13,376,36
30,21061,2.84,20,56,10,136,11,34,7,1057,898,1295,135,0,133,0,0,166,333,0,35,0,0,0,32,0
31,21063,3.11,90,53,134,113,0,141,0,766,724,904,10,0,14,0,0,122,92,0,36,0,0,0,244,0
32,21065,3.16,20,48,189,61,6,142,0,1364,1185,1476,196,0,74,0,0,101,195,0,0,0,10,0,2,0
33,21067,2.9,28,48,38,75,18,8661,5623,38127,42920,39145,7961,423,4181,519,1244,8882,8625,287,1939,2030,708,478,2350,388
