,FIPS,Year,Score_County_1,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank
0,51001,2016,13.281574246330884,14,0,Normal,1
1,39001,2016,40.16354567181944,41,6,Critical,2
2,42001,2016,19.626368754752946,20,3,Normal,1
3,51510,2016,10.635195300828832,11,6,Normal,1
4,42003,2016,2625.359791728557,2626,4,Severe,3
5,21003,2016,16.06176803439315,17,4,Normal,1
6,51007,2016,7.527984955854047,8,9,Normal,1
7,51013,2016,1.087249424049689,2,6,Good,0
8,42005,2016,29.97636487796341,30,3,Critical,2
9,39005,2016,72.14672044278952,73,5,Critical,2
10,39007,2016,93.34503798735015,94,0,Critical,2
11,39009,2016,55.51230400914493,56,7,Critical,2
12,39011,2016,13.240300757478542,14,6,Normal,1
13,54001,2016,4.040820608947598,5,8,Good,0
14,21009,2016,18.543930618691714,19,7,Normal,1
15,21011,2016,11.920093591153964,12,11,Normal,1
16,42009,2016,7.898437472282716,8,2,Normal,1
17,51019,2016,21.955709764952914,22,9,Normal,1
18,21013,2016,21.273897760040096,22,6,Normal,1
19,54003,2016,2.096338331001216,3,5,Good,0
20,42011,2016,207.6045475351942,208,4,Critical,2
21,51021,2016,18.028447085530654,19,6,Normal,1
22,21015,2016,98.96575941883094,99,7,Critical,2
23,54005,2016,13.302900730122216,14,5,Normal,1
24,21023,2016,14.310094297029435,15,11,Normal,1
25,54007,2016,10.678887578009746,11,7,Normal,1
26,21025,2016,11.155543158471696,12,8,Normal,1
27,21027,2016,15.658131127145055,16,5,Normal,1
28,39015,2016,20.099110593535077,21,8,Normal,1
29,51029,2016,16.088640462617846,17,5,Normal,1
30,42017,2016,4.130520721846757,5,3,Good,0
31,21029,2016,16.87895354082564,17,6,Normal,1
32,39017,2016,117.72798401602707,118,4,Critical,2
33,42019,2016,2.8178645115050105,3,4,Good,0
34,54011,2016,74.75185862586058,75,7,Critical,2
35,54013,2016,17.253524840668465,18,7,Normal,1
36,42021,2016,145.1289150754127,146,2,Critical,2
37,42023,2016,10.463483588618919,11,2,Normal,1
38,42025,2016,18.303973229027807,19,5,Normal,1
39,51033,2016,26.32343026067261,27,8,Critical,2
40,21041,2016,29.499446649774285,30,8,Critical,2
41,39019,2016,7.414511647712413,8,6,Normal,1
42,21043,2016,11.93352155494476,12,7,Normal,1
43,21045,2016,3.445442634135984,4,8,Good,0
44,51540,2016,9.466313897351228,10,8,Normal,1
45,51550,2016,15.318736186002116,16,8,Normal,1
46,42029,2016,74.37594414503819,75,3,Critical,2
47,51041,2016,230.0200102826199,231,13,Critical,2
48,21047,2016,0.36907550106519416,1,5,Good,0
49,42031,2016,10.912809499200227,11,4,Normal,1
50,42033,2016,4.33454970466655,5,2,Good,0
51,39025,2016,8.50180835692214,9,9,Normal,1
52,39027,2016,76.58425352711278,77,5,Critical,2
53,51570,2016,1.2155884540749844,2,11,Good,0
54,42037,2016,16.517050245509363,17,5,Normal,1
55,39029,2016,41.56906093190121,42,7,Critical,2
56,39033,2016,49.059006227861296,50,6,Critical,2
57,42039,2016,36.80639402126896,37,3,Critical,2
58,21055,2016,15.592555764554653,16,5,Normal,1
59,39035,2016,783.3520582638861,784,1,Severe,3
60,51590,2016,4.22780322765272,5,3,Good,0
61,42043,2016,46.85008749158987,47,5,Critical,2
62,21059,2016,30.143182374067816,31,4,Critical,2
63,39039,2016,9.926867326434998,10,5,Normal,1
64,39041,2016,40.354754671791156,41,5,Critical,2
65,42045,2016,132.9722658206778,133,3,Critical,2
66,51051,2016,12.662325389653134,13,6,Normal,1
67,54017,2016,6.4379055104241685,7,8,Good,0
68,39043,2016,74.43261968202124,75,3,Critical,2
69,42049,2016,8.492289995402968,9,1,Normal,1
70,51057,2016,0.8324381563677634,1,6,Good,0
71,51059,2016,217.46130914650246,218,9,Critical,2
72,21001,2016,5.494861844764318,6,8,Good,0
73,51003,2016,20.043210375350398,21,7,Normal,1
74,51005,2016,23.6602268137376,24,7,Critical,2
75,39003,2016,19.715838086000524,20,6,Normal,1
76,51009,2016,1.6132183827181614,2,9,Good,0
77,51015,2016,16.525722800678686,17,7,Normal,1
78,51017,2016,10.3630445890959,11,7,Normal,1
79,42007,2016,95.51759322034796,96,7,Critical,2
80,39013,2016,52.88699861986824,53,8,Critical,2
81,21017,2016,14.865516486553005,15,10,Normal,1
82,21019,2016,25.692246226801487,26,7,Critical,2
83,21021,2016,10.411341095693846,11,10,Normal,1
84,51520,2016,10.748564167500472,11,3,Normal,1
85,51027,2016,21.07328933332066,22,5,Normal,1
86,51530,2016,11.2461752286116,12,9,Normal,1
87,21035,2016,7.1010879231844095,8,4,Normal,1
88,21037,2016,120.18536659292404,121,9,Critical,2
89,51031,2016,18.631043821097208,19,6,Normal,1
90,51035,2016,1.7169988305578698,2,7,Good,0
91,42027,2016,26.608271725195923,27,2,Critical,2
92,39021,2016,29.357947338596354,30,6,Critical,2
93,21049,2016,11.536756994371462,12,10,Normal,1
94,51043,2016,6.5326914975547155,7,7,Good,0
95,21051,2016,2.1436906668182294,3,8,Good,0
96,21053,2016,20.530948212476112,21,5,Normal,1
97,42035,2016,19.27293634463655,20,1,Normal,1
98,39031,2016,11.21447466413682,12,5,Normal,1
99,51045,2016,10.324195666191262,11,9,Normal,1
100,51047,2016,7.441227631624197,8,10,Normal,1
101,21057,2016,5.90958606504357,6,5,Good,0
102,51049,2016,3.0954017791724913,4,7,Good,0
103,39037,2016,21.544199159574703,22,4,Normal,1
104,51053,2016,11.138911064624507,12,11,Normal,1
105,21063,2016,4.933409684662418,5,8,Good,0
106,51600,2016,5.029420008548477,6,8,Good,0
107,39045,2016,130.7457928068223,131,5,Critical,2
108,21005,2016,13.768261599849833,14,11,Normal,1
109,51515,2016,0.9528810467236116,1,9,Good,0
110,42013,2016,4.1071028194375865,5,2,Good,0
111,51023,2016,6.220113975405615,7,10,Good,0
112,42015,2016,19.07348114146666,20,1,Normal,1
113,51037,2016,12.131229909152555,13,6,Normal,1
114,42041,2016,1.1281048229120971,2,5,Good,0
115,42047,2016,20.38441316402404,21,4,Normal,1
116,51595,2016,0.7351497352952433,1,5,Good,0
117,21065,2016,0.8281820728137096,1,10,Good,0
118,54009,2016,4.200597534228886,5,8,Good,0
119,21031,2016,7.041444739534308,8,6,Normal,1
120,21039,2016,12.730642321812784,13,5,Normal,1
121,39023,2016,184.51863376093624,185,6,Critical,2
122,54015,2016,9.491733528194663,10,6,Normal,1
123,21007,2016,9.955761833797323,10,4,Normal,1
124,51025,2016,12.547988450956018,13,6,Normal,1
125,21033,2016,8.785433569151056,9,7,Normal,1
126,51610,2016,6.314907962153621,7,7,Good,0
127,21067,2016,117.8101277311616,118,12,Critical,2
128,21061,2016,21.046788640509423,22,5,Normal,1
129,51061,2016,13.719055906310885,14,10,Normal,1
130,51011,2016,9.835925460877887,10,7,Normal,1
131,39047,2016,46.79382827618338,47,7,Critical,2
132,42051,2016,47.55793395455903,48,3,Critical,2
133,21071,2016,40.99782277181244,41,5,Critical,2
134,51063,2016,12.53048298857693,13,8,Normal,1
135,51065,2016,6.153096680974122,7,7,Good,0
136,21073,2016,34.48932126732966,35,10,Critical,2
137,39049,2016,339.419987101962,340,6,Critical,2
138,42055,2016,22.396241603047248,23,3,Normal,1
139,51067,2016,27.383797211653714,28,8,Critical,2
140,51069,2016,22.5719800879697,23,8,Normal,1
141,21075,2016,9.685782789867108,10,2,Normal,1
142,42057,2016,14.867292320924795,15,3,Normal,1
143,51640,2016,11.214152686135398,12,4,Normal,1
144,39053,2016,41.725797803189074,42,6,Critical,2
145,39055,2016,8.83593557843879,9,2,Normal,1
146,51071,2016,18.276085404550184,19,8,Normal,1
147,51073,2016,27.983943876074985,28,13,Critical,2
148,51075,2016,12.810976389883207,13,8,Normal,1
149,21081,2016,25.648111558508486,26,11,Critical,2
150,54023,2016,7.387533582997349,8,4,Normal,1
151,21083,2016,6.0464586245340195,7,6,Good,0
152,21085,2016,8.527035552310762,9,6,Normal,1
153,51077,2016,15.115261302977991,16,4,Normal,1
154,54025,2016,2.7205486516628183,3,4,Good,0
155,39057,2016,134.6876185489858,135,7,Critical,2
156,42059,2016,16.615874777227784,17,6,Normal,1
157,51079,2016,7.197070256442864,8,9,Normal,1
158,39059,2016,57.79996695386698,58,6,Critical,2
159,51083,2016,9.863667759213568,10,3,Normal,1
160,39061,2016,3104.244450417133,3105,6,Severe,3
161,51650,2016,10.97326819181404,11,13,Normal,1
162,39063,2016,59.86119956376485,60,6,Critical,2
163,51085,2016,21.789152563083665,22,9,Normal,1
164,39065,2016,7.634091855983518,8,7,Normal,1
165,54031,2016,2.3784504799730577,3,4,Good,0
166,54033,2016,49.227097603448065,50,9,Critical,2
167,51660,2016,0.2916673508034905,1,7,Good,0
168,21099,2016,10.7083344730221,11,8,Normal,1
169,21101,2016,23.838079930479086,24,4,Critical,2
170,51087,2016,225.54916887256974,226,12,Critical,2
