,Drug,Year,Score_Drug_1,Score_Drug_2,Score_Drug_3
0,Propoxyphene,2011,0.001997667673906005,0.003447828607338495,0.005002720066937658
1,Morphine,2011,0.05443535015151659,0.0327804370377931,0.03243528682906714
2,Methadone,2011,0.029479750527506135,0.07803361151973959,0.018902041002912543
3,Heroin,2011,0.8111684425993733,0.6085930293059418,0.43020994357372
4,Hydromorphone,2011,0.018112850046078755,0.006297639024244096,0.029043997273176927
5,Oxycodone,2011,0.6262231343716755,0.6925159602408418,0.15464994738763033
6,Oxymorphone,2011,0.05731620356160537,0.04762156893379507,0.017765367322648693
7,Dextropropoxyphene,2011,0.0015531229180363135,0.0025697142710643657,0.0018069855246265142
8,Buprenorphine,2011,0.034123727035362705,0.08096500277051896,0.0897291783702437
9,Fentanyl,2011,0.2817556343046918,0.20462418739093124,0.14965038884321674
10,Meperidine,2011,0.003355750998564674,0.001954688209800178,0.0009279571866284506
11,Hydrocodone,2011,0.003673647234713909,0.007147693314451727,0.005178266189895154
12,Dihydromorphone,2011,0.0005223415977157177,0.0020364460018958267,0.002402351865474519
13,Methorphan,2011,0.0008775613518534249,0.004961558040030784,0.0030374959893519843
14,Codeine,2011,0.021969039501381443,0.0017238436410706862,0.02099102787787097
15,Tramadol,2011,0.009743005069899424,0.013060419846038458,0.011415798508949228
16,Pethidine,2011,0.000546417083081615,0.0021379635792423087,0.002412572382395448
17,Dihydrocodeine,2011,0.001645540454907477,0.0013100033380554132,0.002106445713113002
18,Opiates,2011,0.0019316391121658334,0.0007525129385259862,0.002636974194336595
19,Opium,2011,0.0010718680377102092,0.00204987974260971,0.0020270902575316063
20,Pentazocine,2011,0.0019781156887312837,1.48672644078905e-05,0.0032051444084095185
21,Alphaprodine,2011,8.851647169951108e-05,0.004353782871222725,0.0009568724978340196
22,Acetylcodeine,2011,0.0005936265964324624,0.002457890730468789,0.0020558539280239965
23,Thebaine,2011,0.001335878159340977,0.00020723544538899576,0.0032396961228954332
24,Butorphanol,2011,0.0014392237935838231,0.0021792394247989125,0.0015633949089876632
