,FIPS,Year,Score_County_1,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank,Rank_Var,Degree_Var,Drug_Use_Var,Drug_Use_Var_n
0,51001,2014,3.475147589436581,4,0,Good,0,1,7,Lightly_Increase,1
1,39001,2014,12.274331975693135,13,6,Normal,1,1,14,Increase,2
2,42001,2014,6.452557967500456,7,3,Normal,1,0,7,Lightly_Increase,1
3,51510,2014,7.543366054358063,8,6,Normal,1,-1,-4,Stable,0
4,42003,2014,1172.7691435872655,1173,4,Severe,3,0,-20,Decrease,-2
5,21003,2014,6.302914732329475,7,4,Normal,1,-1,-3,Stable,0
6,51007,2014,3.938657381561293,4,9,Good,0,0,1,Stable,0
7,51013,2014,10.09263618703741,11,6,Normal,1,1,24,Increase,2
8,42005,2014,33.043940913304475,34,3,Critical,2,-2,-32,Decrease,-2
9,39005,2014,36.34034309481722,37,5,Critical,2,0,9,Lightly_Increase,1
10,39007,2014,51.07055424342793,52,0,Critical,2,0,15,Increase,2
11,39009,2014,51.11833803325665,52,7,Critical,2,0,-2,Stable,0
12,39011,2014,4.317073439811982,5,6,Good,0,0,-1,Stable,0
13,54001,2014,7.175328412005419,8,8,Normal,1,0,4,Stable,0
14,21009,2014,10.296064934300276,11,7,Normal,1,0,8,Lightly_Increase,1
15,21011,2014,8.09182491091799,9,11,Normal,1,0,4,Stable,0
16,42009,2014,14.535687810146165,15,2,Normal,1,-1,-12,Decrease,-2
17,51019,2014,25.05327149705386,26,9,Critical,2,0,0,Stable,0
18,21013,2014,147.76588983836868,148,6,Critical,2,0,-54,Decrease,-2
19,54003,2014,5.109958301469017,6,5,Good,0,2,29,Increase,2
20,42011,2014,90.38818272643694,91,4,Critical,2,0,-5,Stable,0
21,51021,2014,5.087010940768606,6,6,Good,0,0,-1,Stable,0
22,21015,2014,45.756921865730035,46,7,Critical,2,0,7,Lightly_Increase,1
23,54005,2014,2.377812964324651,3,5,Good,0,1,9,Lightly_Increase,1
24,21023,2014,7.710515119156677,8,11,Normal,1,0,3,Stable,0
25,54007,2014,12.578721140800624,13,7,Normal,1,0,-1,Stable,0
26,21025,2014,2.969304276502445,3,8,Good,0,1,7,Lightly_Increase,1
27,21027,2014,14.059821210923069,15,5,Normal,1,0,-6,Lightly_Decrease,-1
28,39015,2014,45.348367432902144,46,8,Critical,2,-1,-32,Decrease,-2
29,51029,2014,9.617235691592427,10,5,Normal,1,0,6,Lightly_Increase,1
30,42017,2014,262.18612038110683,263,3,Critical,2,0,-212,Extremely_Decrease,-3
31,21029,2014,8.229613464923679,9,6,Normal,1,0,10,Lightly_Increase,1
32,39017,2014,143.07107663921897,144,4,Critical,2,0,133,Extremely_Increase,3
33,42019,2014,67.55426428756704,68,4,Critical,2,-1,-43,Decrease,-2
34,54011,2014,82.64993643035517,83,7,Critical,2,-1,-73,Decrease,-2
35,54013,2014,11.07450217440069,12,7,Normal,1,0,-3,Stable,0
36,42021,2014,167.67054663673824,168,2,Critical,2,0,-59,Decrease,-2
37,42023,2014,3.45717460117584,4,2,Good,0,0,2,Stable,0
38,42025,2014,4.516200790782411,5,5,Good,0,1,19,Increase,2
39,51033,2014,2.8860650227343063,3,8,Good,0,0,2,Stable,0
40,21041,2014,9.52203485464908,10,8,Normal,1,0,6,Lightly_Increase,1
41,39019,2014,0.4321206880345979,1,6,Good,0,1,20,Increase,2
42,21043,2014,44.295878589537956,45,7,Critical,2,-1,-22,Decrease,-2
43,21045,2014,16.888403078953438,17,8,Normal,1,0,-7,Lightly_Decrease,-1
44,51540,2014,7.766108428402831,8,8,Normal,1,0,12,Increase,2
45,51550,2014,10.478056252976463,11,8,Normal,1,0,6,Lightly_Increase,1
46,42029,2014,115.0914047390297,116,3,Critical,2,0,-4,Stable,0
47,51041,2014,164.07713218670096,165,13,Critical,2,0,13,Increase,2
48,21047,2014,27.363603135079867,28,5,Critical,2,-2,-24,Decrease,-2
49,42031,2014,12.344376280362637,13,4,Normal,1,-1,-6,Lightly_Decrease,-1
50,42033,2014,4.05562097186845,5,2,Good,0,0,-3,Stable,0
51,39025,2014,73.7011727591737,74,9,Critical,2,0,114,Extremely_Increase,3
52,39027,2014,33.562551530104535,34,5,Critical,2,0,45,Increase,2
53,51570,2014,1.5450673822374723,2,11,Good,0,1,11,Increase,2
54,42037,2014,2.562195347410285,3,5,Good,0,1,10,Lightly_Increase,1
55,39029,2014,68.94220991268172,69,7,Critical,2,0,-43,Decrease,-2
56,39033,2014,40.6036811409169,41,6,Critical,2,0,22,Increase,2
57,42039,2014,18.087143920090462,19,3,Normal,1,0,5,Stable,0
58,21055,2014,8.24766483079775,9,5,Normal,1,0,0,Stable,0
59,39035,2014,245.80729826826197,246,1,Critical,2,1,951,Extremely_Increase,3
60,51590,2014,8.649099192893193,9,3,Normal,1,-1,-8,Lightly_Decrease,-1
61,42043,2014,276.1613549396003,277,5,Severe,3,0,123,Extremely_Increase,3
62,21059,2014,12.273809845874446,13,4,Normal,1,0,12,Increase,2
63,39039,2014,30.876726536034898,31,5,Critical,2,0,13,Increase,2
64,39041,2014,46.37305986157324,47,5,Critical,2,0,29,Increase,2
65,42045,2014,400.082754295696,401,3,Severe,3,-1,-186,Extremely_Decrease,-3
66,51051,2014,11.066011369753664,12,6,Normal,1,0,5,Stable,0
67,54017,2014,9.731299375091234,10,8,Normal,1,0,7,Lightly_Increase,1
68,39043,2014,31.287577286506604,32,3,Critical,2,0,90,Increase,2
69,42049,2014,38.33778717195118,39,1,Critical,2,0,6,Lightly_Increase,1
70,51057,2014,4.87533055313137,5,6,Good,0,1,6,Lightly_Increase,1
71,51059,2014,57.53679622288245,58,9,Critical,2,0,86,Increase,2
72,21001,2014,17.30505278045052,18,8,Normal,1,0,0,Stable,0
73,51003,2014,3.7972922757809617,4,7,Good,0,0,-1,Stable,0
74,51005,2014,14.133291120545897,15,7,Normal,1,0,1,Stable,0
75,39003,2014,109.45456258909898,110,6,Critical,2,0,-63,Decrease,-2
76,51009,2014,9.614790956562757,10,9,Normal,1,0,2,Stable,0
77,51015,2014,16.85427864028485,17,7,Normal,1,0,2,Stable,0
78,51017,2014,4.059318751307798,5,7,Good,0,1,8,Lightly_Increase,1
79,42007,2014,9.470672242778164,10,7,Normal,1,0,6,Lightly_Increase,1
80,39013,2014,4.357373070117991,5,8,Good,0,2,46,Increase,2
81,21017,2014,8.98233544988585,9,10,Normal,1,0,14,Increase,2
82,21019,2014,41.635589396189424,42,7,Critical,2,0,-10,Lightly_Decrease,-1
83,21021,2014,27.46868960192246,28,10,Critical,2,-1,-19,Decrease,-2
84,51520,2014,7.198996612221742,8,3,Normal,1,-1,-3,Stable,0
85,51027,2014,12.281551853083995,13,5,Normal,1,0,-5,Stable,0
86,51530,2014,9.084972382162366,10,9,Normal,1,0,0,Stable,0
87,21035,2014,0.903951086691248,1,4,Good,0,1,7,Lightly_Increase,1
88,21037,2014,185.2236559746636,186,9,Critical,2,0,-4,Stable,0
89,51031,2014,2.5157319386876167,3,6,Good,0,1,9,Lightly_Increase,1
90,51035,2014,12.076722902328012,13,7,Normal,1,0,-3,Stable,0
91,42027,2014,8.536523062673904,9,2,Normal,1,1,20,Increase,2
92,39021,2014,8.242106833672347,9,6,Normal,1,1,28,Increase,2
93,21049,2014,12.928603364765106,13,10,Normal,1,1,25,Increase,2
94,51043,2014,9.680490118762338,10,7,Normal,1,0,10,Lightly_Increase,1
95,21051,2014,29.81540937657289,30,8,Critical,2,-1,-20,Decrease,-2
96,21053,2014,8.730951061580784,9,5,Normal,1,0,1,Stable,0
97,42035,2014,23.414645456305546,24,1,Critical,2,-1,-10,Lightly_Decrease,-1
98,39031,2014,9.788083852617778,10,5,Normal,1,-1,-9,Lightly_Decrease,-1
99,51045,2014,10.617440519386188,11,9,Normal,1,-1,-7,Lightly_Decrease,-1
100,51047,2014,11.065599275652405,12,10,Normal,1,1,33,Increase,2
101,21057,2014,8.249457326993388,9,5,Normal,1,-1,-5,Stable,0
102,51049,2014,7.763475285373674,8,7,Normal,1,0,0,Stable,0
103,39037,2014,8.015865952339398,9,4,Normal,1,1,26,Increase,2
104,51053,2014,12.104494496873775,13,11,Normal,1,0,3,Stable,0
105,21063,2014,1.7775125612499485,2,8,Good,0,1,14,Increase,2
106,51600,2014,11.005322646196172,12,8,Normal,1,-1,-11,Decrease,-2
107,39045,2014,41.65532143235539,42,5,Critical,2,0,34,Increase,2
108,21005,2014,11.204102308783412,12,11,Normal,1,0,6,Lightly_Increase,1
109,51515,2014,9.060577001747264,10,9,Normal,1,0,-2,Stable,0
110,42013,2014,102.5463475045499,103,2,Critical,2,0,6,Lightly_Increase,1
111,51023,2014,32.80184236652523,33,10,Critical,2,-2,-32,Decrease,-2
112,42015,2014,10.692875608411065,11,1,Normal,1,0,4,Stable,0
113,51037,2014,10.501011778566935,11,6,Normal,1,0,-3,Stable,0
114,42041,2014,7.44782863399916,8,5,Normal,1,-1,-7,Lightly_Decrease,-1
115,42047,2014,7.944499282505121,8,4,Normal,1,-1,-6,Lightly_Decrease,-1
116,51595,2014,0.9535136372123086,1,5,Good,0,1,15,Increase,2
117,21065,2014,14.719316874407545,15,10,Normal,1,0,-4,Stable,0
118,54009,2014,10.69274190401098,11,8,Normal,1,0,1,Stable,0
119,21031,2014,9.108462432316179,10,6,Normal,1,0,0,Stable,0
120,21039,2014,1.130217978195935,2,5,Good,0,1,10,Lightly_Increase,1
121,39023,2014,15.140236289776823,16,6,Normal,1,1,74,Increase,2
122,54015,2014,15.35738112460212,16,6,Normal,1,0,-1,Stable,0
123,21007,2014,10.548001115426944,11,4,Normal,1,0,6,Lightly_Increase,1
124,51025,2014,4.1557791837313065,5,6,Good,0,1,6,Lightly_Increase,1
125,21033,2014,1.5451580149239326,2,7,Good,0,1,7,Lightly_Increase,1
126,51610,2014,6.998384678905437,7,7,Normal,1,0,8,Lightly_Increase,1
127,21067,2014,61.52024417799976,62,12,Critical,2,0,79,Increase,2
128,21061,2014,4.478264570131441,5,5,Good,0,0,-2,Stable,0
129,51061,2014,20.89519689412869,21,10,Normal,1,1,31,Increase,2
130,51011,2014,9.21713455987046,10,7,Normal,1,0,3,Stable,0
131,39047,2014,9.775196409704783,10,7,Normal,1,1,35,Increase,2
132,42051,2014,55.784433533592065,56,3,Critical,2,0,10,Lightly_Increase,1
133,21071,2014,30.10171973189832,31,5,Critical,2,0,11,Increase,2
134,51063,2014,11.98104662819847,12,8,Normal,1,0,2,Stable,0
135,51065,2014,11.192704111518767,12,7,Normal,1,0,-1,Stable,0
136,21073,2014,30.169636774395734,31,10,Critical,2,0,0,Stable,0
137,39049,2014,1302.7371328290046,1303,6,Severe,3,0,-723,Extremely_Decrease,-3
138,42055,2014,21.92750193001128,22,3,Normal,1,1,10,Lightly_Increase,1
139,51067,2014,27.282330261471433,28,8,Critical,2,-1,-17,Decrease,-2
140,51069,2014,64.13334075139919,65,8,Critical,2,0,-15,Decrease,-2
141,21075,2014,5.8490928932843,6,2,Good,0,1,5,Stable,0
142,42057,2014,4.500364818575938,5,3,Good,0,0,1,Stable,0
143,51640,2014,5.3249142889608025,6,4,Good,0,0,-4,Stable,0
144,39053,2014,34.70844967666714,35,6,Critical,2,-1,-18,Decrease,-2
145,39055,2014,27.064263686772364,28,2,Critical,2,-1,-17,Decrease,-2
146,51071,2014,23.143675658224,24,8,Critical,2,-1,-5,Stable,0
147,51073,2014,7.104915649636585,8,13,Normal,1,0,4,Stable,0
148,51075,2014,8.505361427077212,9,8,Normal,1,0,13,Increase,2
149,21081,2014,4.149372103689418,5,11,Good,0,2,27,Increase,2
150,54023,2014,16.091363773990068,17,4,Normal,1,0,-8,Lightly_Decrease,-1
151,21083,2014,8.341079278361438,9,6,Normal,1,0,13,Increase,2
152,21085,2014,13.46952941700403,14,6,Normal,1,-1,-11,Decrease,-2
153,51077,2014,5.235493206801438,6,4,Good,0,1,6,Lightly_Increase,1
154,54025,2014,15.896308054696787,16,4,Normal,1,0,4,Stable,0
155,39057,2014,39.03449415082335,40,7,Critical,2,0,132,Extremely_Increase,3
156,42059,2014,8.344765329109755,9,6,Normal,1,-1,-8,Lightly_Decrease,-1
157,51079,2014,10.832267987937458,11,9,Normal,1,0,3,Stable,0
158,39059,2014,7.321179828029837,8,6,Normal,1,1,31,Increase,2
159,51083,2014,10.728846359849364,11,3,Normal,1,0,-2,Stable,0
160,39061,2014,571.497295225583,572,6,Severe,3,0,1429,Extremely_Increase,3
161,51650,2014,8.95551305521027,9,13,Normal,1,-1,-7,Lightly_Decrease,-1
162,39063,2014,69.27566847165987,70,6,Critical,2,0,-32,Decrease,-2
163,51085,2014,49.891258263475144,50,9,Critical,2,0,-20,Decrease,-2
164,39065,2014,23.31239175585636,24,7,Critical,2,-1,-13,Decrease,-2
165,54031,2014,13.576274123087616,14,4,Normal,1,0,0,Stable,0
166,54033,2014,51.68833003265503,52,9,Critical,2,-2,-47,Decrease,-2
167,51660,2014,7.872787215669921,8,7,Normal,1,0,0,Stable,0
168,21099,2014,11.449165192414151,12,8,Normal,1,-1,-7,Lightly_Decrease,-1
169,21101,2014,10.41007614195917,11,4,Normal,1,0,8,Lightly_Increase,1
170,51087,2014,54.693152162241724,55,12,Critical,2,0,102,Increase,2
171,51089,2014,9.012350880382543,10,4,Normal,1,-1,-4,Stable,0
172,39075,2014,6.198948778425279,7,5,Normal,1,0,4,Stable,0
173,21107,2014,16.033089110604426,17,5,Normal,1,0,2,Stable,0
174,42061,2014,9.118691327355911,10,3,Normal,1,0,15,Increase,2
175,39077,2014,17.242580573824426,18,6,Normal,1,0,-7,Lightly_Decrease,-1
176,42063,2014,8.801561512852377,9,3,Normal,1,-1,-2,Stable,0
177,39079,2014,60.617625810265245,61,5,Critical,2,0,-35,Decrease,-2
178,54035,2014,7.170134792178271,8,7,Normal,1,0,5,Stable,0
179,51095,2014,4.727798408405917,5,15,Good,0,1,6,Lightly_Increase,1
180,21111,2014,731.6563621747695,732,5,Severe,3,0,-209,Extremely_Decrease,-3
181,39081,2014,14.244467484781273,15,9,Normal,1,1,11,Increase,2
182,42065,2014,2.4517259690038595,3,4,Good,0,1,7,Lightly_Increase,1
183,54037,2014,12.218060356477118,13,6,Normal,1,0,-3,Stable,0
184,21115,2014,4.167296348385155,5,7,Good,0,0,2,Stable,0
185,21117,2014,299.467796674229,300,8,Severe,3,-1,-100,Decrease,-2
186,51099,2014,13.832362436654812,14,6,Normal,1,0,2,Stable,0
187,51101,2014,14.39268038596008,15,9,Normal,1,-1,-14,Decrease,-2
188,21119,2014,5.0648537319971885,6,6,Good,0,1,6,Lightly_Increase,1
189,21121,2014,7.195005520914561,8,5,Normal,1,1,55,Increase,2
190,39083,2014,0.500415801821945,1,5,Good,0,1,10,Lightly_Increase,1
191,42069,2014,58.4473300559016,59,6,Critical,2,0,27,Increase,2
192,39085,2014,9.597997357825204,10,1,Normal,1,1,278,Extremely_Increase,3
193,42071,2014,99.78685140174896,100,4,Critical,2,0,19,Increase,2
194,21125,2014,78.14913643017952,79,6,Critical,2,0,-37,Decrease,-2
195,42075,2014,42.77471247376938,43,4,Critical,2,0,39,Increase,2
196,42077,2014,65.73742395590942,66,4,Critical,2,0,-22,Decrease,-2
197,39089,2014,9.92012391676594,10,6,Normal,1,1,65,Increase,2
198,21141,2014,9.546565063378065,10,5,Normal,1,0,11,Increase,2
199,39091,2014,26.113050581587185,27,5,Critical,2,-1,-3,Stable,0
200,54045,2014,30.127173275896965,31,5,Critical,2,-1,-8,Lightly_Decrease,-1
201,51107,2014,21.5028713980062,22,9,Normal,1,1,15,Increase,2
202,51109,2014,14.157527120268517,15,7,Normal,1,0,6,Lightly_Increase,1
203,21069,2014,15.163179277781014,16,10,Normal,1,0,0,Stable,0
204,51620,2014,5.265235921218106,6,5,Good,0,1,9,Lightly_Increase,1
205,51630,2014,8.02788715770094,9,8,Normal,1,0,2,Stable,0
206,39051,2014,3.4636291728915287,4,4,Good,0,0,3,Stable,0
207,21079,2014,9.5952920486912,10,9,Normal,1,-1,-5,Stable,0
208,21087,2014,1.687185458733637,2,7,Good,0,1,8,Lightly_Increase,1
209,51081,2014,10.250286387113821,11,5,Normal,1,0,-2,Stable,0
210,21089,2014,6.317474859896111,7,5,Normal,1,-1,-4,Stable,0
211,54029,2014,0.35863691235963485,1,7,Good,0,1,16,Increase,2
212,21095,2014,33.8655139835754,34,5,Critical,2,0,7,Lightly_Increase,1
213,21097,2014,12.118575759988135,13,10,Normal,1,1,18,Increase,2
214,21103,2014,5.7532955193108535,6,8,Good,0,0,1,Stable,0
215,39071,2014,41.67781500536812,42,7,Critical,2,0,6,Lightly_Increase,1
216,51670,2014,9.22849621440398,10,13,Normal,1,-1,-3,Stable,0
217,21109,2014,10.090473567502741,11,8,Normal,1,0,6,Lightly_Increase,1
218,21113,2014,52.308878074695244,53,12,Critical,2,0,-18,Decrease,-2
219,54039,2014,78.26116751083607,79,4,Critical,2,0,-41,Decrease,-2
220,21127,2014,5.501966424673867,6,7,Good,0,1,14,Increase,2
221,42073,2014,9.402989284448156,10,5,Normal,1,0,14,Increase,2
222,21129,2014,3.497231807366339,4,8,Good,0,0,-2,Stable,0
223,21131,2014,6.365388229964719,7,10,Normal,1,-1,0,Stable,0
224,21133,2014,19.22668161044733,20,7,Normal,1,0,-3,Stable,0
225,21135,2014,2.778043905516228,3,7,Good,0,1,12,Increase,2
226,21137,2014,11.060839481082175,12,8,Normal,1,-1,-10,Lightly_Decrease,-1
227,21139,2014,10.02240948263916,11,5,Normal,1,-1,-8,Lightly_Decrease,-1
228,39093,2014,6.920476347964572,7,3,Normal,1,1,98,Increase,2
229,54019,2014,7.819403596543138,8,4,Normal,1,0,4,Stable,0
230,21093,2014,24.872721447989512,25,7,Critical,2,-2,-18,Decrease,-2
231,39073,2014,7.5207240073302755,8,4,Normal,1,0,12,Increase,2
232,42067,2014,10.087999029322237,11,5,Normal,1,-1,-8,Lightly_Decrease,-1
233,51105,2014,13.121575381623256,14,4,Normal,1,0,4,Stable,0
234,39095,2014,84.24146251383316,85,3,Critical,2,0,28,Increase,2
235,51111,2014,11.798491530752724,12,6,Normal,1,0,-1,Stable,0
236,42079,2014,258.94287549985273,259,4,Critical,2,0,-60,Decrease,-2
237,42081,2014,5.324826381193357,6,4,Good,0,2,26,Increase,2
238,51680,2014,2.3608828080081357,3,7,Good,0,1,5,Stable,0
239,21143,2014,12.889293295543391,13,6,Normal,1,-1,-7,Lightly_Decrease,-1
240,21151,2014,7.685280625177535,8,10,Normal,1,0,7,Lightly_Increase,1
241,51113,2014,17.783881246101956,18,7,Normal,1,0,-2,Stable,0
242,21153,2014,15.202428618892913,16,7,Normal,1,0,-1,Stable,0
243,39099,2014,104.40125455235649,105,4,Critical,2,0,19,Increase,2
244,39101,2014,40.52586721032456,41,6,Critical,2,0,23,Increase,2
245,54049,2014,14.9669441598236,15,8,Normal,1,1,24,Increase,2
246,54051,2014,14.157061427320292,15,7,Normal,1,0,4,Stable,0
247,21159,2014,14.144243240271873,15,7,Normal,1,1,21,Increase,2
248,51690,2014,7.513869328304835,8,5,Normal,1,0,11,Increase,2
249,21161,2014,4.199983143586744,5,10,Good,0,1,5,Stable,0
250,54053,2014,2.2860346417394033,3,6,Good,0,0,0,Stable,0
251,21145,2014,6.872728706905034,7,6,Normal,1,0,5,Stable,0
252,21147,2014,10.737681305797834,11,3,Normal,1,0,7,Lightly_Increase,1
253,54047,2014,9.474652326010194,10,4,Normal,1,-1,-7,Lightly_Decrease,-1
254,42083,2014,3.5081221165591345,4,1,Good,0,1,5,Stable,0
255,21165,2014,1.1420910363912509,2,11,Good,0,0,0,Stable,0
256,39107,2014,2.3706969536069646,3,4,Good,0,0,-1,Stable,0
257,42053,2014,6.744412006858816,7,4,Normal,1,0,1,Stable,0
258,39069,2014,0.0022943337651472077,1,5,Good,0,1,17,Increase,2
259,51093,2014,11.944650328716914,12,14,Normal,1,0,-4,Stable,0
260,39087,2014,9.218879123076194,10,7,Normal,1,1,37,Increase,2
261,21155,2014,11.768771367889915,12,9,Normal,1,-1,-8,Lightly_Decrease,-1
262,21157,2014,3.5418227002230243,4,6,Good,0,1,7,Lightly_Increase,1
263,21149,2014,6.723080250536271,7,6,Normal,1,-1,-3,Stable,0
264,51117,2014,15.585625258161052,16,3,Normal,1,0,-7,Lightly_Decrease,-1
265,39105,2014,7.6167820982876995,8,6,Normal,1,0,1,Stable,0
266,21167,2014,7.2742238178829215,8,11,Normal,1,0,2,Stable,0
267,42085,2014,25.99013898750527,26,4,Critical,2,0,1,Stable,0
268,21077,2014,11.561400694606647,12,9,Normal,1,-1,-10,Lightly_Decrease,-1
269,21123,2014,10.83719217449885,11,7,Normal,1,0,5,Stable,0
270,51678,2014,9.494467279891758,10,10,Normal,1,0,2,Stable,0
271,51091,2014,5.951378184532538,6,5,Good,0,0,-3,Stable,0
272,51103,2014,7.199616952366514,8,5,Normal,1,0,4,Stable,0
273,39097,2014,23.41538005292434,24,7,Critical,2,-1,-13,Decrease,-2
274,51115,2014,2.800065992742045,3,11,Good,0,1,7,Lightly_Increase,1
