,FIPS,Year,Score_County_1,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank,Rank_Var,Degree_Var,Drug_Use_Var,Drug_Use_Var_n,Source_Potentiel,is_Source,is_Source_Rank
0,51001,2016,13.281574246330884,14,0,Normal,1,0,-6,Lightly_Decrease,-1,-10.0,Not_Likely,0
1,39001,2016,40.16354567181944,41,6,Critical,2,-1,-26,Decrease,-2,-60.0,Not_Likely,0
2,42001,2016,19.626368754752946,20,3,Normal,1,0,-1,Stable,0,-40.0,Not_Likely,0
3,51510,2016,10.635195300828832,11,6,Normal,1,0,3,Stable,0,5.555555555555555,Possible,1
4,42003,2016,2625.359791728557,2626,4,Severe,3,0,-1167,Extremely_Decrease,-3,-18.75,Not_Likely,0
5,21003,2016,16.06176803439315,17,4,Normal,1,-1,-10,Decrease,-2,-57.142857142857146,Not_Likely,0
6,51007,2016,7.527984955854047,8,9,Normal,1,0,1,Stable,0,-25.0,Not_Likely,0
7,51013,2016,1.087249424049689,2,6,Good,0,2,47,Increase,2,5.555555555555555,Possible,1
8,42005,2016,29.97636487796341,30,3,Critical,2,0,-5,Lightly_Decrease,-1,14.285714285714286,Possible,1
9,39005,2016,72.14672044278952,73,5,Critical,2,0,-26,Decrease,-2,-22.22222222222222,Not_Likely,0
10,39007,2016,93.34503798735015,94,0,Critical,2,0,-61,Decrease,-2,-30.0,Not_Likely,0
11,39009,2016,55.51230400914493,56,7,Critical,2,0,8,Lightly_Increase,1,6.25,Possible,1
12,39011,2016,13.240300757478542,14,6,Normal,1,0,0,Stable,0,15.0,Possible,1
13,54001,2016,4.040820608947598,5,8,Good,0,1,4,Stable,0,-30.0,Not_Likely,0
14,21009,2016,18.543930618691714,19,7,Normal,1,0,1,Stable,0,-45.0,Not_Likely,0
15,21011,2016,11.920093591153964,12,11,Normal,1,0,-4,Stable,0,3.125,Possible,1
16,42009,2016,7.898437472282716,8,2,Normal,1,-1,-5,Lightly_Decrease,-1,-50.0,Not_Likely,0
17,51019,2016,21.955709764952914,22,9,Normal,1,0,-4,Stable,0,-15.384615384615385,Not_Likely,0
18,21013,2016,21.273897760040096,22,6,Normal,1,-1,-17,Decrease,-2,6.25,Possible,1
19,54003,2016,2.096338331001216,3,5,Good,0,2,38,Increase,2,10.0,Possible,1
20,42011,2016,207.6045475351942,208,4,Critical,2,0,-100,Extremely_Decrease,-3,-62.5,Not_Likely,0
21,51021,2016,18.028447085530654,19,6,Normal,1,0,-8,Lightly_Decrease,-1,-8.333333333333334,Not_Likely,0
22,21015,2016,98.96575941883094,99,7,Critical,2,0,-74,Decrease,-2,-31.818181818181817,Not_Likely,0
23,54005,2016,13.302900730122216,14,5,Normal,1,0,-5,Lightly_Decrease,-1,-11.11111111111111,Not_Likely,0
24,21023,2016,14.310094297029435,15,11,Normal,1,-1,-12,Decrease,-2,-35.714285714285715,Not_Likely,0
25,54007,2016,10.678887578009746,11,7,Normal,1,0,-3,Stable,0,-5.555555555555555,Not_Likely,0
26,21025,2016,11.155543158471696,12,8,Normal,1,0,4,Stable,0,-16.666666666666668,Not_Likely,0
27,21027,2016,15.658131127145055,16,5,Normal,1,0,-3,Stable,0,-7.142857142857143,Not_Likely,0
28,39015,2016,20.099110593535077,21,8,Normal,1,1,3,Stable,0,-31.818181818181817,Not_Likely,0
29,51029,2016,16.088640462617846,17,5,Normal,1,0,-5,Lightly_Decrease,-1,16.666666666666668,Possible,1
30,42017,2016,4.130520721846757,5,3,Good,0,0,-3,Stable,0,-16.666666666666668,Not_Likely,0
31,21029,2016,16.87895354082564,17,6,Normal,1,0,-3,Stable,0,0.0,Not_Likely,0
