,Drug,Year,Score_Drug_1,Score_Drug_2,Score_Drug_3
0,Propoxyphene,2017,0.0016391156981657928,0.0010843779128695457,0.0019525045011800635
1,Morphine,2017,0.009035353273997421,0.01711555899404369,0.01771208091292751
2,Methadone,2017,0.013443222507720978,0.008261071908201214,0.003488137727341115
3,Heroin,2017,0.991818847263886,0.7576323455171491,0.0031964221662233254
4,Hydromorphone,2017,0.002338421635736576,0.004722734872834043,0.008356513387229765
5,Oxycodone,2017,0.19055587511083358,0.20149869855998698,0.02959718275810001
6,Oxymorphone,2017,0.008202445804390826,0.0008817574693983268,0.010286826166392458
7,Dextropropoxyphene,2017,0.001987413202814414,0.0011508003138855146,0.001443630412164292
8,Buprenorphine,2017,0.0627268770912213,0.08721254411350479,0.11488401242685436
9,Fentanyl,2017,0.05331737661769732,0.06465690154126247,0.041362395812581554
10,Meperidine,2017,0.001976511369150309,0.0004476618158117631,0.0021678071066084013
11,Hydrocodone,2017,0.1334319842796496,0.5875507439334487,0.3707477047990791
12,Dihydromorphone,2017,0.0004114633015514926,0.001582194570946154,0.0022746693452066163
13,Methorphan,2017,0.0007463155824038097,0.004484604746836626,0.00040449284507869615
14,Codeine,2017,0.008390036965117512,0.01139985802602911,0.0032993577576940327
15,Tramadol,2017,0.019777378253696118,0.01851575679768632,0.03916603174949256
16,Pethidine,2017,0.0028345979790779952,0.001647342171318612,0.0003991234322278126
17,Dihydrocodeine,2017,0.001426391523367042,0.000282011198050841,0.0026802511636921707
18,Opiates,2017,0.0004915036270299075,0.0018134399115975464,0.0020167126920861886
19,Opium,2017,0.0016036858499734025,0.0011741585400547334,0.0018321581483779152
20,Pentazocine,2017,0.001755015104377618,0.0006448231624823042,0.0021214944273461787
21,Alphaprodine,2017,0.001299669821754168,0.002457703048988522,0.0008526686737059617
22,Acetylcodeine,2017,0.002058963595774787,0.0010547192967205253,0.0014711954664442407
23,Thebaine,2017,0.002188535532800427,0.0011847801971061806,0.0013789264483517246
24,Butorphanol,2017,0.0020958607972876428,0.0011401622361390303,0.001370244588693485
25,Nalbuphine,2017,0.0015480026889414806,0.0016724781332657678,0.0013332561054614275
26,ANPP,2017,0.010650737164262038,0.00344714860365936,0.0025664373546410986
27,Desmethylprodine ,2017,0.0027625031184124256,0.001360656466826121,0.0006751079673200119
28,Remifentanil,2017,0.002092664862044325,0.002184606039607119,0.00048219685563750605
29,Mitragynine,2017,0.0010745141878083374,0.002500836790642026,0.001998744906697913
30,Acetyldihydrocodeine,2017,0.0019427324758591416,0.0026741487699872895,0.00017884913336475044
31,Hydrocodeinone,2017,0.0003368152131824878,0.002894847486554582,0.001212309793458502
32,MT-45,2017,0.0020329605128507964,0.0018244908520641918,0.0008341323785279601
33,Levorphanol,2017,0.0025652682121888996,0.0006028033719624429,0.0014712434277056761
34,Acetyl fentanyl,2017,0.019511803065103916,0.013554993728019812,0.008773915447788763
35,Butyryl fentanyl,2017,0.009397392587445466,0.008985657845810359,0.0008781287148684261
36,Furanyl fentanyl,2017,0.026463851250330437,0.03423004178140008,0.03482194702647789
37,p-Fluorobutyryl fentanyl,2017,5.203471459447989e-05,0.0018981853790753683,0.002464661470955166
38,cis-3-methylfentanyl,2017,0.0004683317299074531,0.003045919572491575,0.0012406119833187545
39,Valeryl fentanyl,2017,0.0006182558208256459,0.0021431928529325526,0.0016852070164167878
40,Carfentanil,2017,0.08193976356889301,0.047194849874032975,0.09602122527502599
41,Acryl fentanyl,2017,0.024027528946102498,0.017314591473343376,0.023173386698304363
42,U-47700,2017,0.022860811666260958,0.022111543762025593,0.018606344908795317
43,3-Methylfentanyl,2017,0.014694807891585355,0.0010074810205972624,0.019519961012691132
44,4-Fluoroisobutyryl fentanyl,2017,0.010184894631400047,0.009028107774520105,0.011048895956690057
45,trans-3-Methylfentanyl,2017,0.0020758171316546045,0.0014596601050088707,0.0013237757539094096
46,p-methoxybutyryl fentanyl,2017,0.0020465851228610187,0.000856183382989221,0.00164946537620241
47,Tetrahydrofuran fentanyl,2017,0.001788060665858256,0.000743350797240013,0.002012364689531931
48,p-Fluorofentanyl,2017,0.0008240032605992703,0.0025494613407288104,0.0011363120280985508
49,o-Fluorofentanyl,2017,0.0018289085906729127,0.0006914630349615688,0.001955384942136327
50,3-Fluorofentanyl,2017,0.0013085942890227853,0.0012409343071777522,0.0018832213830750897
51,Fluorofentanyl,2017,0.0012026205926330528,0.001378690971640881,0.0018464324971381376
52,Fluoroisobutyryl fentanyl,2017,0.0009166335859460298,0.0035383473358153402,0.004595330355431561
53,Fluorobutyryl fentanyl ,2017,0.002610511560000255,0.002484057768560739,0.00036673532479522585
54,Furanyl/3-Furanyl fentanyl,2017,0.0015219261660435778,0.0013588436676230348,0.0017607120552719387
55,Cyclopropyl fentanyl,2017,0.018710168179967412,0.023834820585120296,0.005204563335470132
