,Unnamed: 0,FIPS,Year,Score_County_1,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank,Rank_Var,Degree_Var,Drug_Use_Var,Drug_Use_Var_n,Source_Potentiel,is_Source,is_Source_Rank,is_Surrounded,is_Affected,is_Affected_Rank
0,0,51001,2011,12.169410533130385,13,0,Normal,1,0,0,Stable,0,50.0,Possible,1,10.0,Not_Likely,0
1,1,39001,2011,34.352090332582215,35,6,Critical,2,-1,-13,Decrease,-2,-10.0,Not_Likely,0,1.0,Not_Likely,0
2,2,42001,2011,9.007683777990373,10,3,Normal,1,-1,-7,Decrease,-2,-50.0,Not_Likely,0,2.0,Not_Likely,0
3,3,51510,2011,1.7055432257032088,2,6,Good,0,1,9,Increase,2,94.44444444444444,Highly_Possible,2,59.999999999999986,Highly_Possible,2
4,4,42003,2011,647.6325728488657,648,4,Severe,3,0,-392,Extremely_Decrease,-3,12.5,Possible,1,19.671496484086596,Possible,1
5,5,21003,2011,7.505931049526135,8,4,Normal,1,0,4,Lightly_Increase,1,-7.142857142857142,Not_Likely,0,5.714285714285714,Not_Likely,0
6,6,51007,2011,5.522428500278339,6,9,Normal,1,-1,0,Stable,0,3.571428571428572,Possible,1,7.784868821240934,Not_Likely,0
7,7,51013,2011,20.703334951531442,21,6,Critical,2,0,15,Increase,2,94.44444444444444,Highly_Possible,2,59.999999999999986,Highly_Possible,2
8,8,42005,2011,12.993272240283014,13,3,Normal,1,0,1,Stable,0,-21.428571428571427,Not_Likely,0,7.8442422481366965,Not_Likely,0
9,9,39005,2011,12.367530277225196,13,5,Normal,1,1,22,Increase,2,0.0,Not_Likely,0,11.28395096977997,Possible,1
10,10,39007,2011,25.10394341591136,26,0,Critical,2,0,3,Lightly_Increase,1,50.0,Possible,1,46.00000000000001,Highly_Possible,2
11,11,39009,2011,64.93157307488612,65,7,Critical,2,0,-15,Decrease,-2,-6.25,Not_Likely,0,0.0,Not_Likely,0
12,12,39011,2011,14.07843202391836,15,6,Normal,1,0,-5,Lightly_Decrease,-1,15.0,Possible,1,24.073867613081376,Possible,1
13,13,54001,2011,10.814996821050553,11,8,Normal,1,-1,-8,Decrease,-2,45.0,Possible,1,11.971741460506284,Possible,1
14,14,21009,2011,4.377329378375709,5,7,Good,0,0,-3,Lightly_Decrease,-1,0.0,Not_Likely,0,7.0,Not_Likely,0
15,15,21011,2011,15.328277817822732,16,11,Normal,1,0,1,Stable,0,3.125,Possible,1,4.375,Not_Likely,0
16,16,42009,2011,19.120816662663746,20,2,Critical,2,-1,-2,Stable,0,8.333333333333334,Possible,1,6.666666666666667,Not_Likely,0
17,17,51019,2011,17.440909302062966,18,9,Critical,2,0,14,Increase,2,53.846153846153854,Possible,1,16.923076923076927,Possible,1
18,18,21013,2011,31.92360373591403,32,6,Critical,2,-2,-25,Decrease,-2,6.25,Possible,1,22.49072822963592,Possible,1
19,19,54003,2011,33.82863649906496,34,5,Critical,2,0,51,Increase,2,-10.0,Not_Likely,0,5.0,Not_Likely,0
20,20,42011,2011,77.9979206165382,78,4,Critical,2,0,1,Stable,0,31.25,Possible,1,25.07732481954328,Possible,1
21,21,51021,2011,9.116827847207542,10,6,Normal,1,0,4,Lightly_Increase,1,25.0,Possible,1,10.0,Not_Likely,0
22,22,21015,2011,16.41785066766227,17,7,Normal,1,1,16,Increase,2,31.818181818181817,Possible,1,14.831810516567046,Possible,1
23,23,54005,2011,12.535886533137518,13,5,Normal,1,-1,-6,Decrease,-2,-27.777777777777782,Not_Likely,0,3.333333333333334,Not_Likely,0
24,24,21023,2011,12.233496336997574,13,11,Normal,1,0,1,Stable,0,-10.714285714285714,Not_Likely,0,7.1428571428571415,Not_Likely,0
25,25,54007,2011,16.08737862487153,17,7,Normal,1,0,-7,Decrease,-2,-16.666666666666668,Not_Likely,0,2.2222222222222223,Not_Likely,0
26,26,21025,2011,13.030075319940964,14,8,Normal,1,1,12,Increase,2,-16.666666666666668,Not_Likely,0,4.0,Not_Likely,0
27,27,21027,2011,4.167574999509676,5,5,Good,0,1,3,Lightly_Increase,1,35.714285714285715,Possible,1,10.0,Not_Likely,0
28,28,39015,2011,25.977821425065926,26,8,Critical,2,-1,-8,Decrease,-2,-27.272727272727273,Not_Likely,0,21.933293335768383,Possible,1
29,29,51029,2011,7.148969326816339,8,5,Normal,1,-1,-7,Decrease,-2,8.333333333333334,Possible,1,21.243571201065144,Possible,1
30,30,42017,2011,280.70751369998555,281,3,Severe,3,0,39,Increase,2,75.0,Highly_Possible,2,70.0,Highly_Possible,2
31,31,21029,2011,8.264684063062019,9,6,Normal,1,1,14,Increase,2,20.0,Possible,1,7.0,Not_Likely,0
32,32,39017,2011,113.28044190699087,114,4,Critical,2,1,118,Extremely_Increase,3,22.222222222222218,Possible,1,17.60976598075961,Possible,1
33,33,42019,2011,9.524471716272787,10,4,Normal,1,0,4,Lightly_Increase,1,-18.75,Not_Likely,0,12.524959036444235,Possible,1
34,34,54011,2011,148.1062898930089,149,7,Critical,2,0,-85,Extremely_Decrease,-3,-33.333333333333336,Not_Likely,0,0.0,Not_Likely,0
35,35,54013,2011,5.899534220214328,6,7,Normal,1,-1,-4,Lightly_Decrease,-1,-20.83333333333333,Not_Likely,0,3.9824774548188824,Not_Likely,0
36,36,42021,2011,36.155037361451676,37,2,Critical,2,0,5,Lightly_Increase,1,30.0,Possible,1,12.149943543029682,Possible,1
37,37,42023,2011,5.018501666598914,6,2,Normal,1,0,3,Lightly_Increase,1,58.33333333333334,Possible,1,25.0,Possible,1
38,38,42025,2011,10.051770025761318,11,5,Normal,1,0,10,Increase,2,-18.75,Not_Likely,0,5.0,Not_Likely,0
39,39,51033,2011,11.876529362965277,12,8,Normal,1,0,-4,Lightly_Decrease,-1,46.153846153846146,Possible,1,16.923076923076927,Possible,1
40,40,21041,2011,26.59523618212303,27,8,Critical,2,-1,-6,Decrease,-2,31.818181818181817,Possible,1,9.999999999999998,Not_Likely,0
41,41,39019,2011,5.7380010260180905,6,6,Normal,1,0,6,Increase,2,22.222222222222218,Possible,1,8.88888888888889,Not_Likely,0
42,42,21043,2011,13.424002116943901,14,7,Normal,1,1,48,Increase,2,3.8461538461538463,Possible,1,2.307692307692308,Not_Likely,0
43,43,21045,2011,6.384816423459432,7,8,Normal,1,0,9,Increase,2,32.142857142857146,Possible,1,13.571428571428571,Possible,1
44,44,51540,2011,1.4472571734627857,2,8,Good,0,1,9,Increase,2,30.76923076923077,Possible,1,10.0,Not_Likely,0
45,45,51550,2011,1.4321766666709048,2,8,Good,0,1,9,Increase,2,25.0,Possible,1,15.79084589521947,Possible,1
46,46,42029,2011,55.060987350989116,56,3,Critical,2,0,13,Increase,2,58.33333333333334,Possible,1,53.333333333333336,Highly_Possible,2
47,47,51041,2011,32.099003771313065,33,13,Critical,2,0,78,Extremely_Increase,3,5.882352941176472,Possible,1,8.823529411764708,Not_Likely,0
48,48,21047,2011,10.65474037692432,11,5,Normal,1,0,2,Stable,0,31.25,Possible,1,8.75,Not_Likely,0
49,49,42031,2011,17.21608611982369,18,4,Critical,2,-1,-5,Lightly_Decrease,-1,16.666666666666668,Possible,1,7.23793206506463,Not_Likely,0
50,50,42033,2011,3.980550452851914,4,2,Good,0,1,12,Increase,2,42.857142857142854,Possible,1,10.0,Not_Likely,0
51,51,39025,2011,152.02998112086132,153,9,Severe,3,-1,-119,Extremely_Decrease,-3,30.76923076923077,Possible,1,16.1536546552154,Possible,1
52,52,39027,2011,20.423886732697078,21,5,Critical,2,-1,1,Stable,0,-38.888888888888886,Not_Likely,0,2.2222222222222223,Not_Likely,0
53,53,51570,2011,10.099304165650643,11,11,Normal,1,0,-3,Lightly_Decrease,-1,16.666666666666668,Possible,1,22.468159248574164,Possible,1
54,54,42037,2011,15.051892914941707,16,5,Normal,1,-1,-10,Decrease,-2,14.285714285714285,Possible,1,25.19650096201031,Possible,1
55,55,39029,2011,4.034986813681257,5,7,Good,0,1,12,Increase,2,27.272727272727273,Possible,1,17.04794977494358,Possible,1
56,56,39033,2011,7.892460097855572,8,6,Normal,1,0,3,Lightly_Increase,1,16.666666666666668,Possible,1,16.39510149596188,Possible,1
57,57,42039,2011,21.68794022259968,22,3,Critical,2,-1,-7,Decrease,-2,10.0,Possible,1,11.596134575445145,Possible,1
