,Drug,Year,Score_Drug_1,Score_Drug_2,Score_Drug_3
0,Propoxyphene,2016,0.002210463678652752,0.0018303663548926525,0.0020150712766978584
1,Morphine,2016,0.018052865476507023,0.026642914479708363,0.006290171783547109
2,Methadone,2016,0.01564873954842256,0.01538017360383932,0.0053577249107190136
3,Heroin,2016,0.36238832240158275,0.27697528907897784,1.906725796654416
4,Hydromorphone,2016,0.0072094726372313855,0.0070300458724090855,0.016100946387226648
5,Oxycodone,2016,0.2180367335232298,0.14165434674579627,0.17621451933447882
6,Oxymorphone,2016,0.015972429411106524,0.005716847299930705,0.0065323107488565344
7,Dextropropoxyphene,2016,0.0018565522701112964,0.002448303119484972,0.0010780417712982968
8,Buprenorphine,2016,0.053281556112451035,0.12227122834300592,0.1434126893728608
9,Fentanyl,2016,0.07752098278380652,0.06779442232197946,0.06358743226234227
10,Meperidine,2016,0.0023399777932721043,0.0023268014429506947,0.0005093081800436623
11,Hydrocodone,2016,0.3607098203114684,0.29820557635929645,0.025607737095016802
12,Dihydromorphone,2016,0.0021832719544253327,0.0012010781600593832,0.001858453568333685
13,Methorphan,2016,0.0019695715926531182,0.0024149941826017156,0.0020747548824667627
14,Codeine,2016,0.009736719657132442,0.01031786269796508,0.00401161355076624
15,Tramadol,2016,0.02405012701431551,0.023452228152390994,0.018352473587330498
16,Pethidine,2016,0.0009732778163822769,0.0006546608315901813,0.00407513818427415
17,Dihydrocodeine,2016,0.0018945010475325673,0.001213315863679017,0.002292932428812041
18,Opiates,2016,0.001152864067149735,0.003996603127884372,0.00042329031382907015
19,Opium,2016,0.0005621396938674197,0.0024739786556219755,0.002623566728302476
20,Pentazocine,2016,0.0025590238785179187,0.000685287240856981,0.0020136411457533777
21,Alphaprodine,2016,0.0014675303771759412,0.0020685582634363485,0.0018202499644823318
22,Acetylcodeine,2016,0.0018452303661742264,0.0019346810526593994,0.0015744020747114405
23,Thebaine,2016,0.004085300378519914,0.00030885470293665247,0.0003576463830769232
24,Butorphanol,2016,0.0027206867057536564,0.0006318443178147872,0.0017938514085733706
25,Nalbuphine,2016,0.0016837778447507856,0.0033682256860232736,6.147653354424715e-05
26,ANPP,2016,0.003237444188336847,0.0010859245728692423,0.0014243601979054953
27,Desmethylprodine ,2016,0.0038506873975063145,0.0008976216304803621,6.919111834343777e-08
28,Remifentanil,2016,0.0004504053455528372,0.0029870483980878135,0.0021221501591979514
29,Mitragynine,2016,0.002454401429392387,0.002148331378708137,0.0027922327376038634
30,Acetyldihydrocodeine,2016,0.0012037243242524478,0.0003126833182255395,0.004260143023944756
31,Hydrocodeinone,2016,0.002539258850804576,0.001005554107177784,0.0016099553585681584
32,MT-45,2016,0.0019553992153803906,0.0025283632006540034,0.0006884447580452132
33,Levorphanol,2016,0.0018852740052812881,0.0017421698855536428,0.0016719951792830727
