,FIPS,Year,Score_County_1,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank,Rank_Var,Degree_Var,Drug_Use_Var,Drug_Use_Var_n
0,51001,2016,13.281574246330884,14,0,Normal,1,0,-6,Lightly_Decrease,-1
1,39001,2016,40.16354567181944,41,6,Critical,2,-1,-26,Decrease,-2
2,42001,2016,19.626368754752946,20,3,Normal,1,0,-1,Stable,0
3,51510,2016,10.635195300828832,11,6,Normal,1,0,3,Stable,0
4,42003,2016,2625.359791728557,2626,4,Severe,3,0,-1167,Extremely_Decrease,-3
5,21003,2016,16.06176803439315,17,4,Normal,1,-1,-10,Decrease,-2
6,51007,2016,7.527984955854047,8,9,Normal,1,0,1,Stable,0
7,51013,2016,1.087249424049689,2,6,Good,0,2,47,Increase,2
8,42005,2016,29.97636487796341,30,3,Critical,2,0,-5,Lightly_Decrease,-1
9,39005,2016,72.14672044278952,73,5,Critical,2,0,-26,Decrease,-2
10,39007,2016,93.34503798735015,94,0,Critical,2,0,-61,Decrease,-2
11,39009,2016,55.51230400914493,56,7,Critical,2,0,8,Lightly_Increase,1
12,39011,2016,13.240300757478542,14,6,Normal,1,0,0,Stable,0
13,54001,2016,4.040820608947598,5,8,Good,0,1,4,Stable,0
14,21009,2016,18.543930618691714,19,7,Normal,1,0,1,Stable,0
15,21011,2016,11.920093591153964,12,11,Normal,1,0,-4,Stable,0
16,42009,2016,7.898437472282716,8,2,Normal,1,-1,-5,Lightly_Decrease,-1
17,51019,2016,21.955709764952914,22,9,Normal,1,0,-4,Stable,0
18,21013,2016,21.273897760040096,22,6,Normal,1,-1,-17,Decrease,-2
19,54003,2016,2.096338331001216,3,5,Good,0,2,38,Increase,2
20,42011,2016,207.6045475351942,208,4,Critical,2,0,-100,Extremely_Decrease,-3
21,51021,2016,18.028447085530654,19,6,Normal,1,0,-8,Lightly_Decrease,-1
22,21015,2016,98.96575941883094,99,7,Critical,2,0,-74,Decrease,-2
23,54005,2016,13.302900730122216,14,5,Normal,1,0,-5,Lightly_Decrease,-1
24,21023,2016,14.310094297029435,15,11,Normal,1,-1,-12,Decrease,-2
25,54007,2016,10.678887578009746,11,7,Normal,1,0,-3,Stable,0
26,21025,2016,11.155543158471696,12,8,Normal,1,0,4,Stable,0
27,21027,2016,15.658131127145055,16,5,Normal,1,0,-3,Stable,0
28,39015,2016,20.099110593535077,21,8,Normal,1,1,3,Stable,0
29,51029,2016,16.088640462617846,17,5,Normal,1,0,-5,Lightly_Decrease,-1
30,42017,2016,4.130520721846757,5,3,Good,0,0,-3,Stable,0
31,21029,2016,16.87895354082564,17,6,Normal,1,0,-3,Stable,0
32,39017,2016,117.72798401602707,118,4,Critical,2,0,104,Extremely_Increase,3
33,42019,2016,2.8178645115050105,3,4,Good,0,2,57,Increase,2
34,54011,2016,74.75185862586058,75,7,Critical,2,-2,-73,Decrease,-2
35,54013,2016,17.253524840668465,18,7,Normal,1,0,-7,Lightly_Decrease,-1
36,42021,2016,145.1289150754127,146,2,Critical,2,-1,-131,Extremely_Decrease,-3
37,42023,2016,10.463483588618919,11,2,Normal,1,0,1,Stable,0
38,42025,2016,18.303973229027807,19,5,Normal,1,0,-1,Stable,0
39,51033,2016,26.32343026067261,27,8,Critical,2,-1,-17,Decrease,-2
40,21041,2016,29.499446649774285,30,8,Critical,2,-1,-14,Decrease,-2
41,39019,2016,7.414511647712413,8,6,Normal,1,-1,-4,Stable,0
42,21043,2016,11.93352155494476,12,7,Normal,1,1,9,Lightly_Increase,1
43,21045,2016,3.445442634135984,4,8,Good,0,1,8,Lightly_Increase,1
44,51540,2016,9.466313897351228,10,8,Normal,1,0,1,Stable,0
45,51550,2016,15.318736186002116,16,8,Normal,1,0,2,Stable,0
46,42029,2016,74.37594414503819,75,3,Critical,2,0,-37,Decrease,-2
47,51041,2016,230.0200102826199,231,13,Critical,2,0,-80,Decrease,-2
48,21047,2016,0.36907550106519416,1,5,Good,0,1,15,Increase,2
49,42031,2016,10.912809499200227,11,4,Normal,1,0,-1,Stable,0
50,42033,2016,4.33454970466655,5,2,Good,0,1,7,Lightly_Increase,1
51,39025,2016,8.50180835692214,9,9,Normal,1,1,173,Extremely_Increase,3
52,39027,2016,76.58425352711278,77,5,Critical,2,0,4,Stable,0
53,51570,2016,1.2155884540749844,2,11,Good,0,0,5,Lightly_Increase,1
54,42037,2016,16.517050245509363,17,5,Normal,1,-1,-11,Decrease,-2
55,39029,2016,41.56906093190121,42,7,Critical,2,0,82,Increase,2
56,39033,2016,49.059006227861296,50,6,Critical,2,-2,-47,Decrease,-2
57,42039,2016,36.80639402126896,37,3,Critical,2,0,-10,Decrease,-2
