,FIPS,Year,Score_County_1,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank,Rank_Var,Degree_Var,Drug_Use_Var,Drug_Use_Var_n
0,51001,2011,12.169410533130385,13,0,Normal,1,0,0,Stable,0
1,39001,2011,34.352090332582215,35,6,Critical,2,-1,-13,Decrease,-2
2,42001,2011,9.007683777990373,10,3,Normal,1,-1,-7,Decrease,-2
3,51510,2011,1.7055432257032088,2,6,Good,0,1,9,Increase,2
4,42003,2011,647.6325728488657,648,4,Severe,3,0,-392,Extremely_Decrease,-3
5,21003,2011,7.505931049526135,8,4,Normal,1,0,4,Lightly_Increase,1
6,51007,2011,5.522428500278339,6,9,Normal,1,-1,0,Stable,0
7,51013,2011,20.703334951531442,21,6,Critical,2,0,15,Increase,2
8,42005,2011,12.993272240283014,13,3,Normal,1,0,1,Stable,0
9,39005,2011,12.367530277225196,13,5,Normal,1,1,22,Increase,2
10,39007,2011,25.103943415911356,26,0,Critical,2,0,3,Lightly_Increase,1
11,39009,2011,64.93157307488612,65,7,Critical,2,0,-15,Decrease,-2
12,39011,2011,14.07843202391836,15,6,Normal,1,0,-5,Lightly_Decrease,-1
13,54001,2011,10.814996821050551,11,8,Normal,1,-1,-8,Decrease,-2
14,21009,2011,4.377329378375709,5,7,Good,0,0,-3,Lightly_Decrease,-1
15,21011,2011,15.328277817822732,16,11,Normal,1,0,1,Stable,0
16,42009,2011,19.120816662663746,20,2,Critical,2,-1,-2,Stable,0
17,51019,2011,17.440909302062966,18,9,Critical,2,0,14,Increase,2
18,21013,2011,31.92360373591403,32,6,Critical,2,-2,-25,Decrease,-2
19,54003,2011,33.82863649906496,34,5,Critical,2,0,51,Increase,2
20,42011,2011,77.9979206165382,78,4,Critical,2,0,1,Stable,0
21,51021,2011,9.116827847207542,10,6,Normal,1,0,4,Lightly_Increase,1
22,21015,2011,16.41785066766227,17,7,Normal,1,1,16,Increase,2
23,54005,2011,12.535886533137518,13,5,Normal,1,-1,-6,Decrease,-2
24,21023,2011,12.233496336997572,13,11,Normal,1,0,1,Stable,0
25,54007,2011,16.08737862487153,17,7,Normal,1,0,-7,Decrease,-2
26,21025,2011,13.030075319940964,14,8,Normal,1,1,12,Increase,2
27,21027,2011,4.167574999509676,5,5,Good,0,1,3,Lightly_Increase,1
28,39015,2011,25.977821425065926,26,8,Critical,2,-1,-8,Decrease,-2
29,51029,2011,7.148969326816339,8,5,Normal,1,-1,-7,Decrease,-2
30,42017,2011,280.70751369998555,281,3,Severe,3,0,39,Increase,2
31,21029,2011,8.264684063062019,9,6,Normal,1,1,14,Increase,2
32,39017,2011,113.28044190699087,114,4,Critical,2,1,118,Extremely_Increase,3
33,42019,2011,9.524471716272787,10,4,Normal,1,0,4,Lightly_Increase,1
34,54011,2011,148.1062898930089,149,7,Critical,2,0,-85,Extremely_Decrease,-3
35,54013,2011,5.899534220214328,6,7,Normal,1,-1,-4,Lightly_Decrease,-1
36,42021,2011,36.155037361451676,37,2,Critical,2,0,5,Lightly_Increase,1
37,42023,2011,5.018501666598914,6,2,Normal,1,0,3,Lightly_Increase,1
38,42025,2011,10.051770025761318,11,5,Normal,1,0,10,Increase,2
39,51033,2011,11.876529362965277,12,8,Normal,1,0,-4,Lightly_Decrease,-1
40,21041,2011,26.59523618212303,27,8,Critical,2,-1,-6,Decrease,-2
