,Unnamed: 0,FIPS,Year,Score_County_1,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank,Rank_Var,Degree_Var,Drug_Use_Var,Drug_Use_Var_n,Source_Potentiel,is_Source,is_Source_Rank,is_Surrounded
0,0,51001,2015,10.587231954486832,11,0,Normal,1,0,3,Stable,0,0.0,Not_Likely,0,8.0
1,1,39001,2015,26.735085202578396,27,6,Critical,2,0,14,Lightly_Increase,1,-5.0,Not_Likely,0,3.0000000000000004
2,2,42001,2015,13.0254060114569,14,3,Normal,1,0,6,Stable,0,20.0,Possible,1,4.0
3,3,51510,2015,3.7498772076071454,4,6,Good,0,1,7,Stable,0,5.5555555555555545,Possible,1,2.2222222222222223
4,4,42003,2015,1152.2883355548433,1153,4,Severe,3,0,1473,Extremely_Increase,3,31.25,Possible,1,32.50000000000001
5,5,21003,2015,3.83896378444678,4,4,Good,0,1,13,Lightly_Increase,1,42.857142857142854,Highly_Possible,2,22.857142857142865
6,6,51007,2015,4.7099719513050085,5,9,Good,0,1,3,Stable,0,10.714285714285714,Possible,1,8.571428571428571
7,7,51013,2015,34.90947757499063,35,6,Critical,2,-2,-33,Decrease,-2,5.5555555555555545,Possible,1,2.2222222222222223
8,8,42005,2015,1.4328063658487953,2,3,Good,0,2,28,Increase,2,21.428571428571427,Possible,1,47.142857142857146
9,9,39005,2015,45.489733307673475,46,5,Critical,2,0,27,Increase,2,11.111111111111109,Possible,1,14.444444444444448
10,10,39007,2015,66.5394633976845,67,0,Critical,2,0,27,Increase,2,40.0,Highly_Possible,2,26.000000000000007
11,11,39009,2015,49.29191117950978,50,7,Critical,2,0,6,Stable,0,-18.75,Not_Likely,0,15.000000000000002
12,12,39011,2015,3.76651151306228,4,6,Good,0,1,10,Lightly_Increase,1,-25.0,Not_Likely,0,1.0
13,13,54001,2015,11.180542456406915,12,8,Normal,1,-1,-7,Stable,0,-5.0,Not_Likely,0,1.0
14,14,21009,2015,18.234852871891643,19,7,Normal,1,0,0,Stable,0,20.0,Possible,1,19.000000000000007
15,15,21011,2015,12.540108831216733,13,11,Normal,1,0,-1,Stable,0,-15.625,Not_Likely,0,0.0
16,16,42009,2015,2.422566825674197,3,2,Good,0,1,5,Stable,0,16.666666666666668,Possible,1,3.3333333333333335
17,17,51019,2015,25.427526141687245,26,9,Critical,2,-1,-4,Stable,0,7.6923076923076925,Possible,1,3.8461538461538463
18,18,21013,2015,93.08851445754783,94,6,Critical,2,-1,-72,Decrease,-2,-43.75,Not_Likely,0,0.0
19,19,54003,2015,34.17480990006959,35,5,Critical,2,-2,-32,Decrease,-2,-25.0,Not_Likely,0,0.0
20,20,42011,2015,85.49881916475606,86,4,Critical,2,0,122,Increase,2,12.5,Possible,1,27.500000000000004
21,21,51021,2015,4.925678718653736,5,6,Good,0,1,14,Lightly_Increase,1,-4.166666666666667,Not_Likely,0,0.8333333333333334
22,22,21015,2015,52.14908164157951,53,7,Critical,2,0,46,Increase,2,-9.090909090909092,Not_Likely,0,3.6363636363636362
23,23,54005,2015,11.393732526815471,12,5,Normal,1,0,2,Stable,0,-22.222222222222218,Not_Likely,0,1.1111111111111112
24,24,21023,2015,10.696071997505094,11,11,Normal,1,0,4,Stable,0,-21.428571428571427,Not_Likely,0,0.7142857142857143
25,25,54007,2015,11.4068443468011,12,7,Normal,1,0,-1,Stable,0,-16.666666666666668,Not_Likely,0,1.1111111111111112
26,26,21025,2015,9.812339863415664,10,8,Normal,1,0,2,Stable,0,10.0,Possible,1,2.0000000000000004
27,27,21027,2015,8.971125857046555,9,5,Normal,1,0,7,Stable,0,0.0,Not_Likely,0,7.142857142857143
28,28,39015,2015,13.361692726345215,14,8,Normal,1,0,7,Stable,0,-31.818181818181817,Not_Likely,0,0.9090909090909091
29,29,51029,2015,15.66334304767424,16,5,Normal,1,0,1,Stable,0,0.0,Not_Likely,0,3.3333333333333335
30,30,42017,2015,50.43688827454822,51,3,Critical,2,-2,-46,Decrease,-2,-8.333333333333334,Not_Likely,0,0.0
31,31,21029,2015,18.955316262751,19,6,Normal,1,0,-2,Stable,0,5.0,Possible,1,9.999999999999998
32,32,39017,2015,276.9873706366718,277,4,Critical,2,0,-159,Extremely_Decrease,-3,-16.666666666666668,Not_Likely,0,0.0
33,33,42019,2015,24.356431252489337,25,4,Normal,1,-1,-22,Decrease,-2,18.75,Possible,1,5.0
34,34,54011,2015,9.090800457525992,10,7,Normal,1,1,65,Increase,2,5.5555555555555545,Possible,1,5.555555555555555
35,35,54013,2015,8.493371662950116,9,7,Normal,1,0,9,Lightly_Increase,1,-12.5,Not_Likely,0,1.6666666666666667
36,36,42021,2015,108.60951765931057,109,2,Critical,2,0,37,Increase,2,20.0,Possible,1,26.000000000000007
