,Drug,Year,Score_Drug_1,Score_Drug_2,Score_Drug_3
0,Propoxyphene,2014,0.002259650559053662,0.00010046370047677755,0.0034327917747964238
1,Morphine,2014,0.02987177348171965,0.01857531673331135,0.030978131437850717
2,Methadone,2014,0.0219081523993067,0.028133958257413445,0.0060488084140381
3,Heroin,2014,0.8610729174641204,0.7706060822355907,0.9084562923458362
4,Hydromorphone,2014,0.009836695013094077,0.017202276438267522,0.01383040105670537
5,Oxycodone,2014,0.4321934626065054,0.046126400848260064,0.36551690165675094
6,Oxymorphone,2014,0.015949595469298757,0.010956735932940841,0.0050144055831302685
7,Dextropropoxyphene,2014,0.0007544182620000411,0.0024743493855318506,0.0012317926480394756
8,Buprenorphine,2014,0.04653215911880201,0.15957431469033367,0.10019561519485883
9,Fentanyl,2014,0.051284265927064684,0.0032322627481411676,0.3311187977245568
10,Meperidine,2014,0.001953709056533939,0.0017713197697508502,0.0010552197045071007
11,Hydrocodone,2014,0.024450580251305958,0.07706770045116006,0.02512743986999427
12,Dihydromorphone,2014,0.0020794559232485818,0.0001298577754029041,0.0026013144677695743
13,Methorphan,2014,0.0009494232467565274,0.0034982668585798677,0.00045718554459807934
14,Codeine,2014,0.014928161051662512,0.0007333567280370862,0.014439028474705217
15,Tramadol,2014,0.010747265940241441,0.01754318519824144,0.010987666040717601
16,Pethidine,2014,0.0014639723245297924,0.0022305566282078888,0.0006893682743388527
17,Dihydrocodeine,2014,0.0011996486968817814,0.0019552272915020715,0.001377850995274905
18,Opiates,2014,0.0018086285068287808,0.0008249918997118701,0.00203310202060516
19,Opium,2014,0.003585475191992605,0.0005919836540440207,0.00040533549479250915
20,Pentazocine,2014,0.0019425024500558617,0.0019945430203083788,0.0007850908568440687
21,Alphaprodine,2014,0.0013176121112969045,0.001914050552290351,0.0012196078104351469
22,Acetylcodeine,2014,0.00022557373931775566,0.0018875031683014847,0.002579754937860204
23,Thebaine,2014,0.0010850672784741674,0.0028097624667285824,0.00035403812955107217
24,Butorphanol,2014,0.0016226004408035702,0.0019448824915970545,0.0008313172719523896
25,Nalbuphine,2014,0.0006834418751810734,0.0028318528899452552,0.0007860688096322967
26,ANPP,2014,0.0009742755918984475,0.0008741074197782531,0.002964180193080969
27,Desmethylprodine ,2014,0.0028734245061488566,0.00011015198647531403,0.0017167383174208318
28,Remifentanil,2014,0.0018994514926587707,0.0012819693092008277,0.0013518004926332224
29,Mitragynine,2014,0.0015750249267684772,0.002811426927930328,0.0003695747161574447
30,Acetyldihydrocodeine,2014,0.001680384450250965,0.0022654408984575628,0.00035956891815667867
31,Hydrocodeinone,2014,0.0029087165538820565,0.00047313223551060274,0.001217844658000714
32,MT-45,2014,0.0015160560687928078,0.0022033500788277735,0.0006267485864295347
33,Levorphanol,2014,0.001934298483942877,0.001773083843886653,0.0007287283686171958
34,Acetyl fentanyl,2014,0.001593279908701793,0.0014875755258186507,0.002525165091461134
35,Butyryl fentanyl,2014,0.0014884745357904518,0.0021230783812775196,0.000797312967562093
36,Furanyl fentanyl,2014,0.0022717795375406338,0.000829386073978018,0.0014972806070769615
37,p-Fluorobutyryl fentanyl,2014,0.0012364383421108681,0.00041948811948359287,0.0032007824083328997
38,cis-3-methylfentanyl,2014,0.002282862320363152,0.0012314246573080084,0.0009764609385914928
39,Valeryl fentanyl,2014,0.0009290112603065397,0.002611423907632557,0.0007834093791166766
40,Carfentanil,2014,0.0014545320215532144,0.00197348331411868,0.0009876779661900485
41,Acryl fentanyl,2014,0.0008979378854987804,0.0023414915081127596,0.001160125574232156
42,U-47700,2014,0.0038643851500944413,0.00048220906565521715,0.00011168292569233743
43,3-Methylfentanyl,2014,0.002072893439452428,0.0007731853992258792,0.0017960777637929734
44,4-Fluoroisobutyryl fentanyl,2014,0.0012837433644891883,0.0021662247778224024,0.0009396744657102196
45,trans-3-Methylfentanyl,2014,0.0008008578821339023,0.0025929302342532386,0.0009535134039440107
46,p-methoxybutyryl fentanyl,2014,0.003392293585385966,0.0007496171359750199,0.00031459110845593236
