,Unnamed: 0,FIPS,Year,Score_County_2,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank,Rank_Var,Degree_Var,Drug_Use_Var,Drug_Use_Var_n,Source_Potentiel,is_Source,is_Source_Rank,is_Surrounded,is_Affected,is_Affected_Rank
0,0,51001,2013,8.999890882243015,9,0,Normal,1,0,11,Increase,2,50.0,Highly_Possible,2,24.000000000000004,Possible,1
1,1,39001,2013,55.01193887662792,56,6,Critical,2,0,-10,Lightly_Decrease,-1,-45.0,Not_Likely,0,4.0,Not_Likely,0
2,2,42001,2013,12.233316190726807,13,3,Normal,1,0,-4,Stable,0,50.0,Highly_Possible,2,62.2362646842408,Highly_Possible,2
3,3,51510,2013,15.113940429367005,16,6,Normal,1,-1,-10,Lightly_Decrease,-1,27.777777777777782,Possible,1,8.88888888888889,Not_Likely,0
4,4,42003,2013,158.17508850885486,159,4,Critical,2,1,1198,Extremely_Increase,3,-6.25,Not_Likely,0,17.5,Possible,1
5,5,21003,2013,10.248769892688463,11,4,Normal,1,0,6,Lightly_Increase,1,7.142857142857142,Possible,1,7.142857142857143,Not_Likely,0
6,6,51007,2013,7.211896805733214,8,9,Normal,1,0,10,Lightly_Increase,1,-28.57142857142857,Not_Likely,0,2.1428571428571432,Not_Likely,0
7,7,51013,2013,26.078531890632238,27,6,Critical,2,0,20,Increase,2,27.777777777777782,Possible,1,8.88888888888889,Not_Likely,0
8,8,42005,2013,1.778165943741856,2,3,Good,0,2,37,Increase,2,35.714285714285715,Possible,1,21.428571428571434,Possible,1
9,9,39005,2013,40.4499805725019,41,5,Critical,2,0,-13,Decrease,-2,5.5555555555555545,Possible,1,14.988099889020425,Possible,1
10,10,39007,2013,92.67008929800488,93,0,Critical,2,-1,-68,Decrease,-2,-40.0,Not_Likely,0,10.740264603000542,Possible,1
11,11,39009,2013,25.728348094999212,26,7,Critical,2,0,29,Increase,2,-12.5,Not_Likely,0,6.25,Not_Likely,0
12,12,39011,2013,1.7606903509935714,2,6,Good,0,1,8,Lightly_Increase,1,-15.0,Not_Likely,0,16.925527826326714,Possible,1
13,13,54001,2013,8.504186987790558,9,8,Normal,1,0,2,Stable,0,-30.0,Not_Likely,0,0.0,Not_Likely,0
14,14,21009,2013,28.358461416838555,29,7,Critical,2,-1,-18,Decrease,-2,10.0,Possible,1,7.0,Not_Likely,0
15,15,21011,2013,22.698966409198913,23,11,Normal,1,0,-2,Stable,0,12.5,Possible,1,6.874999999999999,Not_Likely,0
16,16,42009,2013,15.996388605204222,16,2,Normal,1,0,1,Stable,0,41.66666666666666,Possible,1,20.0,Possible,1
17,17,51019,2013,32.633399718362796,33,9,Critical,2,-2,-27,Decrease,-2,-26.923076923076927,Not_Likely,0,9.293784871710908,Not_Likely,0
18,18,21013,2013,4.582718172226853,5,6,Good,0,2,79,Increase,2,0.0,Not_Likely,0,6.25,Not_Likely,0
19,19,54003,2013,29.48965243291121,30,5,Critical,2,-1,-21,Decrease,-2,-35.0,Not_Likely,0,0.0,Not_Likely,0
20,20,42011,2013,42.51633275008839,43,4,Critical,2,0,48,Increase,2,-12.5,Not_Likely,0,28.750000000000004,Possible,1
21,21,51021,2013,9.742830451286359,10,6,Normal,1,0,-1,Stable,0,-12.5,Not_Likely,0,9.250701406602438,Not_Likely,0
22,22,21015,2013,90.75540083416892,91,7,Critical,2,0,-31,Decrease,-2,22.72727272727273,Possible,1,18.672628026517074,Possible,1
23,23,54005,2013,9.746410111585208,10,5,Normal,1,0,-2,Stable,0,-11.111111111111109,Not_Likely,0,3.333333333333334,Not_Likely,0
24,24,21023,2013,10.321988776636076,11,11,Normal,1,0,1,Stable,0,-10.714285714285714,Not_Likely,0,2.857142857142857,Not_Likely,0
25,25,54007,2013,13.447312216667047,14,7,Normal,1,-1,-11,Decrease,-2,-22.222222222222218,Not_Likely,0,3.9213655269871994,Not_Likely,0
26,26,21025,2013,22.403102293233008,23,8,Normal,1,0,-11,Decrease,-2,23.33333333333333,Possible,1,8.0,Not_Likely,0
27,27,21027,2013,5.083502062859941,6,5,Good,0,0,-2,Stable,0,-14.285714285714285,Not_Likely,0,6.659490678387632,Not_Likely,0
28,28,39015,2013,23.46114738282395,24,8,Normal,1,0,-12,Decrease,-2,-4.545454545454546,Not_Likely,0,49.86725393553434,Highly_Possible,2
29,29,51029,2013,7.258776885515759,8,5,Normal,1,0,0,Stable,0,0.0,Not_Likely,0,4.166666666666667,Not_Likely,0
30,30,42017,2013,11.589389650469395,12,3,Normal,1,2,508,Extremely_Increase,3,50.0,Highly_Possible,2,66.66666666666667,Highly_Possible,2
31,31,21029,2013,6.549028073677743,7,6,Normal,1,0,12,Increase,2,10.0,Possible,1,13.571156494710817,Possible,1
32,32,39017,2013,181.40993967918823,182,4,Critical,2,0,76,Increase,2,50.0,Highly_Possible,2,49.99999999999998,Highly_Possible,2
33,33,42019,2013,23.90235005747909,24,4,Normal,1,1,13,Increase,2,50.0,Highly_Possible,2,18.750000000000007,Possible,1
34,34,54011,2013,95.86050934102505,96,7,Critical,2,-2,-94,Decrease,-2,16.666666666666668,Possible,1,25.94227068075525,Possible,1
35,35,54013,2013,5.232925537099211,6,7,Good,0,1,1,Stable,0,-45.83333333333334,Not_Likely,0,2.0406712895292265,Not_Likely,0
36,36,42021,2013,37.20567582048765,38,2,Critical,2,0,50,Increase,2,60.0,Highly_Possible,2,32.21268785099855,Highly_Possible,2
37,37,42023,2013,7.981579691207826,8,2,Normal,1,0,4,Stable,0,25.0,Possible,1,6.666666666666667,Not_Likely,0
38,38,42025,2013,12.361365832035501,13,5,Normal,1,0,0,Stable,0,-62.5,Not_Likely,0,1.25,Not_Likely,0
39,39,51033,2013,3.829848074412826,4,8,Good,0,1,9,Lightly_Increase,1,15.384615384615385,Possible,1,6.153846153846154,Not_Likely,0
40,40,21041,2013,24.821993709573864,25,8,Normal,1,0,0,Stable,0,-22.72727272727273,Not_Likely,0,1.8181818181818181,Not_Likely,0
41,41,39019,2013,7.43795009445507,8,6,Normal,1,-1,-5,Stable,0,16.666666666666668,Possible,1,6.666666666666667,Not_Likely,0
42,42,21043,2013,11.268611060772724,12,7,Normal,1,1,20,Increase,2,11.538461538461537,Possible,1,9.23076923076923,Not_Likely,0
43,43,21045,2013,9.441409774000514,10,8,Normal,1,-1,-6,Lightly_Decrease,-1,25.0,Possible,1,10.94500567172577,Possible,1
44,44,51540,2013,6.448913345870367,7,8,Normal,1,0,5,Stable,0,11.538461538461537,Possible,1,4.615384615384615,Not_Likely,0
45,45,51550,2013,29.55154319265886,30,8,Critical,2,-2,-29,Decrease,-2,-45.0,Not_Likely,0,0.0,Not_Likely,0
46,46,42029,2013,87.87870238567591,88,3,Critical,2,0,-59,Decrease,-2,41.66666666666666,Possible,1,58.46260282939115,Highly_Possible,2
47,47,51041,2013,114.82019462259424,115,13,Critical,2,0,-33,Decrease,-2,-41.1764705882353,Not_Likely,0,7.62626463711523,Not_Likely,0
48,48,21047,2013,18.81504788762016,19,5,Normal,1,0,0,Stable,0,-12.5,Not_Likely,0,2.5,Not_Likely,0
49,49,42031,2013,6.544685808760022,7,4,Normal,1,0,0,Stable,0,41.66666666666666,Possible,1,29.564891367587418,Possible,1
50,50,42033,2013,8.802743578753821,9,2,Normal,1,0,3,Stable,0,21.428571428571427,Possible,1,31.448401652400726,Highly_Possible,2
51,51,39025,2013,144.28817651132485,145,9,Critical,2,0,35,Increase,2,19.23076923076923,Possible,1,27.692307692307693,Possible,1
52,52,39027,2013,16.522096539545686,17,5,Normal,1,1,26,Increase,2,50.0,Highly_Possible,2,58.88888888888888,Highly_Possible,2
53,53,51570,2013,23.33071189611607,24,11,Normal,1,0,-13,Decrease,-2,-36.111111111111114,Not_Likely,0,0.0,Not_Likely,0
54,54,42037,2013,9.36150612372766,10,5,Normal,1,0,-3,Stable,0,-21.428571428571427,Not_Likely,0,7.941495726811299,Not_Likely,0
55,55,39029,2013,58.916983107538265,59,7,Critical,2,0,-3,Stable,0,4.545454545454546,Possible,1,10.628700886274796,Possible,1
56,56,39033,2013,0.2504754422462574,1,6,Good,0,2,66,Increase,2,5.5555555555555545,Possible,1,6.666666666666667,Not_Likely,0
57,57,42039,2013,9.190518856759294,10,3,Normal,1,0,1,Stable,0,10.0,Possible,1,6.000000000000001,Not_Likely,0
58,58,21055,2013,0.9931736490325028,1,5,Good,0,1,8,Lightly_Increase,1,0.0,Not_Likely,0,6.25,Not_Likely,0
59,59,39035,2013,1274.4527968739885,1275,1,Severe,3,0,-206,Extremely_Decrease,-3,-87.5,Not_Likely,0,2.5,Not_Likely,0
60,60,51590,2013,8.76067418795207,9,3,Normal,1,0,-2,Stable,0,-10.0,Not_Likely,0,6.178093046007769,Not_Likely,0
61,61,42043,2013,68.8162443681822,69,5,Critical,2,0,155,Extremely_Increase,3,66.66666666666667,Highly_Possible,2,50.0,Highly_Possible,2
62,62,21059,2013,13.085088497028721,14,4,Normal,1,0,-2,Stable,0,-6.25,Not_Likely,0,2.5,Not_Likely,0
63,63,39039,2013,4.740292448708892,5,5,Good,0,1,12,Increase,2,28.57142857142857,Possible,1,32.60939003585308,Highly_Possible,2
64,64,39041,2013,66.65814187809583,67,5,Critical,2,0,7,Lightly_Increase,1,-12.5,Not_Likely,0,1.25,Not_Likely,0
