,FIPS,Year,Score_County_3,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank
0,51001,2017,18.326257477428037,19,0,Normal,1
1,39001,2017,24.309934607365147,25,6,Critical,2
2,42001,2017,3.8279090164900658,4,3,Good,0
3,51510,2017,3.277232658993072,4,6,Good,0
4,42003,2017,1966.2402549929766,1967,4,Severe,3
5,21003,2017,9.590348138247652,10,4,Normal,1
6,51007,2017,9.012313583605117,10,9,Normal,1
7,51013,2017,5.7075262515561995,6,6,Good,0
8,42005,2017,14.959909442090433,15,3,Normal,1
9,39005,2017,131.5732338918097,132,5,Critical,2
10,39007,2017,60.92970097008682,61,0,Critical,2
11,39009,2017,33.942619938749445,34,7,Critical,2
12,39011,2017,10.458163340733648,11,6,Normal,1
13,54001,2017,7.452789521608946,8,8,Normal,1
14,21009,2017,7.594006354756347,8,7,Normal,1
15,21011,2017,3.541521702599063,4,11,Good,0
16,42009,2017,1.4467802954490925,2,2,Good,0
17,51019,2017,39.02958582772478,40,9,Critical,2
18,21013,2017,58.79444034455266,59,6,Critical,2
19,54003,2017,9.138599405730464,10,5,Normal,1
20,42011,2017,22.020507587161365,23,4,Critical,2
21,51021,2017,6.963737812094653,7,6,Normal,1
22,21015,2017,18.43525723611504,19,7,Normal,1
23,54005,2017,9.941595265110523,10,5,Normal,1
24,21023,2017,21.23703984745688,22,11,Normal,1
25,54007,2017,4.225807170398698,5,7,Good,0
26,21025,2017,7.410113093861722,8,8,Normal,1
27,21027,2017,8.63535891155189,9,5,Normal,1
28,39015,2017,7.423563535503132,8,8,Normal,1
29,51029,2017,1.7781897427054931,2,5,Good,0
30,42017,2017,23.593554851760068,24,3,Critical,2
31,21029,2017,14.75870248295023,15,6,Normal,1
32,39017,2017,228.3221283428788,229,4,Critical,2
33,42019,2017,46.524219056596095,47,4,Critical,2
34,54011,2017,42.93311421649444,43,7,Critical,2
35,54013,2017,16.694605030990072,17,7,Normal,1
36,42021,2017,51.286512274116575,52,2,Critical,2
37,42023,2017,10.697137380145396,11,2,Normal,1
38,42025,2017,12.725139485589118,13,5,Normal,1
39,51033,2017,23.334544689528656,24,8,Critical,2
40,21041,2017,12.865254311936932,13,8,Normal,1
