,FIPS,Year,Score_County_3,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank,Rank_Var,Degree_Var,Drug_Use_Var,Drug_Use_Var_n
0,51001,2015,3.5739178759894417,4,0,Good,0,1,4,Stable,0
1,39001,2015,30.023255311098065,31,6,Critical,2,0,-8,Lightly_Decrease,-1
2,42001,2015,17.166222594578365,18,3,Normal,1,0,-2,Stable,0
3,51510,2015,15.311443317247452,16,6,Normal,1,0,-1,Stable,0
4,42003,2015,1218.2164716970128,1219,4,Severe,3,-1,-1052,Extremely_Decrease,-3
5,21003,2015,22.22427095383722,23,4,Normal,1,-1,-16,Decrease,-2
6,51007,2015,6.707958457616504,7,9,Good,0,1,2,Stable,0
7,51013,2015,40.931288665673776,41,6,Critical,2,0,26,Increase,2
8,42005,2015,41.08947008315509,42,3,Critical,2,0,-9,Lightly_Decrease,-1
9,39005,2015,27.76148058170856,28,5,Critical,2,0,32,Increase,2
10,39007,2015,20.56594984003345,21,0,Normal,1,1,39,Increase,2
11,39009,2015,51.29395307998844,52,7,Critical,2,0,-18,Decrease,-2
12,39011,2015,30.5749842743476,31,6,Critical,2,-1,-20,Decrease,-2
13,54001,2015,3.8757434312775896,4,8,Good,0,1,7,Lightly_Increase,1
14,21009,2015,16.117823923252868,17,7,Normal,1,0,-9,Lightly_Decrease,-1
15,21011,2015,20.993022540468388,21,11,Normal,1,0,-7,Lightly_Decrease,-1
16,42009,2015,17.411980948609965,18,2,Normal,1,0,-7,Lightly_Decrease,-1
17,51019,2015,15.212426730601393,16,9,Normal,1,0,-8,Lightly_Decrease,-1
18,21013,2015,58.52484602202411,59,6,Critical,2,-1,-38,Decrease,-2
19,54003,2015,16.391430284539087,17,5,Normal,1,0,-9,Lightly_Decrease,-1
20,42011,2015,141.4969161975379,142,4,Critical,2,0,-19,Decrease,-2
21,51021,2015,0.7175186928337379,1,6,Good,0,0,3,Stable,0
22,21015,2015,75.47730399468394,76,7,Critical,2,-1,-58,Decrease,-2
23,54005,2015,8.003504628827963,9,5,Normal,1,-1,-2,Stable,0
24,21023,2015,9.78184304152776,10,11,Normal,1,0,4,Stable,0
25,54007,2015,7.985793325178416,8,7,Normal,1,0,4,Stable,0
26,21025,2015,14.927035543305163,15,8,Normal,1,0,-2,Stable,0
27,21027,2015,9.310468548807352,10,5,Normal,1,-1,-7,Lightly_Decrease,-1
28,39015,2015,17.644483675707562,18,8,Normal,1,1,14,Increase,2
29,51029,2015,3.8944631114292623,4,5,Good,0,0,3,Stable,0
30,42017,2015,182.05113247354424,183,3,Critical,2,0,-155,Extremely_Decrease,-3
31,21029,2015,10.716657217884453,11,6,Normal,1,0,7,Lightly_Increase,1
32,39017,2015,268.015901786938,269,4,Critical,2,0,-86,Decrease,-2
33,42019,2015,41.62022338880355,42,4,Critical,2,0,-14,Decrease,-2
34,54011,2015,29.10503078605714,30,7,Critical,2,-2,-29,Decrease,-2
35,54013,2015,6.970722818519494,7,7,Good,0,0,-3,Stable,0
36,42021,2015,64.34455664424846,65,2,Critical,2,0,8,Lightly_Increase,1
37,42023,2015,14.624364179145386,15,2,Normal,1,0,-7,Lightly_Decrease,-1
38,42025,2015,25.778584282217892,26,5,Critical,2,-1,-11,Decrease,-2
39,51033,2015,23.64697659596785,24,8,Critical,2,-1,-16,Decrease,-2
40,21041,2015,24.534717323713537,25,8,Critical,2,-2,-24,Decrease,-2
41,39019,2015,1.4954970630171345,2,6,Good,0,1,7,Lightly_Increase,1
42,21043,2015,8.879176855982879,9,7,Normal,1,0,11,Increase,2
43,21045,2015,11.98332203342772,12,8,Normal,1,0,2,Stable,0
44,51540,2015,0.5357666214133157,1,8,Good,0,1,10,Lightly_Increase,1
45,51550,2015,6.731285216097724,7,8,Good,0,1,8,Lightly_Increase,1
46,42029,2015,65.50562419066014,66,3,Critical,2,0,12,Increase,2
47,51041,2015,76.62704693154285,77,13,Critical,2,0,-6,Lightly_Decrease,-1
48,21047,2015,9.249933006592126,10,5,Normal,1,1,13,Increase,2
49,42031,2015,14.926618369473296,15,4,Normal,1,-1,-9,Lightly_Decrease,-1
50,42033,2015,14.164968132139164,15,2,Normal,1,0,2,Stable,0
51,39025,2015,19.74707661487318,20,9,Normal,1,1,154,Extremely_Increase,3
52,39027,2015,29.73775356112319,30,5,Critical,2,-1,-17,Decrease,-2
53,51570,2015,7.621763105520121,8,11,Normal,1,0,6,Lightly_Increase,1
54,42037,2015,16.556932399634434,17,5,Normal,1,0,-7,Lightly_Decrease,-1
55,39029,2015,44.01569312055481,45,7,Critical,2,0,104,Increase,2
56,39033,2015,48.5703004437398,49,6,Critical,2,0,-19,Decrease,-2
57,42039,2015,29.683295226537666,30,3,Critical,2,0,-1,Stable,0
58,21055,2015,16.006367939865907,17,5,Normal,1,-1,-11,Decrease,-2
59,39035,2015,684.5010249409512,685,1,Severe,3,0,536,Extremely_Increase,3
60,51590,2015,13.146421606830225,14,3,Normal,1,0,-2,Stable,0
61,42043,2015,52.47626862418983,53,5,Critical,2,-2,-49,Decrease,-2
62,21059,2015,8.495525614495365,9,4,Normal,1,-1,-3,Stable,0
63,39039,2015,61.452548547443065,62,5,Critical,2,0,-4,Stable,0
64,39041,2015,39.94335613323748,40,5,Critical,2,0,35,Increase,2
65,42045,2015,327.28126026540235,328,3,Severe,3,0,65,Increase,2
66,51051,2015,0.0037595611386542016,1,6,Good,0,1,13,Increase,2
67,54017,2015,5.081383498736361,6,8,Good,0,0,-1,Stable,0
68,39043,2015,18.20471430990227,19,3,Normal,1,1,57,Increase,2
