,FIPS,Year,Score_County_3,Degree,Neignbor_County_Num,Drug_Use_Condition,Drug_Use_Rank,Rank_Var,Degree_Var,Drug_Use_Var,Drug_Use_Var_n,Source_Potentiel,is_Source,is_Source_Rank
0,51001,2011,9.76455712051759,10,0,Normal,1,0,-2,Stable,0,10.0,Possible,1
1,39001,2011,1.4307312647222634,2,6,Good,0,2,48,Increase,2,15.0,Possible,1
2,42001,2011,14.076265928634527,15,3,Normal,1,0,2,Stable,0,20.0,Possible,1
3,51510,2011,7.19132579578066,8,6,Normal,1,-1,-6,Lightly_Decrease,-1,-11.11111111111111,Not_Likely,0
4,42003,2011,608.0723849882804,609,4,Severe,3,0,611,Extremely_Increase,3,37.5,Possible,1
5,21003,2011,10.347490260264186,11,4,Normal,1,0,2,Stable,0,-21.428571428571427,Not_Likely,0
6,51007,2011,12.535786563362944,13,9,Normal,1,0,-3,Stable,0,-3.5714285714285716,Not_Likely,0
7,51013,2011,13.23986460083467,14,6,Normal,1,0,2,Stable,0,-11.11111111111111,Not_Likely,0
8,42005,2011,29.414586814210605,30,3,Critical,2,0,3,Stable,0,35.714285714285715,Possible,1
9,39005,2011,35.897786055310156,36,5,Critical,2,0,-14,Decrease,-2,0.0,Not_Likely,0
10,39007,2011,14.853761187325153,15,0,Normal,1,1,27,Increase,2,-10.0,Not_Likely,0
11,39009,2011,24.065708454452185,25,7,Critical,2,0,13,Increase,2,37.5,Possible,1
12,39011,2011,9.879480224013447,10,6,Normal,1,0,8,Lightly_Increase,1,0.0,Not_Likely,0
13,54001,2011,1.2348974811723452,2,8,Good,0,1,9,Lightly_Increase,1,25.0,Possible,1
14,21009,2011,37.57852253788665,38,7,Critical,2,-1,-26,Decrease,-2,-20.0,Not_Likely,0
15,21011,2011,17.913198303075408,18,11,Normal,1,0,-7,Lightly_Decrease,-1,-12.5,Not_Likely,0
16,42009,2011,2.555548645392629,3,2,Good,0,1,5,Stable,0,-8.333333333333334,Not_Likely,0
17,51019,2011,3.135060627186049,4,9,Good,0,1,10,Lightly_Increase,1,11.538461538461538,Possible,1
18,21013,2011,22.203743831310486,23,6,Critical,2,0,31,Increase,2,56.25,Highly_Possible,2
19,54003,2011,44.493816569200035,45,5,Critical,2,0,-20,Decrease,-2,25.0,Possible,1
20,42011,2011,27.756419726720747,28,4,Critical,2,0,73,Increase,2,25.0,Possible,1
21,51021,2011,3.1907619423473403,4,6,Good,0,1,4,Stable,0,-12.5,Not_Likely,0
22,21015,2011,14.021040991991805,15,7,Normal,1,1,69,Increase,2,45.45454545454545,Highly_Possible,2
23,54005,2011,10.807981804068401,11,5,Normal,1,0,5,Stable,0,5.555555555555555,Possible,1
24,21023,2011,3.1830596836590948,4,11,Good,0,1,3,Stable,0,28.571428571428573,Possible,1
25,54007,2011,10.308548888415244,11,7,Normal,1,0,1,Stable,0,16.666666666666668,Possible,1
26,21025,2011,1.2002152650249982,2,8,Good,0,1,12,Increase,2,-10.0,Not_Likely,0
27,21027,2011,7.6528857531356875,8,5,Normal,1,0,1,Stable,0,7.142857142857143,Possible,1
28,39015,2011,22.321466475685895,23,8,Critical,2,0,18,Increase,2,36.36363636363637,Possible,1
29,51029,2011,9.653390501135435,10,5,Normal,1,0,-2,Stable,0,8.333333333333334,Possible,1
30,42017,2011,336.25342978434884,337,3,Critical,2,0,-140,Extremely_Decrease,-3,-91.66666666666667,Not_Likely,0
31,21029,2011,30.677367692111826,31,6,Critical,2,0,-5,Stable,0,-10.0,Not_Likely,0
32,39017,2011,11.726592694759116,12,4,Normal,1,1,182,Extremely_Increase,3,50.0,Highly_Possible,2
33,42019,2011,16.730627266574697,17,4,Normal,1,0,0,Stable,0,31.25,Possible,1
34,54011,2011,58.23459183725518,59,7,Critical,2,-1,-40,Decrease,-2,-16.666666666666668,Not_Likely,0
35,54013,2011,9.135479089204132,10,7,Normal,1,-1,-7,Lightly_Decrease,-1,8.333333333333334,Possible,1
36,42021,2011,70.603466866024,71,2,Critical,2,0,-35,Decrease,-2,-60.0,Not_Likely,0
37,42023,2011,7.714442750148961,8,2,Normal,1,0,1,Stable,0,-33.333333333333336,Not_Likely,0
38,42025,2011,10.65131613708999,11,5,Normal,1,0,-1,Stable,0,18.75,Possible,1
39,51033,2011,13.40757875426487,14,8,Normal,1,0,-7,Lightly_Decrease,-1,23.076923076923077,Possible,1
40,21041,2011,16.497509562170986,17,8,Normal,1,1,11,Lightly_Increase,1,4.545454545454546,Possible,1
41,39019,2011,6.976877059904106,7,6,Normal,1,0,1,Stable,0,-11.11111111111111,Not_Likely,0
42,21043,2011,20.735292947154164,21,7,Critical,2,-2,-19,Decrease,-2,-34.61538461538461,Not_Likely,0
43,21045,2011,0.5560934377450606,1,8,Good,0,0,3,Stable,0,0.0,Not_Likely,0
44,51540,2011,3.4466156978406115,4,8,Good,0,0,2,Stable,0,3.8461538461538463,Possible,1
45,51550,2011,12.528648519824008,13,8,Normal,1,-1,-9,Lightly_Decrease,-1,-15.0,Not_Likely,0
46,42029,2011,92.42523808510441,93,3,Critical,2,0,-36,Decrease,-2,-25.0,Not_Likely,0
47,51041,2011,95.73146471371986,96,13,Critical,2,0,-73,Decrease,-2,-2.9411764705882355,Not_Likely,0
48,21047,2011,14.95270059780962,15,5,Normal,1,0,-4,Stable,0,-18.75,Not_Likely,0
49,42031,2011,10.11478485498376,11,4,Normal,1,0,8,Lightly_Increase,1,8.333333333333334,Possible,1
50,42033,2011,12.467628122808284,13,2,Normal,1,-1,-8,Lightly_Decrease,-1,-28.571428571428573,Not_Likely,0
51,39025,2011,31.094300663867532,32,9,Critical,2,0,61,Increase,2,61.53846153846154,Highly_Possible,2
52,39027,2011,7.652146962334643,8,5,Normal,1,1,32,Increase,2,38.888888888888886,Highly_Possible,2
53,51570,2011,1.7928522873270123,2,11,Good,0,1,6,Lightly_Increase,1,-11.11111111111111,Not_Likely,0
54,42037,2011,4.1128140651571945,5,5,Good,0,0,1,Stable,0,21.428571428571427,Possible,1
55,39029,2011,21.977992918797426,22,7,Critical,2,0,1,Stable,0,-22.727272727272727,Not_Likely,0
56,39033,2011,10.183139907649403,11,6,Normal,1,1,21,Increase,2,-5.555555555555555,Not_Likely,0
57,42039,2011,0.4371185757713599,1,3,Good,0,2,24,Increase,2,30.0,Possible,1
58,21055,2011,2.3298139439065237,3,5,Good,0,0,3,Stable,0,-12.5,Not_Likely,0
59,39035,2011,100.71818943301376,101,1,Critical,2,1,529,Extremely_Increase,3,0.0,Not_Likely,0
60,51590,2011,2.4827368362100057,3,3,Good,0,1,4,Stable,0,30.0,Possible,1
61,42043,2011,40.46464528389466,41,5,Critical,2,0,-18,Decrease,-2,11.11111111111111,Possible,1
62,21059,2011,9.412943305444855,10,4,Normal,1,-1,-4,Stable,0,-12.5,Not_Likely,0
63,39039,2011,16.54529428110571,17,5,Normal,1,0,-8,Lightly_Decrease,-1,-7.142857142857143,Not_Likely,0
64,39041,2011,257.0519812032869,258,5,Critical,2,0,-224,Extremely_Decrease,-3,-37.5,Not_Likely,0
65,42045,2011,386.0199734014985,387,3,Severe,3,0,-76,Decrease,-2,-110.0,Not_Likely,0
66,51051,2011,13.44984680788527,14,6,Normal,1,0,-3,Stable,0,-22.727272727272727,Not_Likely,0
67,54017,2011,1.9656879603611848,2,8,Good,0,1,7,Lightly_Increase,1,16.666666666666668,Possible,1
68,39043,2011,35.214555613904096,36,3,Critical,2,-1,-19,Decrease,-2,10.0,Possible,1
69,42049,2011,38.938881227722064,39,1,Critical,2,-2,-35,Decrease,-2,33.333333333333336,Possible,1
70,51057,2011,6.305965448209271,7,6,Normal,1,0,7,Lightly_Increase,1,13.636363636363637,Possible,1
